query,question,iter,flag,hardness
"SELECT COUNT(DISTINCT T1.Poll_Source), COUNT(T2.Name) FROM candidate AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Date BETWEEN '2020-01-01' AND '2020-12-31' AND T2.Height > 170","In 2020, how many distinct poll sources are there for candidates and how many of these candidates are taller than 170?",6,False,hard
"SELECT T1.Name, T2.Date FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Sex = 'Male' ORDER BY T1.Name ASC","What are the names of male people and the dates they became candidates, listed in alphabetical order by name?",2,True,hard
"SELECT T1.Name, T2.Date, T2.Poll_Source FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Support_rate BETWEEN 20 AND 50 OR T2.People_ID NOT IN (SELECT People_ID FROM candidate WHERE Date < '2020-01-01') LIMIT 10","What are the names of the people and their corresponding poll source and date, for either the people with support rate between 20 and 50, or those who do not have any polls before '2020-01-01', listing from the 11th to the 20th result?",6,False,extra
"SELECT COUNT(DISTINCT T1.Name), T1.People_ID FROM people AS T1 WHERE T1.Height > 180 OR T1.Weight < 70 OR NOT EXISTS (SELECT 1 FROM candidate AS T2 WHERE T2.People_ID = T1.People_ID AND T2.Support_rate > 50) LIMIT 5","What are the names and IDs of the top 5 people who are either taller than 180cm, weigh less than 70kg, or have never been a candidate with a support rate above 50%?",6,False,extra
"SELECT T1.Name, T2.Support_rate FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T1.People_ID NOT IN (SELECT People_ID FROM candidate WHERE Date = '2020-01-01') ORDER BY T2.Support_rate DESC","What are the names and support rates of candidates who were not polled on '2020-01-01', listed in descending order of their support rate?",6,False,extra
SELECT * FROM candidate WHERE Support_rate != 10,What are the details of candidates with a support rate other than 10?,2,True,easy
SELECT T1.Name FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Support_rate <= 50 LIMIT 10,What are the names of the next 10 people with a support rate of 50% or less?,6,False,hard
SELECT MAX(Support_rate) FROM candidate WHERE Date > '2020-01-01' ORDER BY Support_rate DESC LIMIT 10,What are the 11th to 20th highest support rates of candidates since 2020-01-01?,6,False,hard
"SELECT COUNT(DISTINCT Name), COUNT(DISTINCT Sex), COUNT(DISTINCT Date_of_Birth) FROM people WHERE Sex = 'Male'","How many distinct male names, sexes, and dates of birth are there in the people table?",3,True,medium
SELECT Name FROM people WHERE Sex = 'Male' AND Height >= 180,What are the names of the male people whose height is 180 or more?,2,True,medium
"SELECT T1.Name, T1.Sex, T2.Poll_Source FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Name = 'John' AND T2.Date = '2020-01-01' LIMIT 10","What are the names, sexes, and poll sources of the people named John, specifically for the polls on '2020-01-01', starting from the 11th result?",6,False,hard
"SELECT COUNT(DISTINCT T2.Name), COUNT(DISTINCT T2.Sex), SUM(T1.Support_rate) FROM candidate AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Poll_Source != 'TV'","Excluding TV polls, how many unique candidate names and sexes are there, and what is the total support rate for these candidates?",2,True,extra
SELECT SUM(Support_rate) FROM candidate WHERE Poll_Source < 'National' ORDER BY SUM(Support_rate) DESC,"What is the total support rate for candidates in polls that are not national, ranked from highest to lowest?",6,False,medium
SELECT Name FROM people WHERE Sex = 'male' OR Height BETWEEN 170 AND 190 AND Weight = 70 ORDER BY Name ASC,"What are the names of all males and people with a height between 170 and 190 and a weight of 70, listed in ascending order by name?",3,True,hard
SELECT AVG(Support_rate) FROM candidate LIMIT 1,What is the average support rate of the second candidate in the list?,2,True,easy
"SELECT T1.Name, SUM(T2.Support_rate) FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Date > '2020-01-01' GROUP BY T1.Name LIMIT 10","What are the names of the 11th to 20th people with the highest total support rate from polls after January 1, 2020?",6,False,extra
"SELECT T1.Name, AVG(T2.Support_rate) FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Support_rate BETWEEN 10 AND 20 AND EXISTS (SELECT 1 FROM people AS T3 JOIN candidate AS T4 ON T3.People_ID = T4.People_ID WHERE T4.Consider_rate > 0) GROUP BY T1.Name HAVING AVG(T2.Support_rate) > 0.5","What are the names of the people with an average support rate greater than 0.5 from polls where the support rate is between 10 and 20, and there exists at least one person with a consider rate greater than 0?",6,False,extra
SELECT Name FROM people WHERE Sex = 'Male' AND Height BETWEEN 170 AND 180 OR Name = 'John' GROUP BY Name HAVING COUNT(Name) > 1,"What are the names of males who are between 170 and 180 cm tall or are named John, and appear more than once?",6,True,hard
"SELECT T1.Name, COUNT(T1.People_ID) FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Support_rate = 50 AND T2.Consider_rate = 30 GROUP BY T1.Name HAVING COUNT(T1.People_ID) > 2 ORDER BY T1.Name ASC","What are the names of people who support a candidate with a 50% support rate and 30% consider rate, and are supported by more than 2 people, listed in ascending order of name?",6,False,extra
"SELECT COUNT(DISTINCT Name), AVG(Support_rate) FROM candidate JOIN people ON candidate.People_ID = people.People_ID WHERE Support_rate >= 50 GROUP BY Name ORDER BY AVG(Support_rate) ASC","What are the number of unique names of candidates and their average support rate for each name, when the support rate is at least 50, listed in ascending order of average support rate?",4,True,extra
SELECT COUNT(Candidate_ID) FROM candidate WHERE People_ID IN (SELECT People_ID FROM people WHERE Sex = 'male') AND Support_rate > 50 LIMIT 10,What are the 11th to 20th candidate IDs of male candidates with a support rate greater than 50%?,6,False,extra
"SELECT COUNT(DISTINCT Candidate_ID), COUNT(DISTINCT People_ID), COUNT(DISTINCT Poll_Source) FROM candidate WHERE Support_rate >= 0","What are the counts of unique candidate IDs, people IDs, and poll sources for candidates with a support rate of 0 or higher?",2,True,medium
SELECT T1.People_ID FROM candidate AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID JOIN candidate AS T3 ON T2.People_ID = T3.People_ID JOIN people AS T4 ON T3.People_ID = T4.People_ID WHERE T1.Support_rate > 50 AND T2.Weight BETWEEN 60 AND 80 AND T3.Candidate_ID NOT IN (SELECT Candidate_ID FROM candidate WHERE Poll_Source = 'Survey'),Which people with a weight between 60 and 80 kilograms have a support rate greater than 50 percent in polls that are not from a survey?,4,True,extra
"SELECT T1.Name, SUM(T2.Support_rate) FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Poll_Source IN (SELECT Poll_Source FROM candidate GROUP BY Poll_Source HAVING COUNT(Poll_Source) > 1) GROUP BY T1.Name",What is the total support rate for each candidate from poll sources that have been used more than once?,6,False,extra
"SELECT COUNT(DISTINCT T1.People_ID), T1.Support_rate, T1.Consider_rate FROM Candidate AS T1 WHERE T1.People_ID IN (SELECT People_ID FROM Candidate WHERE Support_rate = 0.5)",What is the count of distinct people ids and their corresponding support rate and consider rate for people with a support rate of 0.5?,2,True,extra
"SELECT T1.Name, SUM(T2.Consider_rate) FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID GROUP BY T1.Name",What is the total consider rate for each candidate by name?,5,True,medium
"SELECT T1.Name, T2.Support_rate FROM people AS T1 JOIN candidate AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Date != '2020-01-01'",What are the names and support rates of candidates on dates other than '2020-01-01'?,6,False,medium
