query,question,iter,flag,hardness
"SELECT COUNT(DISTINCT T1.Make), COUNT(T1.Make), COUNT(T2.Make) FROM team AS T1 LEFT JOIN driver AS T2 ON T1.Make = T2.Make WHERE T1.Make = 'Ferrari' OR T2.Make = 'Mercedes' OR T2.Make BETWEEN 'McLaren' AND 'Red Bull' OR EXISTS (SELECT 1 FROM driver WHERE Make = 'Ferrari') ORDER BY T1.Make ASC","How many distinct Ferrari teams are there, how many Ferrari teams in total are there, and how many Mercedes, McLaren to Red Bull teams are there, considering both team and driver tables, ordered by team's make?",6,False,extra
"SELECT T2.Country, COUNT(T2.Country) FROM team AS T1 JOIN team_driver AS T3 ON T1.Team_ID = T3.Team_ID JOIN driver AS T2 ON T3.Driver_ID = T2.Driver_ID WHERE T2.Age <= 30 GROUP BY T2.Country",How many drivers aged 30 or under are from each country?,6,False,extra
"SELECT T1.Country, T3.Country FROM country AS T1 JOIN team_driver AS T2 ON T1.Country_Id = T2.Team_ID JOIN driver AS T3 ON T2.Driver_ID = T3.Driver_ID WHERE T1.Country_Id BETWEEN 1 AND 10 ORDER BY T1.Country ASC","What are the countries of the teams and drivers for the teams with country IDs between 1 and 10, listed in ascending order by team country?",6,False,extra
"SELECT T4.Country, T3.Points FROM team_driver AS T1 JOIN team AS T2 ON T1.Team_ID = T2.Team_ID JOIN driver AS T3 ON T1.Driver_ID = T3.Driver_ID JOIN country AS T4 ON T3.Country = T4.Country_Id",What are the countries and points of the drivers in each team?,6,False,hard
SELECT T1.Make FROM team AS T1 WHERE NOT EXISTS (SELECT T2.Make FROM driver AS T2 WHERE T2.Make = T1.Make GROUP BY T2.Make HAVING AVG(T2.Laps) > 100),Which teams' cars have drivers with an average of 100 laps or less?,2,True,hard
"SELECT T1.Country, COUNT(T1.Country_Id) FROM country AS T1 WHERE T1.Country_Id < 5 GROUP BY T1.Country HAVING COUNT(T1.Country_Id) > 1",Which countries have more than one country id less than 5?,3,True,extra
SELECT d.Country FROM driver d WHERE NOT EXISTS (SELECT 1 FROM team_driver td WHERE td.Driver_ID = d.Driver_ID),Which countries are the drivers from who are not part of any team?,3,True,hard
SELECT T3.Country FROM country AS T1 JOIN driver AS T2 ON T1.Country_Id = T2.Country JOIN team_driver AS T3 ON T2.Driver_ID = T3.Driver_ID WHERE T2.Age IN (SELECT MAX(Age) FROM driver) ORDER BY T1.Country_Id DESC LIMIT 10,"What are the countries of the drivers who are the oldest, listed in descending order of country id, starting from the 11th item?",6,False,extra
"SELECT T1.Country, T2.Team, T3.Driver FROM country AS T1 JOIN team_driver AS T2 ON T1.Country_Id = T2.Team_ID JOIN driver AS T3 ON T3.Country = T2.Driver_ID WHERE T3.Age >= 25","What are the countries, teams, and drivers of drivers aged 25 and above?",3,True,hard
SELECT Driver FROM driver WHERE Country NOT IN (SELECT Country_Id FROM country WHERE Capital = 'City') LIMIT 100,"What are the names of the 100 drivers from countries whose capitals are not 'City', excluding the first 100 results?",4,True,extra
SELECT COUNT(DISTINCT T2.Driver_ID) FROM team AS T1 JOIN team_driver AS T2 ON T1.Team_ID = T2.Team_ID WHERE T1.Make = 'Ford' AND T2.Driver_ID BETWEEN 1 AND 10 AND NOT EXISTS (SELECT 1 FROM driver WHERE driver.Driver_ID = T2.Driver_ID AND driver.Age > 30) ORDER BY T1.Team_ID DESC,"What is the count of distinct drivers under 30 years old driving for teams with a Ford make, with driver IDs between 1 and 10, ordered by team ID in descending order?",3,True,extra
"SELECT T1.Make, COUNT(T2.Make) FROM team AS T1 JOIN team AS T2 ON T1.Team_ID = T2.Team_ID WHERE T1.Make = 'Toyota' AND T2.Manager = 'Sam' AND T1.Car_Owner BETWEEN 1000 AND 2000 ORDER BY COUNT(T2.Make) DESC LIMIT 10","What are the top Toyota teams with the most team members with 'Sam' as manager and car owners between 1000 and 2000, skipping the first 10 results?",6,False,extra
SELECT COUNT(DISTINCT T2.Make) FROM team AS T1 LEFT JOIN driver AS T2 ON T1.Team_ID = T2.Driver_ID WHERE T1.Team_ID NOT IN (SELECT T3.Team_ID FROM team_driver AS T3),How many different car makes are there among the teams that have not participated in any team driver event?,3,True,extra
"SELECT T1.Country, COUNT(T2.Driver_ID) FROM country AS T1 JOIN driver AS T2 ON T1.Country_Id = T2.Country JOIN team_driver AS T3 ON T2.Driver_ID = T3.Driver_ID WHERE T2.Make != 'Toyota' GROUP BY T1.Country ORDER BY COUNT(T2.Driver_ID) ASC LIMIT 10",Which are the next 10 countries with the fewest non-Toyota drivers?,6,False,extra
"SELECT T1.Country, T2.Points FROM country AS T1 JOIN driver AS T2 ON T1.Country_Id = T2.Country JOIN team_driver AS T3 ON T2.Driver_ID = T3.Driver_ID WHERE T2.Laps >= 100 AND T2.Points = '1000000'","Which countries have drivers with 1,000,000 points and at least 100 laps?",6,False,hard
"SELECT T1.Country, COUNT(DISTINCT T2.Driver_ID) FROM country AS T1 JOIN team_driver AS T2 ON T1.Country_Id = T2.Driver_ID WHERE T1.Country != 'USA' GROUP BY T1.Country ORDER BY T1.Country ASC LIMIT 10","What are the countries (excluding the USA) along with the number of unique drivers from those countries, listed in ascending order of country names, starting from the 11th country?",6,False,extra
SELECT T3.Country FROM country AS T1 JOIN driver AS T2 ON T1.Country_Id = T2.Country JOIN team_driver AS T3 ON T3.Driver_ID = T2.Driver_ID WHERE T2.Age >= 30 ORDER BY T2.Driver DESC,"Which countries are the drivers from, who are 30 years or older, listed in descending order of their names?",6,False,extra
"SELECT T1.Country, T2.Capital FROM country AS T1 LEFT JOIN country AS T2 ON T1.Country_Id = T2.Country_Id WHERE T1.Country_Id >= 10",What are the countries and their capitals where the country ID is 10 or more?,6,False,medium
SELECT T1.Country FROM country AS T1 WHERE T1.Official_native_language = 'English',Which countries have English as an official native language?,2,True,easy
"SELECT T1.Country, T2.Driver FROM country AS T1 JOIN team_driver AS T2 ON T1.Country_Id = T2.Driver_ID JOIN driver AS T3 ON T2.Driver_ID = T3.Driver_ID WHERE (T3.Age BETWEEN 25 AND 35 OR T3.Driver = 'John') AND EXISTS (SELECT T1.Make FROM team AS T1 WHERE T1.Make = 'Toyota') ORDER BY T1.Country ASC LIMIT 10","Which countries and drivers are associated with Toyota and have drivers between 25 and 35 years old or named John, listed by country in ascending order from the 11th to the 20th result?",6,False,extra
