query,question,iter,flag,hardness
"SELECT COUNT(Film_ID), SUM(Rank_in_series) FROM film WHERE Title != 'Batman'",What is the count of films and the total rank in series of all films that are not 'Batman'?,3,True,medium
"SELECT T1.Title, T2.Name, T2.Capacity FROM film AS T1 JOIN schedule AS T3 ON T1.Film_ID = T3.Film_ID JOIN cinema AS T2 ON T3.Cinema_ID = T2.Cinema_ID WHERE T2.Openning_year < T1.Rank_in_series AND T1.Number_in_season < T2.Capacity LIMIT 10","What are the titles of the next 10 films, along with the names and capacities of the cinemas showing them, where the cinema opened before the film's rank in the series and the cinema's capacity is greater than the film's number in the season?",6,False,extra
"SELECT Title, Production_code FROM film WHERE Title NOT IN (SELECT Title FROM film WHERE Original_air_date = '2000')",What are the titles and production codes of the films that did not first air in the year 2000?,5,True,extra
SELECT T1.Cinema_ID FROM cinema AS T1 JOIN schedule AS T2 ON T1.Cinema_ID = T2.Cinema_ID WHERE EXISTS ( SELECT 1 FROM film AS T3 WHERE T2.Film_ID = T3.Film_ID AND T3.Number_in_season = 5 ) LIMIT 10,What are the ids of the 11th to 20th cinemas that have shown a film which was the 5th in its season?,4,True,extra
SELECT COUNT(DISTINCT Title) FROM film WHERE Rank_in_series = 1 ORDER BY Film_ID DESC,"How many distinct film titles are there for films that are the first in a series, listed in order from most recent to oldest film?",6,False,medium
"SELECT MIN(T1.Openning_year) , COUNT(T2.Cinema_ID) FROM cinema AS T1 JOIN schedule AS T2 ON T1.Cinema_ID = T2.Cinema_ID WHERE T1.Location != 'New York' ORDER BY T1.Openning_year ASC",What is the earliest opening year and the total number of cinemas for cinemas not located in New York?,6,False,hard
"SELECT T3.Title, SUM(T1.Show_times_per_day) FROM schedule AS T1 JOIN cinema AS T2 ON T1.Cinema_ID = T2.Cinema_ID JOIN film AS T3 ON T1.Film_ID = T3.Film_ID WHERE T3.Title != 'Movie1'",What are the titles of movies other than 'Movie1' and their total daily showtimes in cinemas?,2,True,hard
SELECT T1.Title FROM film AS T1 JOIN schedule AS T2 ON T1.Film_ID = T2.Film_ID WHERE T1.Rank_in_series <= 5,What are the titles of the films that are ranked 5 or lower in their series and are scheduled to be shown in a cinema?,5,True,medium
"SELECT Title, Directed_by FROM film AS myTable ORDER BY Rank_in_series ASC LIMIT 10","What are the titles and directors of the next 10 films in a series, after the first 10, in order of their rank?",3,True,medium
SELECT Title FROM film WHERE Film_ID IN (SELECT Film_ID FROM schedule WHERE Price BETWEEN 5 AND 10) OR Number_in_season NOT IN (SELECT Number_in_season FROM film WHERE Rank_in_series > 5) ORDER BY Film_ID DESC LIMIT 10,"What are the titles of the next 10 films with ids in descending order, which are either scheduled at a price between 5 and 10, or have a season number not among the films with a series rank greater than 5?",2,True,extra
