query,question,iter,flag,hardness
SELECT T1.City FROM city AS T1 JOIN hosting_city AS T2 ON T1.City_ID = T2.Host_City JOIN match AS T3 ON T2.Match_ID = T3.Match_ID JOIN temperature AS T4 ON T1.City_ID = T4.City_ID WHERE T3.Score = '1-0' AND T4.Jan > 10 AND EXISTS (SELECT * FROM match AS T5 WHERE T5.Result = 'win'),"What cities had a match score of 1-0, had a January temperature above 10 degrees, and hosted a match that resulted in a win?",6,False,extra
SELECT T1.City_ID FROM city AS T1 WHERE T1.City_ID = 100 OR T1.City_ID = 200 OR NOT EXISTS (SELECT 1 FROM hosting_city AS T2 WHERE T2.Host_City = T1.City_ID),What are the city ids of cities with ids 100 or 200 or cities that have never hosted any match?,3,True,extra
SELECT AVG(T1.Regional_Population) FROM city AS T1 WHERE T1.City != 'Beijing' ORDER BY T1.GDP DESC LIMIT 10,What are the average regional populations of the top 11-20 cities by GDP excluding Beijing?,5,True,hard
SELECT T1.City FROM city AS T1 JOIN hosting_city AS T2 ON T1.City_ID = T2.Host_City,What are the cities that host some events?,5,True,easy
SELECT T1.City FROM city AS T1 WHERE T1.Regional_Population > 10000 ORDER BY T1.GDP DESC,"What are the cities with a regional population of more than 10,000, listed in order of their GDP from highest to lowest?",2,True,medium
"SELECT T1.City, T2.Score FROM city AS T1 INNER JOIN match AS T2 ON T1.City_ID = T2.Match_ID WHERE T2.Venue = 'Shanghai' OR T2.Score BETWEEN 2 AND 5 OR T2.Result = 'Lose'",What are the cities and scores of matches held in Shanghai or with scores between 2 and 5 or with a result of 'Lose'?,6,False,extra
"SELECT COUNT(DISTINCT T1.City_ID), COUNT(T1.City_ID) FROM city AS T1 WHERE T1.Regional_Population BETWEEN 10000 AND 50000 ORDER BY T1.City_ID ASC","In the city table, what are the counts of distinct city IDs and total city IDs for cities with a regional population between 10000 and 50000, listed in ascending order by city ID?",5,True,extra
SELECT T2.City FROM hosting_city AS T1 JOIN city AS T2 ON T1.Host_City = T2.City_ID WHERE T2.GDP >= 1000000,"Which cities have a GDP of at least 1,000,000 and have hosted a match?",2,True,medium
SELECT City FROM city WHERE Regional_Population >= 1000 ORDER BY Regional_Population DESC,"What are the cities with a regional population of 1000 or more, listed in order of population from highest to lowest?",2,True,medium
"SELECT T2.City, SUM(T3.Jan + T3.Jul) FROM hosting_city AS T1 JOIN city AS T2 ON T1.Host_City = T2.City_ID JOIN temperature AS T3 ON T2.City_ID = T3.City_ID WHERE T1.Year <= 2000 GROUP BY T2.City HAVING SUM(T3.Jan + T3.Jul) > 10 LIMIT 10","What are the cities with the total sum of January and July temperatures greater than 10 from the hosting cities before the year 2000, listed from the 11th to the 20th?",6,False,extra
"SELECT City, Hanzi FROM city AS hosting_city ORDER BY City ASC",What are the cities and their corresponding hanzi in ascending order of city names?,2,True,medium
"SELECT COUNT(DISTINCT T1.City), SUM(T1.GDP), AVG(T1.Regional_Population) FROM city AS T1 WHERE T1.City_ID = 1 ORDER BY T1.City_ID ASC LIMIT 10","What are the distinct city, total GDP, and average regional population of the city with City_ID 1, ordered by City_ID in ascending order, from the 11th to the 20th records?",6,False,hard
SELECT COUNT(DISTINCT T1.City) FROM city AS T1 WHERE T1.City_ID IN ( SELECT T2.Host_City FROM hosting_city AS T2 WHERE EXISTS ( SELECT 1 FROM match AS T3 WHERE T3.Match_ID = T2.Match_ID ) ) OR AVG(T1.Regional_Population) > 1000000 OR COUNT(T1.GDP) < 10,"How many distinct cities have hosted a match, have a large population, or have fewer than 10 GDP records?",6,False,extra
SELECT City_ID FROM city WHERE City = 'Shanghai' OR City = 'Beijing' OR EXISTS ( SELECT 1 FROM hosting_city WHERE city.City_ID = hosting_city.Host_City),"What are the city ids of Shanghai, Beijing, or any city that has ever hosted a match?",6,False,extra
