query,question,iter,flag,hardness
"SELECT T1.Name, SUM(T1.Capacity) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year BETWEEN '1990' AND '2000' GROUP BY T1.Name HAVING SUM(T1.Capacity) > 50000 ORDER BY T1.Name DESC","What are the names of the stadiums with total capacity over 50,000 that held concerts between 1990 and 2000, sorted by name in descending order?",6,False,extra
"SELECT T1.Name, T2.Name FROM stadium AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Capacity >= 10000","What are the names of stadiums with a capacity of 10000 or more, paired with themselves?",2,True,medium
SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE Year = '2020'),What are the names of the stadiums that did not host any concerts in the year 2020?,2,True,hard
"SELECT COUNT(DISTINCT T2.concert_Name), COUNT(T1.Stadium_ID), T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Average > 10000 OR T1.Name = 'Stadium1' OR NOT EXISTS (SELECT 1 FROM singer_in_concert AS T3 WHERE T3.concert_ID = T2.concert_ID)","How many distinct concerts, total concerts, and what locations are there for concerts held in stadiums with average attendance over 10,000 or named 'Stadium1' and without any singers attending?",2,True,extra
"SELECT COUNT(DISTINCT c.concert_Name) , AVG(s.Capacity) FROM stadium s JOIN concert c ON s.Stadium_ID = c.Stadium_ID WHERE s.Average BETWEEN 1000 AND 10000 OR s.Capacity > 50000 OR s.Location = 'New York'","What is the number of unique concert names and the average capacity of stadiums with an average attendance between 1000 and 10000, or a capacity greater than 50000, or located in New York?",4,True,extra
"SELECT concert_ID, COUNT(DISTINCT Singer_ID) FROM singer_in_concert WHERE concert_ID NOT IN (SELECT concert_ID FROM concert WHERE Stadium_ID = 1) ORDER BY concert_ID DESC LIMIT 10","What are the top 10 concert IDs (excluding the most recent 10) with the most unique singers that did not take place in the stadium with ID 1, listed in descending order of concert ID?",6,False,extra
"SELECT T1.Name AS stadium_name FROM ( SELECT Name, Capacity FROM stadium ) AS T1 WHERE T1.Capacity >= 50000 ORDER BY T1.Name ASC","What are the names of the stadiums with a capacity of at least 50000, listed in ascending order by name?",2,True,medium
"SELECT COUNT(DISTINCT T2.concert_ID), T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Capacity > 50000 AND T2.Year BETWEEN 2010 AND 2020 AND T2.Theme = 'Music'",What is the number of distinct concerts and the capacity of stadiums with a capacity greater than 50000 that hosted music concerts between 2010 and 2020?,3,True,extra
"SELECT MAX(T2.Capacity), MIN(T2.Capacity) FROM singer_in_concert AS T1 JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID JOIN stadium AS T2 ON T3.Stadium_ID = T2.Stadium_ID WHERE T1.concert_ID IN (SELECT concert_ID FROM singer_in_concert WHERE Singer_ID = 1) OR T2.Name = 'Stadium1' OR T1.concert_ID NOT IN (SELECT concert_ID FROM singer_in_concert WHERE Singer_ID = 2) LIMIT 10","What are the maximum and minimum capacities of the stadiums that hold concerts where singer 1 participates, or the stadium is 'Stadium1', or singer 2 does not participate, considering the 11th to 20th results?",6,False,extra
SELECT COUNT(DISTINCT concert_Name) FROM concert WHERE Year BETWEEN 2010 AND 2020 ORDER BY concert_Name ASC LIMIT 10,What are the 11th to 20th different concert names held between 2010 and 2020?,6,False,hard
