query,question,iter,flag,hardness
SELECT T1.document_structure_description FROM Document_Structures AS T1 WHERE T1.document_structure_code = 'DS-001' OR T1.document_structure_code IN (SELECT T2.document_structure_code FROM Documents AS T2 WHERE T2.document_name = 'Document-1') ORDER BY T1.document_structure_code DESC,"What are the document structure descriptions with the code 'DS-001' or belonging to the document named 'Document-1', listed in descending order by document structure code?",2,True,extra
"SELECT T1.document_name, T2.document_structure_description FROM Documents AS T1 JOIN Document_Structures AS T2 ON T1.document_structure_code = T2.document_structure_code WHERE T1.access_count >= 100 LIMIT 10",What are the names and structure descriptions of the top 10 documents that have been accessed at least 100 times?,6,False,hard
"SELECT T1.functional_area_description, MAX(T2.parent_functional_area_code) FROM Functional_Areas AS T1 INNER JOIN Functional_Areas AS T2 ON T1.functional_area_code = T2.functional_area_code WHERE T1.functional_area_description < 'functional_area_description' GROUP BY T1.functional_area_description ORDER BY T1.functional_area_description DESC","What are the maximum parent functional area codes for functional areas with descriptions that are alphabetically before a certain description, listed in descending order of functional area description?",6,False,extra
SELECT COUNT(T1.document_code) FROM Documents AS T1 WHERE T1.document_type_code = 'code' AND EXISTS ( SELECT 1 FROM Document_Functional_Areas AS T2 WHERE T2.document_code = T1.document_code ),How many documents of type 'code' are assigned to at least one functional area?,2,True,extra
SELECT role_description FROM Roles WHERE role_code BETWEEN 'R1' AND 'R10' AND role_code IN (SELECT role_code FROM Users) GROUP BY role_code HAVING MAX(role_code) = 'R10' ORDER BY role_code ASC,"What are the role descriptions of roles with codes between 'R1' and 'R10', used by at least one user and having the highest role code of 'R10', listed in ascending order of role code?",6,False,extra
SELECT user_name FROM Users WHERE role_code = 'admin' AND user_login = 'root' AND password = 'password' ORDER BY user_name ASC LIMIT 10,"What are the names of the next 10 users, starting from the 11th user, with the role admin, login root, and password password, listed in ascending order by username?",6,True,hard
"SELECT T1.image_name, T2.document_structure_description FROM Images AS T1 JOIN Document_Structures AS T2 ON T1.image_name = T2.document_structure_description WHERE T1.image_alt_text = 'alt_text'",What are the image names and their corresponding document structure descriptions for images with the alt text 'alt_text'?,6,False,medium
SELECT * FROM Documents WHERE access_count BETWEEN 10 AND 100,What are the details of the documents that have been accessed between 10 and 100 times?,2,True,easy
SELECT T1.document_code FROM Documents AS T1 WHERE T1.document_structure_code = 'structure_1' AND T1.document_type_code = 'type_1' AND T1.access_count BETWEEN (SELECT MIN(access_count) FROM Documents) AND (SELECT MAX(access_count) FROM Documents) ORDER BY T1.document_name ASC LIMIT 10,What are the next 10 document codes in ascending order of document name for documents of structure 'structure_1' and type 'type_1' with access counts within the range of minimum and maximum access counts across all documents?,3,True,extra
SELECT COUNT(*) FROM Users WHERE user_id BETWEEN 100 AND 200 OR role_code IN (SELECT role_code FROM Roles WHERE role_description = 'Admin') ORDER BY user_id DESC,"How many users have a user id between 100 and 200 or an admin role, listed in descending order by user id",6,False,extra
"SELECT T1.document_name, COUNT(T1.document_code) FROM Documents AS T1 WHERE T1.access_count >= 10 GROUP BY T1.document_name ORDER BY COUNT(T1.document_code) DESC","What are the names of documents with their corresponding number of codes, for documents that have been accessed at least 10 times, listed in order of the number of codes in descending order?",6,False,hard
SELECT T1.document_code FROM Documents AS T1 JOIN Documents AS T2 ON T1.document_code = T2.document_code WHERE EXISTS (SELECT 1 FROM Document_Functional_Areas AS T3 WHERE T3.document_code = T1.document_code AND T3.functional_area_code = T2.document_type_code) GROUP BY T1.document_code HAVING COUNT(T1.document_code) > 1,What are the document codes that have multiple document types which are also functional areas assigned to these documents?,6,False,extra
SELECT COUNT(DISTINCT T2.document_code) FROM Document_Structures AS T1 LEFT JOIN Documents AS T2 ON T1.document_structure_code = T2.document_structure_code WHERE NOT EXISTS (SELECT 1 FROM Document_Sections AS T3 WHERE T3.document_code = T2.document_code),How many unique documents do not have any sections?,2,True,extra
"SELECT role_code, role_description FROM Roles WHERE role_code BETWEEN 'admin' AND 'user'",What are the role codes and descriptions for roles with codes between 'admin' and 'user'?,5,True,medium
SELECT COUNT(section_sequence) FROM Document_Sections WHERE document_code = 'doc1' OR section_sequence BETWEEN 1 AND 10 OR section_title = 'section1' LIMIT 10,"What is the count of sections in the document with code 'doc1' whose sequence is between 1 and 10 or has the title 'section1', offset by 10 rows?",6,False,extra
"SELECT COUNT(DISTINCT T1.document_code), T2.section_title FROM Documents AS T1 JOIN Document_Sections AS T2 ON T1.document_code = T2.document_code WHERE T1.access_count < 10",What is the count of distinct documents with less than 10 accesses and their respective section titles?,3,True,medium
"SELECT COUNT(DISTINCT T1.user_id), COUNT(DISTINCT T1.user_name), COUNT(DISTINCT T1.user_login) FROM Users AS T1 WHERE T1.role_code IN (SELECT T2.role_code FROM Roles AS T2)","How many distinct user IDs, names, and logins are there in the users table where the role code exists in the roles table?",2,True,extra
SELECT T1.document_structure_description FROM Document_Structures AS T1 JOIN Documents AS T2 ON T1.document_structure_code = T2.document_structure_code JOIN Document_Sections AS T3 ON T3.document_code = T2.document_code JOIN Document_Sections_Images AS T4 ON T4.section_id = T3.section_id WHERE T1.document_structure_description = 'structure' OR T2.document_name = 'document' OR T3.section_title IN (SELECT section_title FROM Document_Sections WHERE section_sequence > 1) ORDER BY T1.document_structure_description ASC,"What are the document structure descriptions in ascending order for structures that either are described as 'structure', or have a document name 'document', or have a section title with sequence greater than 1?",2,True,extra
SELECT T1.document_name FROM Documents AS T1 WHERE T1.document_structure_code = 'code1' AND EXISTS (SELECT T2.document_code FROM Document_Functional_Areas AS T2 WHERE T2.document_code = T1.document_code) ORDER BY T1.document_name ASC LIMIT 10,"What are the document names of the next 10 documents that belong to the 'code1' document structure and have a functional area, listed in ascending order?",2,True,extra
"SELECT T1.user_name, T2.role_description FROM Users AS T1 JOIN Roles AS T2 ON T1.role_code = T2.role_code",What are the usernames and corresponding role descriptions of all users?,2,True,medium
"SELECT I.image_id, I.image_name FROM Images I WHERE EXISTS (SELECT 1 FROM Document_Sections_Images DSI WHERE DSI.image_id = I.image_id LIMIT 5)",What are the names and ids of the images that appear in at least one document section?,6,False,extra
