query,question,iter,flag,hardness
SELECT AVG(Votes) FROM election WHERE Date >= '2000-01-01',What is the average number of votes in elections held since the year 2000?,2,True,easy
"SELECT T1.Name, MIN(T2.Votes) FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T2.Seats >= 10 LIMIT 5",What are the names of the next 5 representatives with the lowest number of votes in the elections where they won at least 10 seats?,6,False,hard
SELECT MIN(Vote_Percent) FROM election WHERE Place < 2 LIMIT 5,"What are the five lowest vote percentages in elections where the place was less than 2, excluding the first 5 results?",6,False,medium
"SELECT COUNT(Election_ID), SUM(Votes), COUNT(Representative_ID) FROM election WHERE Vote_Percent <= 50","In the elections where the vote percent was less than or equal to 50, what are the total number of elections, the total votes received, and the total number of representatives elected?",6,False,medium
"SELECT COUNT(DISTINCT T1.Representative_ID), COUNT(T1.Representative_ID), T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID JOIN representative AS T3 ON T3.Representative_ID != T2.Representative_ID JOIN election AS T4 ON T4.Representative_ID = T3.Representative_ID WHERE T1.Date = '2020-01-01' OR T2.Name = 'John' OR EXISTS (SELECT 1 FROM representative AS T5 WHERE T5.State = 'CA')","What are the counts of distinct and total representative IDs, and the names of representatives who either represent on '2020-01-01', are named 'John', or are from a state other than 'CA'?",6,False,extra
SELECT COUNT(DISTINCT T1.Representative_ID) FROM election AS T1 WHERE T1.Votes BETWEEN 100 AND 500 AND NOT EXISTS (SELECT T2.Name FROM representative AS T2 WHERE T2.Representative_ID = T1.Representative_ID AND T2.Party = 'Democrat') AND T1.Seats > 5,How many unique non-Democratic representatives won more than 5 seats with between 100 and 500 votes?,2,True,extra
"SELECT T1.Name, COUNT(DISTINCT T2.Election_ID) FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T2.Votes >= 10000 ORDER BY T1.Name ASC","What is the name of each representative and the number of elections in which they received 10000 or more votes, listed in ascending order by representative name?",2,True,hard
"SELECT T2.Name, COUNT(DISTINCT T1.Election_ID), MAX(T1.Votes) FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T1.Seats > 5 ORDER BY T1.Votes DESC","What are the names of representatives, the number of distinct elections they won, and their highest votes won in elections where they won more than 5 seats, listed in descending order of their highest votes?",6,False,hard
"SELECT AVG(T1.Votes), AVG(T1.Vote_Percent) FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID JOIN election AS T3 ON T3.Representative_ID = T2.Representative_ID WHERE T1.Place != T3.Place",What are the average votes and vote percentages of all pairs of elections with different places for the same representative?,3,True,hard
"SELECT T1.Name, SUM(T2.Votes) FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID = T2.Representative_ID GROUP BY T1.Name HAVING SUM(T2.Votes) >= 10000 ORDER BY SUM(T2.Votes) DESC LIMIT 5","What are the names of the 6th to 10th representatives with the most votes in total, with a total of at least 10,000 votes?",6,False,extra
"SELECT T1.Name, SUM(T2.Votes) FROM representative AS T1 JOIN election AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T2.Place <= 3 ORDER BY T2.Votes DESC","What are the names of the representatives and the total votes they received in the top three places of any election, listed in descending order of votes?",6,False,hard
SELECT COUNT(DISTINCT Representative_ID) FROM election WHERE Seats > 1,How many different representatives have won more than one seat in an election?,2,True,easy
SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T1.Votes IN (SELECT Votes FROM election ORDER BY Votes ASC LIMIT 1) ORDER BY T2.Name ASC,"What are the names of the representatives who received the lowest number of votes in elections, listed in alphabetical order?",4,True,extra
SELECT COUNT(Place) FROM election AS e ORDER BY Vote_Percent DESC,"How many places are there in the election, listed in order of highest to lowest vote percent?",3,True,easy
SELECT Votes FROM election WHERE Vote_Percent BETWEEN 40 AND 60 ORDER BY Votes DESC,"What are the votes for elections with a vote percent between 40 and 60, listed in order of most votes?",2,True,medium
"SELECT COUNT(DISTINCT T1.Representative_ID), COUNT(DISTINCT T2.Name), T1.Seats FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T2.Party = 'Democrat' AND T1.Date BETWEEN '2000-01-01' AND '2020-12-31' AND T1.Vote_Percent > 50","How many distinct Democratic representatives, names, and total seats were won by Democratic representatives with more than 50 percent of the vote between 2000 and 2020?",6,False,hard
"SELECT T1.Name, T2.Name FROM representative AS T1 JOIN representative AS T2 ON T1.State = T2.State WHERE T1.Party = 'Democrat' AND T2.Party = 'Republican' ORDER BY T1.Name ASC","What are the names of all pairs of Democratic and Republican representatives from the same state, listed in ascending order by the Democratic representative's name?",6,False,hard
"SELECT T1.Representative_ID, T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID = T2.Representative_ID WHERE T1.Vote_Percent < 50 GROUP BY T1.Representative_ID","What are the names of the representatives who won less than 50 percent of the vote, grouped by their representative IDs?",6,False,hard
