query,question,iter,flag,hardness
"SELECT T1.Name, COUNT(DISTINCT T2.Employee_ID), COUNT(DISTINCT T3.Employee_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID JOIN evaluation AS T3 ON T2.Employee_ID = T3.Employee_ID WHERE T3.Year_awarded = '2020' GROUP BY T1.Name HAVING MAX(T3.Bonus) > 10000 ORDER BY COUNT(DISTINCT T2.Employee_ID) DESC","What are the names of employees who received a bonus in 2020, along with the number of shops they worked at and the number of times they were evaluated, when the maximum bonus received was more than 10000, ordered by the number of shops they worked at in descending order?",6,False,extra
"SELECT T1.Name, COUNT(DISTINCT T2.Shop_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T1.Age BETWEEN 25 AND 35 OR EXISTS (SELECT 1 FROM evaluation AS T3 WHERE T3.Employee_ID = T1.Employee_ID AND T3.Bonus > 1000) GROUP BY T1.Name","What is the name of each employee aged between 25 and 35 or who has received a bonus greater than 1000, and how many shops have they worked in?",6,False,extra
"SELECT T1.Name, MAX(T2.Bonus) FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T1.Age < 30 GROUP BY T1.Name",What is the name of each employee under the age of 30 who received the highest bonus that they were awarded?,6,False,hard
SELECT Name FROM employee WHERE Age BETWEEN 20 AND 30 OR City IN (SELECT Location FROM shop WHERE District = 'North') OR Name = 'John',"What are the names of employees who are between 20 and 30 years old, or live in the same city as a shop located in the 'North' district, or are named 'John'?",2,True,extra
SELECT COUNT(DISTINCT T1.Name) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T2.Is_full_time = 'yes',How many distinct employee names are there for full-time employees hired in shops?,4,True,hard
SELECT * FROM employee WHERE EXISTS (SELECT 1 FROM evaluation WHERE evaluation.Employee_ID = employee.Employee_ID AND evaluation.Bonus > (SELECT AVG(Bonus) FROM evaluation)) ORDER BY employee.Employee_ID ASC,"What information is available for employees who have received at least one bonus greater than the average bonus, listed in ascending order by employee ID?",3,True,extra
SELECT Name FROM employee WHERE Employee_ID = (SELECT Employee_ID FROM evaluation WHERE Bonus > 5000) LIMIT 10,What are the names of the 11th to 20th employees who received a bonus greater than 5000?,6,False,extra
SELECT Name FROM employee WHERE Age <= 30 ORDER BY Age DESC LIMIT 10,What are the names of the 11th to 20th oldest employees who are 30 years old or younger?,2,True,hard
"SELECT T1.Name, COUNT(T2.Employee_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Start_from < '2020-01-01'",What are the names of employees and the number of times they were hired before 2020?,4,True,medium
"SELECT T1.Name, COUNT(DISTINCT T2.Shop_ID) FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Shop_ID) > 1 ORDER BY T1.Name ASC","Which employees have worked in more than one shop, and list them in ascending order by name along with the number of distinct shops they have worked in?",6,True,hard
"SELECT T2.Name, SUM(T1.Age) FROM employee AS T1 JOIN shop AS T2 ON T1.City = T2.Location GROUP BY T2.Name HAVING SUM(T1.Age) > 50 LIMIT 10","What are the names of shops in the same city as employees with a total age of more than 50, listed from the 11th to the 20th shop?",3,True,hard
"SELECT COUNT(DISTINCT T1.Employee_ID), SUM(T2.Bonus) FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Year_awarded = '2020' AND T1.Age BETWEEN 25 AND 35 AND T1.City = 'New York'",How many unique employees aged 25 to 35 from New York received a bonus in 2020 and what was the total bonus amount?,6,False,hard
"SELECT COUNT(T1.Employee_ID), SUM(T3.Number_products) FROM employee AS T1 INNER JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID INNER JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T1.Age BETWEEN 20 AND 30","How many employees between 20 and 30 years old are there, and what is the total number of products in the shops they work at?",2,True,hard
SELECT COUNT(T1.Age) FROM employee AS T1 WHERE T1.City != 'New York',How many employees are not from New York?,3,True,easy
"SELECT Employee_ID, SUM(Bonus) FROM evaluation GROUP BY Employee_ID HAVING SUM(Bonus) > 10000 OR Employee_ID BETWEEN 1 AND 10 OR Employee_ID = 5 ORDER BY Employee_ID ASC","What are the employee IDs and their total bonuses for employees who have a total bonus greater than 10,000 or have an employee ID between 1 and 10 or have an employee ID of 5, sorted by employee ID in ascending order?",6,True,extra
SELECT Name FROM employee WHERE Age != 25 ORDER BY Age ASC LIMIT 10,What are the names of the 11th to 20th youngest employees who are not 25 years old?,2,True,hard
"SELECT T1.Name, T1.Age FROM Employee AS T1 WHERE T1.Age BETWEEN 20 AND 30 ORDER BY T1.Name ASC","What are the names and ages of employees between 20 and 30 years old, listed in ascending order by name?",6,False,medium
SELECT Name FROM employee WHERE Age <= 25,What are the names of employees who are 25 years old or younger?,2,True,easy
"SELECT T1.Name, SUM(T2.Number_products) FROM employee AS T1 JOIN hiring AS T3 ON T1.Employee_ID = T3.Employee_ID JOIN shop AS T2 ON T3.Shop_ID = T2.Shop_ID WHERE T1.Age < 30 ORDER BY T1.Name ASC","What is the total number of products in the shops where each employee under 30 works, listed in ascending order by employee name?",3,True,extra
