query,question,iter,flag,hardness
"SELECT T1.state_name, MAX(T1.population) FROM state AS T1 WHERE T1.state_name = 'Alabama' OR T1.population > 10000 OR T1.state_name NOT IN (SELECT T2.state_name FROM state AS T2 WHERE T2.population < 10000)","What is the state name and the maximum population of the state which is Alabama or has a population of more than 10,000 or is not in the list of states with a population of less than 10,000?",3,True,extra
SELECT T1.state_name FROM state AS T1 JOIN highlow AS T2 ON T1.state_name = T2.state_name JOIN city AS T3 ON T3.state_name = T1.state_name WHERE T3.city_name IN (SELECT city_name FROM city WHERE population > 500000),"What are the state names where there is a city with a population of more than 500,000?",2,True,extra
SELECT state_name FROM state WHERE NOT EXISTS (SELECT 1 FROM city WHERE city.population = state.population) GROUP BY state_name HAVING COUNT(state.population) = 1,Which state names appear only once and for which there is no city with the same population as the state?,2,True,extra
"SELECT T1.state_name, MIN(T1.population) FROM state AS T1 JOIN city AS T2 ON T1.state_name = T2.state_name JOIN highlow AS T3 ON T1.state_name = T3.state_name WHERE T1.state_name NOT IN (SELECT state_name FROM highlow) GROUP BY T1.state_name ORDER BY T1.state_name ASC","What are the states with their respective lowest population, excluding states with high and low elevation information?",6,False,extra
"SELECT state_name, MIN(population) FROM state GROUP BY state_name ORDER BY MIN(population) DESC","What are the states with their minimum population, listed in descending order by population?",5,True,medium
SELECT T1.state_name FROM state AS T1 WHERE T1.population >= 1000 ORDER BY T1.population DESC LIMIT 10,What are the next 10 states with a population of 1000 or more in descending order of population?,4,True,hard
SELECT T1.state_name FROM state AS T1 WHERE NOT EXISTS ( SELECT T2.state_name FROM highlow AS T2 WHERE T1.state_name = T2.state_name ),What are the state names that do not have any high or low elevation data?,3,True,hard
SELECT state_name FROM state WHERE area BETWEEN 1000 AND 5000 LIMIT 10,"What are the state names of the next 10 states with an area between 1,000 and 5,000 square units, starting from the 11th state?",2,True,medium
SELECT T1.state_name FROM state AS T1 WHERE T1.population > 1000000 OR T1.area BETWEEN 1000 AND 10000 OR T1.density < 10,"What are the names of the states with a population over 1 million, or an area between 1000 and 10000, or a density less than 10?",2,True,hard
"SELECT T1.state_name, MAX(T1.population), MIN(T1.area) FROM state AS T1 JOIN city AS T2 ON T1.state_name = T2.state_name WHERE T1.population <= 100000","What are the state names with the maximum population and minimum area for states with a population of 100,000 or less?",6,False,extra
SELECT COUNT(DISTINCT T1.state_name) FROM state AS T1 JOIN highlow AS T2 ON T1.state_name = T2.state_name JOIN border_info AS T3 ON T2.state_name = T3.state_name WHERE T1.state_name IN (SELECT state_name FROM mountain),How many states with mountains also have a defined highest elevation and border information?,6,False,extra
SELECT state_name FROM state WHERE population >= 1000,What are the state names with a population of 1000 or more?,2,True,easy
