query,question,iter,flag,hardness
SELECT Model FROM headphone WHERE Construction != 'Closed' ORDER BY Price DESC,"What are the open or semi-open headphones, listed in order from most expensive to least expensive?",6,False,medium
"SELECT T1.Model, COUNT(T2.Headphone_ID) FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE EXISTS (SELECT 1 FROM store AS T3 WHERE T3.Store_ID = T2.Store_ID AND T3.Name = 'Best Buy') GROUP BY T1.Model ORDER BY COUNT(T2.Headphone_ID) DESC LIMIT 10",What are the 11th to 20th headphone models with the highest number of headphones stocked in 'Best Buy' stores?,6,False,extra
"SELECT MAX(T1.Price), MIN(T1.Price) FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE T2.Quantity < 10 ORDER BY T1.Price DESC",What are the highest and lowest prices of headphones with less than 10 in stock?,6,False,hard
SELECT MAX(Price) FROM headphone WHERE Price <= 200,What is the highest price of headphones that cost $200 or less?,2,True,easy
SELECT Model FROM headphone AS headphonetable WHERE Price <= 500,What are the headphone models that cost 500 dollars or less?,2,True,easy
SELECT * FROM stock WHERE EXISTS (SELECT 1 FROM headphone WHERE headphone.Headphone_ID = stock.Headphone_ID AND headphone.Price > 200) LIMIT 10,What are the next 10 stock items of headphones that have a price greater than $200?,3,True,extra
SELECT COUNT(DISTINCT T1.Store_ID) FROM stock AS T1 JOIN headphone AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE T1.Quantity > 10 AND T2.Price BETWEEN 50 AND 200 AND T2.Class = 'Full-size',How many unique stores have more than 10 units of full-size headphones priced between 50 and 200 dollars in stock?,4,True,medium
"SELECT T1.Model, AVG(T1.Price) FROM headphone AS T1 WHERE T1.Price > 100 OR T1.Price < 500 AND T1.Construction = 'Closed' AND T1.Headphone_ID NOT IN ( SELECT T2.Headphone_ID FROM stock AS T2 WHERE T2.Quantity < 10 ) GROUP BY T1.Model LIMIT 10","What are the models and average prices of closed-construction headphones with prices between 100 and 500 and a quantity of at least 10 in stock, listed from the 11th to the 20th result?",6,True,extra
"SELECT T1.Model, COUNT(T2.Headphone_ID) FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID JOIN store AS T3 ON T2.Store_ID = T3.Store_ID WHERE T1.Price <= 500 GROUP BY T1.Model ORDER BY COUNT(T2.Headphone_ID) DESC","What are the headphones models, ordered by the number of headphones they have in stock across all stores, for headphones priced at $500 or less?",6,False,extra
"SELECT T1.Model, T2.Quantity FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID JOIN store AS T3 ON T2.Store_ID = T3.Store_ID WHERE T1.Price BETWEEN 50 AND 100 OR T3.Parking = 'Yes' OR T2.Quantity > 10 ORDER BY T1.Price DESC","What are the models and quantities of headphones that are either priced between 50 and 100, available in stores with parking, or in stock more than 10 units, listed in descending order of price?",3,True,extra
"SELECT T1.Model, COUNT(T2.Headphone_ID) FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE T1.Price BETWEEN 50 AND 100 AND T1.Class = 'Full-size' GROUP BY T1.Model LIMIT 5","What are the models of full-size headphones with prices between 50 and 100 dollars, along with the number of their respective headphones in stock, listed from the sixth to the tenth result?",6,False,extra
SELECT T1.Model FROM headphone AS T1 WHERE EXISTS (SELECT T2.Store_ID FROM stock AS T2 WHERE T2.Headphone_ID = T1.Headphone_ID ORDER BY T2.Quantity ASC),What headphone models have stock in at least one store?,6,False,hard
"SELECT T1.Headphone_ID, T2.Store_ID, T3.Name FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID JOIN store AS T3 ON T2.Store_ID = T3.Store_ID WHERE T1.Price BETWEEN 50 AND 150 OR T3.Name = 'Store1' AND NOT EXISTS (SELECT 1 FROM store WHERE T3.Store_ID = Store_ID AND Neighborhood = 'Neighborhood1')","What are the headphone IDs, store IDs, and names of stores that carry headphones priced between 50 and 150, or are from 'Store1' but not located in 'Neighborhood1'?",2,True,extra
"SELECT T1.Model, COUNT(T2.Store_ID) FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE T2.Quantity > 10 AND EXISTS (SELECT 1 FROM store AS T3 WHERE T3.Store_ID = T2.Store_ID AND T3.Parking = 'Yes')","What are the headphone models that have more than 10 items in stock at stores that have parking, and how many such stores are there for each model?",2,True,extra
SELECT T1.Model FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID JOIN store AS T3 ON T2.Store_ID = T3.Store_ID GROUP BY T1.Model ORDER BY T1.Model ASC LIMIT 10,"What are the distinct headphone models, listed in ascending order, excluding the first 10?",6,False,extra
SELECT Model FROM headphone LIMIT 5,What are the models of the next 5 headphones after the first 5 in the headphone table?,6,False,easy
"SELECT T1.Headphone_ID, T1.Model, T2.Quantity FROM headphone AS T1 JOIN stock AS T2 ON T1.Headphone_ID = T2.Headphone_ID WHERE T2.Quantity = 10 ORDER BY T2.Quantity DESC","What are the headphone IDs and models with their corresponding quantities, listed in descending order of quantity?",6,False,hard
