query,question,iter,flag,hardness
"SELECT roomName, SUM(basePrice) FROM Rooms WHERE maxOccupancy <= 4 GROUP BY roomName HAVING SUM(basePrice) > 100",What are the names of the rooms with a total base price of more than 100 that can accommodate four or fewer people?,6,False,medium
SELECT T1.roomName FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.Adults > (SELECT AVG(Adults) FROM Reservations) ORDER BY T1.basePrice DESC LIMIT 10,What are the names of the 11th to 20th most expensive rooms with more adults than the average adults per reservation?,3,True,extra
SELECT roomName FROM Rooms WHERE beds < 3 LIMIT 1,What is the name of the room with less than 3 beds that is second in the list of rooms with the least number of beds?,2,True,medium
"SELECT R1.roomName, SUM(R2.Rate), SUM(R2.Adults), SUM(R2.Kids) FROM Rooms R1 JOIN Reservations R2 ON R1.RoomId = R2.Room WHERE R2.CheckIn = '2022-01-01' OR R2.CheckOut = '2022-01-31' OR R2.Rate > (SELECT AVG(Rate) FROM Reservations) ORDER BY R1.basePrice DESC LIMIT 10","What are the names of the top 10 rooms with the highest base price, along with the total rate, number of adults, and number of kids, for reservations that either start or end in January 2022 or have a rate higher than the overall average rate?",6,False,extra
"SELECT T1.roomName, COUNT(DISTINCT T2.Code), SUM(T1.basePrice) FROM Rooms AS T1 LEFT JOIN Reservations AS T2 ON T1.RoomId = T2.Room ORDER BY T1.basePrice DESC","What are the room names, the number of distinct reservations, and the total base price for each room, listed in descending order by base price?",6,False,extra
SELECT T1.roomName FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room JOIN Rooms AS T3 ON T2.Room = T3.RoomId WHERE T2.Rate != 100 LIMIT 10,What are the names of the next 10 rooms that have reservations with rates other than 100?,3,True,extra
SELECT T1.roomName FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.Adults = T1.maxOccupancy OR T2.Kids BETWEEN 1 AND 2 OR NOT EXISTS (SELECT * FROM Reservations AS T3 WHERE T3.Code = T2.Code AND T3.Adults > T1.maxOccupancy),"Which room names are associated with reservations where the number of adults equals the room's maximum occupancy, or there are one or two kids, or there are no reservations with the same code and more adults than the room's maximum occupancy?",6,True,extra
"SELECT COUNT(DISTINCT T1.roomName), COUNT(DISTINCT T1.decor), T1.basePrice FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T1.beds != T2.Adults","How many different room names and decors are there for rooms where the number of beds does not match the number of adults in the reservations, and what is the base price for these rooms?",3,True,extra
"SELECT COUNT(DISTINCT T1.RoomId), SUM(T2.Adults), MIN(T2.Kids) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room LIMIT 10","What are the count of distinct room ids, total adults, and minimum kids for the 11th to 20th reservations?",6,False,extra
"SELECT T1.roomName, T2.Rate FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.Adults <= 2 LIMIT 1",What is the room name and rate for the second reservation with two or fewer adults?,4,True,hard
"SELECT T1.roomName, SUM(T2.Adults) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.CheckIn BETWEEN '2020-01-01' AND '2020-12-31' AND T2.Rate > 100 GROUP BY T1.roomName ORDER BY T1.roomName ASC","What are the room names with total number of adults for each room who have reservations with a rate greater than 100 and checked in between 2020-01-01 and 2020-12-31, listed in ascending order by room name?",2,True,extra
SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room = T2.RoomId WHERE T1.Adults < 3 AND T2.decor = 'Modern',What are the names of the modern rooms that can accommodate less than 3 adults?,6,False,medium
"SELECT T1.roomName, SUM(T2.Rate) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room",What are the room names and their total rates for each room in the reservations?,6,True,medium
"SELECT T1.roomName, COUNT(DISTINCT T2.Room), COUNT(DISTINCT T2.LastName) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.CheckIn BETWEEN '2020-01-01' AND '2020-12-31' OR T2.Adults > 2 OR T2.Rate = 100 ORDER BY T1.roomName ASC","What are the room names and their respective counts of distinct rooms and last names of guests who checked in between 2020, had more than 2 adults, or paid a rate of 100, listed in ascending order by room name?",6,False,extra
"SELECT T1.roomName, T2.Room FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T1.basePrice <= T2.Rate",What are the names of the rooms in the hotel where the reservation rate is higher than or equal to the base price of the room?,2,True,medium
"SELECT T1.roomName, T1.basePrice, T2.CheckIn FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room JOIN Reservations AS T3 ON T2.Code = T3.Code","What are the room names, base prices, and check-in dates of reservations with matching codes?",6,False,medium
"SELECT T1.roomName, SUM(T2.Adults), SUM(T2.Kids) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T2.CheckIn BETWEEN '2020-01-01' AND '2020-12-31' OR T2.Rate > 100 OR T1.basePrice < 200","What are the room names and total number of adults and kids for reservations made in 2020, or reservations with a rate over 100, or rooms with a base price under 200?",6,False,extra
SELECT T1.roomName FROM Rooms AS T1 WHERE NOT EXISTS (SELECT 1 FROM Reservations AS T2 WHERE T2.Room = T1.RoomId AND T2.CheckIn = '2022-01-01' AND T2.CheckOut = '2022-01-02') GROUP BY T1.roomName HAVING SUM(T1.basePrice) > 100,"What are the names of the rooms that are available on January 1, 2022 and have a total base price greater than 100?",6,False,extra
"SELECT COUNT(DISTINCT RoomId), COUNT(DISTINCT roomName), COUNT(DISTINCT beds) FROM Rooms WHERE maxOccupancy >= 4 GROUP BY RoomId HAVING MAX(beds) > 2","For each room that can accommodate four or more people and has more than two beds, how many distinct rooms, room names, and number of beds are there?",6,False,extra
SELECT T1.roomName FROM Rooms AS T1 WHERE T1.basePrice = 100,What room name has a base price of 100?,2,True,easy
SELECT roomName FROM Rooms WHERE basePrice > 100 ORDER BY basePrice DESC,What are the room names of the rooms with a base price greater than 100 ordered by base price from highest to lowest?,2,True,medium
"SELECT T1.roomName, COUNT(DISTINCT T2.Code) FROM Rooms AS T1 JOIN Reservations AS T2 ON T1.RoomId = T2.Room WHERE T1.beds > 2 OR T2.Adults > 1 OR NOT EXISTS (SELECT 1 FROM Reservations WHERE Reservations.Room = T1.RoomId AND Reservations.CheckOut < '2020-01-01') ORDER BY T1.basePrice DESC LIMIT 10","What are the names of the top 10 most expensive rooms with more than 2 beds or reservations for more than 1 adult or no reservations before 2020, along with the number of distinct reservation codes for each room?",6,False,extra
SELECT roomName FROM Rooms WHERE RoomId = '101' AND bedType = 'king' ORDER BY basePrice DESC,"What is the name of room 101 with a king bed type, listed from most expensive to least expensive?",6,False,medium
