query,question,iter,flag,hardness
"SELECT T1.Customer_ID, T2.Staff_ID FROM Customers AS T1 JOIN Staff AS T2 ON T1.Customer_ID = T2.Staff_ID WHERE T1.Customer_Details BETWEEN 'text' AND 'text'",What are the customer IDs and the corresponding staff IDs where the customer details fall within a certain range?,6,False,medium
SELECT Staff_Details FROM Staff WHERE Staff_ID BETWEEN 10 AND 20 OR Staff_ID > 30 ORDER BY Staff_ID DESC,"What are the staff details for staff with IDs between 10 and 20 or above 30, listed in descending order by staff ID?",6,False,hard
SELECT COUNT(DISTINCT Policy_ID) FROM Policies WHERE Policy_Type_Code = 'type1' AND Customer_ID BETWEEN 100 AND 200 LIMIT 10,What are the 11th to 20th distinct policy IDs of customers with customer IDs between 100 and 200 who have a policy type of 'type1'?,6,False,medium
SELECT Policy_Type_Code FROM Policies WHERE Policy_ID = 100 AND Policy_ID NOT IN (SELECT Policy_ID FROM Claim_Headers) GROUP BY Policy_Type_Code HAVING MAX(End_Date) > '2020-01-01' ORDER BY Policy_Type_Code ASC LIMIT 10,"What are the next 10 policy type codes, in ascending order, for policies that are active after '2020-01-01' and have a policy ID of 100, excluding those policy IDs that have a claim?",6,False,extra
SELECT T1.Customer_ID FROM Customers AS T1 INNER JOIN Policies AS T2 ON T1.Customer_ID = T2.Customer_ID INNER JOIN Claim_Headers AS T3 ON T3.Policy_ID = T2.Policy_ID WHERE T3.Date_of_Claim BETWEEN '2020-01-01' AND '2020-12-31' AND NOT EXISTS (SELECT 1 FROM Claims_Processing AS T4 WHERE T4.Claim_ID = T3.Claim_Header_ID) ORDER BY T1.Customer_ID ASC LIMIT 10,"What are the customer ids of the next 10 customers, in ascending order, who made a claim in the year 2020 but it was not processed?",6,False,extra
"SELECT Policy_ID, Policy_Type_Code FROM Policies WHERE Policy_ID > 100",What are the policy IDs and policy type codes for policies with IDs greater than 100?,2,True,medium
"SELECT MAX(Amount_Claimed), MIN(Amount_Piad) FROM Claim_Headers WHERE Claim_Status_Code = 'Open' ORDER BY Amount_Claimed DESC LIMIT 1",What is the maximum amount claimed and minimum amount paid for the second largest open claim?,3,True,hard
"SELECT Policy_Type_Code, Start_Date FROM Policies WHERE Start_Date BETWEEN '2020-01-01' AND '2020-12-31'",What are the policy types and start dates of the policies that started in the year 2020?,3,True,medium
SELECT Staff_ID FROM Staff WHERE Staff_ID < (SELECT Claim_Stage_ID FROM Claims_Processing_Stages WHERE Claim_Status_Description = 'Unresolved' LIMIT 10),Which staff has a staff id that is less than the claim stage id of an unresolved claim?,6,False,hard
SELECT T1.Customer_Details FROM Customers AS T1 JOIN Policies AS T2 ON T1.Customer_ID = T2.Customer_ID JOIN Claim_Headers AS T3 ON T2.Policy_ID = T3.Policy_ID WHERE T2.Start_Date BETWEEN '2020-01-01' AND '2020-12-31' OR T3.Claim_Status_Code = 'Open' OR T3.Amount_Claimed > 10000,"What are the customer details of customers who have policies that started in the year 2020, or have open claims, or have made claims of more than 10,000?",3,True,extra
SELECT T1.Customer_ID FROM Customers AS T1 JOIN Policies AS T2 ON T1.Customer_ID = T2.Customer_ID WHERE T2.Policy_Type_Code = 'health' OR T2.Policy_Type_Code = 'life' OR NOT EXISTS ( SELECT 1 FROM Claims_Processing AS T3 WHERE T3.Staff_ID = T1.Customer_ID ) GROUP BY T1.Customer_ID,"What are the IDs of customers who have either health or life policies, or are not staff members who have processed claims?",6,False,extra
SELECT AVG(Amount_Claimed) FROM Claim_Headers WHERE Amount_Piad > 10000,"What is the average amount claimed for claims where the amount paid is more than $10,000?",2,True,easy
"SELECT T1.Claim_ID, COUNT(T2.Document_Type_Code) FROM Claims_Documents AS T1 JOIN Claims_Documents AS T2 ON T1.Claim_ID = T2.Claim_ID WHERE T1.Created_by_Staff_ID = 123 OR T1.Claim_ID BETWEEN 100 AND 200 OR T1.Created_Date IN (SELECT Created_Date FROM Claims_Documents WHERE Created_by_Staff_ID = 123)","What are the claim IDs and the number of corresponding documents for claims created by staff ID 123, or claim IDs between 100 and 200, or claims created on the same dates as those created by staff ID 123?",6,False,extra
SELECT COUNT(DISTINCT T1.Claim_Type_Code) FROM Claim_Headers AS T1 WHERE T1.Amount_Claimed > 1000 LIMIT 10,What are the 11th to 20th distinct claim type codes for claims with an amount claimed greater than 1000?,6,False,medium
"SELECT SUM(Amount_Piad), MAX(Amount_Claimed) FROM Claim_Headers WHERE Date_of_Settlement IS NOT NULL",What is the total amount paid and the maximum amount claimed for all claims that have been settled?,6,False,medium
"SELECT COUNT(DISTINCT Claim_Type_Code), COUNT(DISTINCT Claim_Status_Code), COUNT(Claim_Type_Code) FROM Claim_Headers WHERE Claim_Status_Code <= 3","How many distinct claim types and statuses are there, and what is the total number of claims, for claims with a status code of 3 or less?",6,False,medium
"SELECT COUNT(DISTINCT Staff_ID), SUM(Claim_Outcome_Code) FROM Claims_Processing WHERE Staff_ID <= 2",What is the count of distinct staff ids and the sum of claim outcome codes for claims processed by staff with ids less than or equal to 2?,2,True,medium
SELECT SUM(T1.Amount_Claimed) FROM Claim_Headers AS T1 WHERE T1.Claim_Status_Code = 'Open' OR T1.Amount_Claimed > 10000 OR EXISTS ( SELECT T2.Claim_ID FROM Claims_Documents AS T2 WHERE T2.Claim_ID = T1.Claim_Header_ID ) GROUP BY T1.Amount_Claimed HAVING SUM(T1.Amount_Claimed) > 10000,"What is the total amount claimed for claims that are open or have an amount claimed greater than 10000 or have documents, grouped by amount claimed where the total amount claimed is greater than 10000?",3,True,extra
