query,question,iter,flag,hardness
SELECT Name FROM manufacturer WHERE Num_of_Factories < Num_of_Shops ORDER BY Open_Year ASC LIMIT 10,What are the names of the next 10 manufacturers that opened earliest and have fewer factories than shops?,3,True,hard
"SELECT COUNT(DISTINCT T1.Manufacturer_ID) , T1.Num_of_Factories FROM manufacturer AS T1 JOIN furniture_manufacte AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID WHERE T2.Price_in_Dollar BETWEEN 100 AND 500",What is the count of distinct manufacturers and their number of factories that produce furniture priced between $100 and $500?,3,True,medium
"SELECT T2.Name, COUNT(T1.Furniture_ID) FROM furniture_manufacte AS T1 JOIN furniture AS T2 ON T1.Furniture_ID = T2.Furniture_ID WHERE T2.Market_Rate > 100 OR T2.Market_Rate < 50 OR T2.Market_Rate BETWEEN 50 AND 150 OR T2.Market_Rate > (SELECT AVG(Market_Rate) FROM furniture) LIMIT 100","What are the names of furniture and the number of their manufactures where the market rate is outside the range 50 to 150, or greater than the average market rate, listed from 101st to 200th?",6,False,extra
"SELECT MAX(T1.Market_Rate), MIN(T2.Price_in_Dollar) FROM furniture AS T1 JOIN furniture_manufacte AS T2 ON T1.Furniture_ID = T2.Furniture_ID WHERE T2.Price_in_Dollar BETWEEN 5 AND 100 ORDER BY T2.Price_in_Dollar DESC","What is the highest market rate of furniture and the lowest price in dollars of furniture manufactured, for furniture with a price between 5 and 100 dollars, listed in descending order of price?",6,False,hard
"SELECT T2.Name, AVG(T1.Price_in_Dollar) FROM furniture_manufacte AS T1 JOIN manufacturer AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID WHERE T1.Manufacturer_ID = 1 AND T2.Open_Year > 2000 AND T2.Name IN (SELECT Name FROM manufacturer WHERE Num_of_Factories = 1) GROUP BY T2.Name ORDER BY T2.Name ASC","What is the average price in dollars of furniture manufactured by each single-factory manufacturer that opened after 2000, specifically the manufacturer with ID 1, ordered alphabetically by the manufacturer name?",4,True,extra
"SELECT Manufacturer_ID, Name FROM manufacturer WHERE Open_Year BETWEEN 1990 AND 2000 OR Num_of_Factories > 10 OR Name = 'IKEA'","What are the names and ids of manufacturers that either opened between 1990 and 2000, have more than 10 factories, or are named IKEA?",2,True,hard
SELECT T1.Manufacturer_ID FROM manufacturer AS T1 JOIN furniture_manufacte AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID WHERE T2.Price_in_Dollar <= 500,Which manufacturer IDs are associated with furniture products that cost 500 dollars or less?,4,True,medium
SELECT COUNT(DISTINCT T1.Manufacturer_ID) FROM furniture_manufacte AS T1 JOIN manufacturer AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID JOIN furniture AS T3 ON T1.Furniture_ID = T3.Furniture_ID WHERE T2.Open_Year <= 2010,How many distinct manufacturers that opened before or in 2010 produce furniture?,2,True,hard
SELECT Name FROM manufacturer WHERE Num_of_Factories > 10 AND EXISTS (SELECT 1 FROM furniture_manufacte WHERE furniture_manufacte.Manufacturer_ID = manufacturer.Manufacturer_ID AND furniture_manufacte.Price_in_Dollar < 1000),What are the names of manufacturers with more than 10 factories that produce furniture priced below 1000 dollars?,5,True,extra
SELECT Furniture_ID FROM furniture_manufacte WHERE Price_in_Dollar <= 100 AND Furniture_ID = 1,What is the ID of the furniture with a price of 100 dollars or less that has a furniture ID of 1?,2,True,medium
SELECT T2.Name FROM furniture_manufacte AS T1 INNER JOIN manufacturer AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID WHERE T2.Open_Year = 1990 LIMIT 10,What are the names of the 11th to 20th manufacturers that were opened in 1990?,5,True,hard
SELECT T1.Name FROM manufacturer AS T1 WHERE NOT EXISTS (SELECT T2.Furniture_ID FROM furniture_manufacte AS T2 WHERE T2.Manufacturer_ID = T1.Manufacturer_ID AND T2.Price_in_Dollar > 5000 AND T2.Furniture_ID = 10),What are the names of the manufacturers that do not sell furniture item 10 at a price above 5000 dollars?,2,True,hard
"SELECT m.Name, SUM(fm.Price_in_Dollar) FROM manufacturer m JOIN furniture_manufacte fm ON m.Manufacturer_ID = fm.Manufacturer_ID JOIN furniture f ON fm.Furniture_ID = f.Furniture_ID WHERE f.Num_of_Component > 5 AND f.Market_Rate < 100 AND fm.Price_in_Dollar IN (SELECT MAX(Price_in_Dollar) FROM furniture_manufacte)","What are the names of the manufacturers and the total price in dollars of the furniture manufactured, for furniture with more than 5 components, a market rate below 100, and the highest price in dollars?",6,False,extra
SELECT MAX(Num_of_Shops) FROM manufacturer WHERE Open_Year = 2000 ORDER BY Name DESC,"What is the maximum number of shops among the manufacturers that opened in 2000, listed in descending order of their names?",4,True,medium
"SELECT T1.Open_Year, T2.Open_Year FROM manufacturer AS T1 JOIN manufacturer AS T2 ON T1.Manufacturer_ID = T2.Manufacturer_ID WHERE T1.Open_Year > 2000 OR T2.Open_Year BETWEEN 1990 AND 1999 OR T1.Num_of_Factories > T2.Num_of_Factories ORDER BY T1.Open_Year DESC","What are the opening years of pairs of manufacturers with the same ID, where either one opened after 2000, one opened between 1990 and 1999, or one has more factories than the other, listed in descending order of opening year?",6,False,extra
"SELECT COUNT(Manufacturer_ID) , SUM(Num_of_Factories) FROM manufacturer WHERE Num_of_Shops != 0 ORDER BY COUNT(Manufacturer_ID) DESC","How many manufacturers with at least one shop are there, and what is their total number of factories, listed in descending order by the number of manufacturers?",5,True,extra
