query,question,iter,flag,hardness
"SELECT T1.city, T2.year, T3.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name JOIN Person AS T3 ON T3.name = T2.friend WHERE T1.gender = 'Male' OR T2.year > 2010 OR EXISTS (SELECT 1 FROM Person AS T4 WHERE T4.age > 30)","What are the cities of male individuals, their friends' years, and their friends' ages, including those who have friends in years after 2010, or who have acquaintances older than 30?",6,False,extra
SELECT name FROM Person WHERE city = 'New York' AND job = 'Engineer',What are the names of persons who live in New York and work as Engineers?,3,True,medium
"SELECT T1.name, COUNT(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name JOIN Person AS T3 ON T2.friend = T3.name WHERE T1.age BETWEEN 20 AND 30 AND T1.city IN ('New York', 'Chicago') AND T1.job IN (SELECT T4.job FROM Person AS T4 WHERE T4.gender = 'Female') LIMIT 10","What are the names and the number of friends of people aged 20 to 30, living in New York or Chicago, and having jobs that are also held by females, listed from the 11th result onwards, up to 10 results?",6,False,extra
SELECT name FROM Person WHERE age < 30 LIMIT 5,What are the names of the 6th to 10th youngest persons?,3,True,medium
"SELECT T1.name, COUNT(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.age <= 30",What are the names of people aged 30 or under along with the number of friends they have?,6,False,medium
SELECT COUNT(DISTINCT T1.friend) FROM PersonFriend AS T1 WHERE T1.year < 2000 ORDER BY T1.name ASC,"How many distinct friends do people have before the year 2000, listed in order from A to Z by person name?",6,False,medium
SELECT T1.name FROM Person AS T1 WHERE T1.age > 25 OR T1.city = 'New York' OR NOT EXISTS (SELECT 1 FROM PersonFriend AS T2 WHERE T2.name = T1.name) ORDER BY T1.name ASC,"What are the names of people who are either over 25 years old or live in New York or do not have any friends, listed in ascending order by name?",2,True,extra
"SELECT T1.age, COUNT(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.age <= 30 GROUP BY T1.age ORDER BY T1.age ASC","For people under 31 years old, how many friends does each age have?",2,True,extra
"SELECT T1.city, AVG(T1.age), SUM(T1.age), COUNT(T1.name) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name JOIN Person AS T3 ON T2.friend = T3.name WHERE T1.age BETWEEN 20 AND 30 OR T1.city = 'New York' OR T1.age > 40 LIMIT 10","What are the city, average age, sum of ages, and count of names of people who are friends with others, either aged between 20 and 30, or living in New York, or older than 40, listed from the 11th to the 20th result?",6,False,extra
SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE NOT EXISTS (SELECT T3.friend FROM PersonFriend AS T3 WHERE T3.friend = 'John'),What is the name of the person who does not have John as a friend?,6,False,extra
SELECT name FROM Person WHERE city NOT IN (SELECT city FROM Person WHERE job = 'Doctor'),What are the names of people who do not live in the same city as any doctors?,2,True,hard
"SELECT T1.name, COUNT(DISTINCT T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.age BETWEEN 20 AND 30 OR T1.city = 'New York' OR T1.name NOT IN (SELECT name FROM Person WHERE job = 'Engineer') ORDER BY T1.name ASC","What are the names and the number of distinct friends of people who are between the ages of 20 and 30, or live in New York, or are not engineers, listed in ascending order by name?",2,True,extra
SELECT name FROM Person WHERE name NOT IN (SELECT name FROM PersonFriend WHERE year = 2000) ORDER BY name ASC LIMIT 10,"What are the names of the next 10 people who did not have any friends in the year 2000, listed in ascending order?",2,True,extra
"SELECT T3.name, T1.name, MIN(T2.year) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name JOIN Person AS T3 ON T2.friend = T3.name GROUP BY T3.name, T1.name","What is the friend's name, person's name and the earliest year they became friends for each pair of friends?",5,True,hard
"SELECT T1.name, SUM(T2.year) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name JOIN PersonFriend AS T3 ON T2.friend = T3.name WHERE T2.year > 2000 ORDER BY T1.name ASC",What is the sum of the years for each person with friends added after the year 2000?,6,False,extra
