query,question,iter,flag,hardness
SELECT Name FROM member WHERE Role = 'Coach' ORDER BY Member_ID DESC,"What are the names of the coaches, listed in descending order by member ID?",3,True,medium
"SELECT T1.Name, T2.Num_of_Pieces FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID WHERE T1.Role = 'singer' AND T2.Num_of_Pieces BETWEEN 1 AND 5 AND EXISTS (SELECT 1 FROM performance AS T3 WHERE T2.Performance_ID = T3.Performance_ID AND T3.Attendance > 500)",What are the names of singer members who attended performances with more than 500 attendees and performed between 1 and 5 pieces?,6,False,extra
SELECT T1.Name FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T2.Performance_ID = T3.Performance_ID WHERE T3.Attendance BETWEEN 100 AND 200 OR T2.Num_of_Pieces = 3 OR T3.Host NOT IN (SELECT Host FROM performance WHERE Attendance < 50) LIMIT 10,"What are the names of the 11th to 20th members who attended performances with attendance between 100 and 200, or performed exactly 3 pieces, or performed at hosts with average attendance of 50 or more?",6,False,extra
"SELECT COUNT(DISTINCT m.Member_ID), COUNT(DISTINCT p.Performance_ID), COUNT(DISTINCT ma.Num_of_Pieces) FROM member m JOIN member_attendance ma ON m.Member_ID = ma.Member_ID JOIN performance p ON p.Performance_ID = ma.Performance_ID WHERE ma.Member_ID IN (SELECT Member_ID FROM member_attendance WHERE Performance_ID > 10) LIMIT 10","What are the counts of unique members, unique performances, and unique numbers of pieces, for members who have attended performances with an ID greater than 10, starting from the 11th entry?",6,False,extra
SELECT COUNT(T1.Performance_ID) FROM performance AS T1 INNER JOIN member_attendance AS T2 ON T1.Performance_ID = T2.Performance_ID WHERE T2.Num_of_Pieces >= 1 LIMIT 1,How many performances had at least one piece?,6,False,hard
SELECT Name FROM member WHERE Nationality = 'USA' OR Role = 'Leader' OR Nationality IN (SELECT Nationality FROM member WHERE Role = 'Leader') LIMIT 10,"What are the names of the next 10 members from the USA, leaders, or members with the same nationality as leaders?",6,False,extra
"SELECT T1.Name, T2.Name FROM member AS T1 JOIN member AS T2 ON T1.Member_ID != T2.Member_ID ORDER BY T1.Name DESC",What are all unique pairs of member names in descending order of the first member?,6,False,medium
SELECT Performance_ID FROM performance WHERE Attendance != 0 LIMIT 10,"What are the performance IDs of the performances that had attendees, listed from the 11th to the 20th?",2,True,medium
"SELECT COUNT(T1.Performance_ID), COUNT(T2.Num_of_Pieces) FROM performance AS T1 JOIN member_attendance AS T2 ON T1.Performance_ID = T2.Performance_ID WHERE T1.Attendance > 100 OR T2.Num_of_Pieces BETWEEN 5 AND 10 OR T1.Location = 'New York' LIMIT 10","What are the counts of performances with attendance greater than 100, or pieces between 5 and 10, or location in New York, skipping the first 10 results?",6,False,extra
"SELECT T1.Name, COUNT(T2.Performance_ID) FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T2.Performance_ID = T3.Performance_ID WHERE T1.Nationality = 'USA' OR T3.Host IN (SELECT Host FROM performance WHERE Date = '2020')","What are the names of the USA members and how many performances they have attended, including performances hosted in the same locations as performances that took place in 2020?",6,False,extra
SELECT COUNT(DISTINCT T1.Member_ID) FROM member_attendance AS T1 WHERE T1.Num_of_Pieces >= 10,How many members have attended a performance with 10 or more pieces?,3,True,easy
"SELECT T1.Member_ID, AVG(T1.Num_of_Pieces) FROM member_attendance AS T1 JOIN performance AS T2 ON T1.Performance_ID = T2.Performance_ID WHERE T2.Attendance < 100 GROUP BY T1.Member_ID ORDER BY AVG(T1.Num_of_Pieces) DESC","What are the average number of pieces played by each member in performances with less than 100 attendance, ranked in descending order by average number of pieces played?",6,False,extra
"SELECT COUNT(T1.Member_ID), T2.Nationality FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID = T2.Member_ID WHERE T1.Num_of_Pieces <= 5",How many members from each nationality have attended performances where they played 5 or fewer pieces?,6,False,medium
"SELECT T1.Name, MAX(T1.Nationality) FROM (SELECT T2.Name, T3.Num_of_Pieces AS Nationality FROM member AS T2 INNER JOIN member_attendance AS T3 ON T2.Member_ID = T3.Member_ID) AS T1 WHERE T1.Nationality != 10 GROUP BY T1.Name ORDER BY MAX(T1.Nationality) DESC LIMIT 10","What are the names of the next 10 members who have played the most pieces, excluding those who played 10, ordered by the number of pieces played in descending order?",6,False,extra
"SELECT T1.Name, AVG(T2.Num_of_Pieces) FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID WHERE T1.Role < 'Soloist' GROUP BY T1.Name",What is the average number of pieces played by each non-soloist member?,6,False,hard
"SELECT T1.Name, T2.Num_of_Pieces FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID WHERE T1.Role = 'Singer' AND T2.Num_of_Pieces = 5 AND T1.Nationality BETWEEN 'American' AND 'Canadian'",What are the names of the American or Canadian singer members who performed 5 pieces?,6,False,extra
"SELECT T1.Name, COUNT(T2.Num_of_Pieces) FROM member AS T1 JOIN member_attendance AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T2.Performance_ID = T3.Performance_ID WHERE T2.Num_of_Pieces BETWEEN 5 AND 10 AND T3.Host NOT IN (SELECT Host FROM performance WHERE Date = '2020-01-01') GROUP BY T1.Name HAVING MIN(T3.Attendance) > 1000",What are the names of members who have performed between 5 and 10 pieces in performances not hosted on '2020-01-01' and have a minimum attendance of more than 1000?,6,False,extra
"SELECT COUNT(DISTINCT T1.Name), T2.Attendance FROM member AS T1 JOIN member_attendance AS T3 ON T1.Member_ID = T3.Member_ID JOIN performance AS T2 ON T3.Performance_ID = T2.Performance_ID WHERE T2.Date BETWEEN '2020-01-01' AND '2020-12-31' ORDER BY T2.Attendance DESC LIMIT 10",What are the top 10 attendance figures of performances in the year 2020 along with the number of unique members attending each performance?,6,False,extra
