query,question,iter,flag,hardness
"SELECT T1.LName, SUM(T3.weight) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Sex != 'M' GROUP BY T1.LName","What are the total weights of pets owned by female students, grouped by the last name of the students?",5,True,extra
"SELECT Fname, LName FROM Student WHERE Age < 20 LIMIT 5","What are the first and last names of students under the age of 20, listed from the 6th to the 10th student?",3,True,medium
SELECT T1.LName FROM Student AS T1 WHERE T1.Age BETWEEN 18 AND 25 ORDER BY T1.LName DESC,What are the last names of students between the ages of 18 and 25 listed in descending order?,2,True,medium
"SELECT LName, SUM(Age) FROM Student WHERE Sex = 'M' GROUP BY LName ORDER BY SUM(Age) DESC","What are the total ages of male students grouped by their last names, listed in descending order?",3,True,hard
SELECT COUNT(DISTINCT T1.PetID) FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID JOIN Student AS T3 ON T2.StuID = T3.StuID WHERE T1.pet_age BETWEEN 2 AND 5 AND T3.Age > 20 ORDER BY T1.PetID DESC,How many distinct pets that are between the age of 2 and 5 belong to students who are older than 20?,6,True,extra
"SELECT T1.StuID, T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.weight > (SELECT AVG(weight) FROM Pets)",What are the IDs and last names of students who have pets that are heavier than the average weight of all pets?,2,True,extra
SELECT Fname FROM Student WHERE Age > 20,What are the first names of the students who are older than 20?,2,True,easy
SELECT S1.StuID FROM Student S1 JOIN Has_Pet S2 ON S1.StuID = S2.StuID JOIN Pets S3 ON S2.PetID = S3.PetID WHERE S1.Age > 20 OR S3.PetType = 'dog' OR S3.pet_age < (SELECT AVG(pet_age) FROM Pets),"What are the student IDs of students who are over 20 years old, or have a dog, or have a pet that is younger than the average age of all pets?",3,True,extra
SELECT Fname FROM Student WHERE Age >= 20,What are the first names of the students who are 20 years old or older?,2,True,easy
"SELECT COUNT(DISTINCT T1.StuID), SUM(T1.Age) FROM Student AS T1 WHERE T1.Age <= 20 LIMIT 5",What is the count of distinct student IDs and the sum of ages of the students aged 20 or younger for the 6th to 10th rows of the result?,3,True,extra
SELECT COUNT(PetID) FROM Pets WHERE weight BETWEEN 20 AND 50 AND pet_age > 10 LIMIT 10,"What is the number of pets that weigh between 20 and 50 and are older than 10, for the 11th to 20th records?",2,True,medium
"SELECT Fname, COUNT(DISTINCT Major) FROM Student WHERE Age > 18 ORDER BY Fname DESC","What are the names of students older than 18, along with the number of different majors they are studying, listed in descending order of first name?",6,False,medium
"SELECT T1.LName, T2.PetType FROM Student AS T1 JOIN Pets AS T2 ON T1.StuID = T2.PetID WHERE T1.Age BETWEEN 18 AND 25 OR NOT EXISTS (SELECT 1 FROM Student AS T3 WHERE T3.StuID = T1.StuID AND T3.Sex = 'M')",What are the last names of students between 18 and 25 years old or who are not male and the types of pets they own?,6,False,extra
SELECT COUNT(DISTINCT P.PetID) FROM Student S JOIN Has_Pet H ON S.StuID = H.StuID JOIN Pets P ON H.PetID = P.PetID WHERE S.Age < 20 LIMIT 5,What are the number of unique pets of the next 5 youngest students under 20 years old?,6,False,extra
SELECT T1.LName FROM Student AS T1 WHERE T1.Sex != 'Male',What are the last names of the female students?,3,True,easy
"SELECT T1.Fname, T3.PetType FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T1.Major NOT IN (SELECT Major FROM Student WHERE Sex = 'F') ORDER BY T1.Age DESC",What are the names and pet types of male students listed in descending order by age?,6,False,extra
"SELECT T1.LName, T1.Fname, T2.PetType FROM Student AS T1 LEFT JOIN Pets AS T2 ON T1.StuID = T2.PetID","What are the last names, first names, and pet types of all students and their corresponding pets, if any?",6,False,medium
"SELECT LName, COUNT(StuID) FROM Student WHERE Age BETWEEN 20 AND 25 AND Sex = 'M' ORDER BY LName ASC LIMIT 10","What are the last names and their corresponding counts of 10 male students between the ages of 20 and 25, sorted alphabetically by last name starting from the 11th result?",6,False,hard
"SELECT T1.LName, T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID ORDER BY T1.LName ASC","What are the first and last names of students who have a pet, listed in ascending order by last name?",6,False,hard
SELECT COUNT(DISTINCT StuID) FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'dog')) LIMIT 10,"What are the next 10 student IDs of students who own a dog, starting from the 11th result?",6,False,extra
"SELECT S.LName, S.Fname FROM Student S JOIN Has_Pet HP ON S.StuID = HP.StuID JOIN Pets P ON HP.PetID = P.PetID WHERE P.pet_age > 5 ORDER BY S.LName ASC LIMIT 10","What are the last and first names of the students, in ascending order by last name, whose pets are more than 5 years old, excluding the first 10 results?",2,True,extra
