query,question,iter,flag,hardness
"SELECT T1.Manufacturer, SUM(T1.Order_Year) AS Order_Year, SUM(T2.Age) AS Age FROM aircraft AS T1 JOIN pilot_record AS T2 ON T1.Aircraft_ID = T2.Aircraft_ID JOIN pilot AS T3 ON T2.Pilot_ID = T3.Pilot_ID GROUP BY T1.Manufacturer ORDER BY T1.Manufacturer ASC LIMIT 10",What are the manufacturers of the top 10 aircraft ordered by manufacturer in ascending order along with the total order year and total age of pilots flying them?,5,True,extra
"SELECT Model, Manufacturer FROM aircraft AS T1 WHERE EXISTS (SELECT T2.Aircraft_ID FROM pilot_record AS T2 WHERE T2.Aircraft_ID = T1.Aircraft_ID AND T2.Aircraft_ID > 100 AND T2.Aircraft_ID < 500) ORDER BY T1.Model ASC","What are the models and manufacturers of aircraft that have been flown by pilots who have flown aircraft with IDs between 100 and 500, listed in ascending order by model?",3,True,extra
SELECT COUNT(T1.Aircraft_ID) FROM aircraft AS T1 WHERE T1.Manufacturer = 'Boeing' AND T1.Order_Year BETWEEN 2010 AND 2020 AND T1.Model NOT IN (SELECT Model FROM aircraft AS T2),How many Boeing aircraft models ordered between 2010 and 2020 are unique to their manufacturer?,6,False,extra
"SELECT T1.Aircraft_ID, T2.Pilot_name FROM aircraft AS T1 JOIN pilot AS T2 ON T1.Aircraft_ID = T2.Pilot_ID WHERE T1.Manufacturer = 'Boeing'",What are the aircraft IDs and corresponding pilot names for Boeing-made aircraft?,6,False,medium
SELECT Pilot_name FROM pilot WHERE Rank = 1 LIMIT 100,What are the names of the 100 pilots starting from the 101st top ranked pilot?,6,False,medium
SELECT COUNT(DISTINCT Pilot_ID) FROM pilot_record AS T1 WHERE T1.Pilot_ID NOT IN ( SELECT T2.Pilot_ID FROM pilot AS T2 WHERE T2.Rank = 1 ) AND T1.Aircraft_ID = 100,How many distinct pilots who are not ranked 1 have flown the aircraft with ID 100?,2,True,extra
SELECT Manufacturer FROM aircraft WHERE Aircraft_ID NOT IN (SELECT Aircraft_ID FROM pilot_record WHERE Pilot_ID IN (SELECT Pilot_ID FROM pilot WHERE Rank = 1 AND Age = (SELECT MIN(Age) FROM pilot WHERE Rank = 1) AND Nationality = (SELECT Nationality FROM pilot WHERE Rank = 1 LIMIT 1))),What are the manufacturers of the aircraft not flown by the youngest first officer of each nationality?,6,False,hard
"SELECT COUNT(DISTINCT T1.Aircraft_ID), COUNT(DISTINCT T2.Pilot_ID), COUNT(DISTINCT T1.Aircraft_ID) FROM aircraft AS T1 JOIN pilot_record AS T2 ON T1.Aircraft_ID = T2.Aircraft_ID JOIN pilot AS T3 ON T2.Pilot_ID = T3.Pilot_ID WHERE T3.Age = (SELECT MAX(Age) FROM pilot)","How many distinct aircraft IDs and pilot IDs are there for pilots with the maximum age, and what is the total number of distinct aircraft IDs?",6,False,extra
"SELECT COUNT(DISTINCT T3.Manufacturer), T1.Pilot_name FROM pilot AS T1 JOIN pilot_record AS T2 ON T1.Pilot_ID = T2.Pilot_ID JOIN aircraft AS T3 ON T2.Aircraft_ID = T3.Aircraft_ID WHERE T1.Age BETWEEN 20 AND 40 AND T1.Nationality NOT IN (SELECT T1.Nationality FROM pilot AS T1 WHERE T1.Team = 'Team A') LIMIT 10","What are the names of the 11th to 20th pilots aged between 20 and 40, not from the nationalities of Team A pilots, along with the number of different aircraft manufacturers they have flown?",6,False,extra
"SELECT T1.Aircraft_ID, T2.Record_ID FROM aircraft AS T1 JOIN pilot_record AS T2 ON T1.Aircraft_ID = T2.Aircraft_ID JOIN pilot AS T3 ON T2.Pilot_ID = T3.Pilot_ID WHERE T3.Rank != 1 LIMIT 10",What are the aircraft IDs and corresponding pilot record IDs for the next 10 records of aircraft flown by pilots who are not ranked 1? ,3,True,extra
