query,question,iter,flag,hardness
"SELECT MAX(T1.Seating), T2.Name FROM track AS T1 JOIN race AS T2 ON T1.Track_ID = T2.Track_ID GROUP BY T2.Name HAVING MAX(T1.Seating) >= 50000",What are the names of the races held at tracks with a maximum seating capacity of 50000 or more?,6,False,medium
SELECT Name FROM race WHERE Class != 'Small' ORDER BY Date DESC,What are the names of the non-small class races in the most recent order?,2,True,medium
SELECT Name FROM race WHERE EXISTS (SELECT Track_ID FROM track WHERE track.Track_ID = race.Track_ID AND track.Seating > 50000) AND Class = 'High',What are the names of the high class races that are held on tracks with a seating capacity of more than 50000?,6,False,extra
SELECT Name FROM race WHERE Class > 'A' ORDER BY Date DESC LIMIT 5,What are the names of the 6th to 10th most recent races with a class higher than 'A'?,3,True,hard
SELECT Name FROM race WHERE Track_ID NOT IN (SELECT Track_ID FROM track WHERE Seating > 10000),What are the names of the races held on tracks with a seating capacity of 10000 or less?,3,True,hard
SELECT Name FROM race WHERE Class = 'G1' AND Date <= '2022-01-01' ORDER BY Name ASC,"What are the names of all G1 races that took place on or before January 1, 2022, listed in alphabetical order? ",4,True,medium
"SELECT COUNT(DISTINCT Name), COUNT(DISTINCT Class), COUNT(Track_ID) FROM race WHERE Date < '2000-01-01' GROUP BY Date HAVING COUNT(Track_ID) > 1","What are the counts of distinct race names, classes, and track IDs for each date before 2000-01-01, but only if the track ID count is more than one?",2,True,extra
"SELECT COUNT(T1.Track_ID), T2.Seating FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID LIMIT 10",What are the track seating capacities for the top 10 tracks with the most races?,6,False,medium
"SELECT T1.Track_ID, T2.Name, T2.Location FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Date BETWEEN '2020-01-01' AND '2020-12-31'","What are the track IDs, names and locations of the races held in the year 2020?",6,False,medium
"SELECT T1.Name, T2.Name FROM race AS T1 INNER JOIN track AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Class = '	Class  A' AND T1.Track_ID = 1 AND T2.Seating BETWEEN 1000 AND 5000 ORDER BY T1.Name ASC","What are the names of the Class A races and their corresponding tracks, with a seating capacity between 1000 and 5000, at track 1, sorted alphabetically by race name?",6,False,hard
"SELECT T1.Name, T2.Name, COUNT(T3.Name) FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID JOIN track AS T3 ON T2.Track_ID = T3.Track_ID WHERE T1.Class = 'A' OR T2.Seating BETWEEN 1000 AND 2000 OR T1.Date > '2020-01-01' ORDER BY T1.Name ASC","What are the names of races, their corresponding tracks, and the number of other races on the same tracks, filtered by races with class 'A', or tracks with between 1000 and 2000 seating, or races after January 1st, 2020, ordered by race name?",6,False,extra
"SELECT T1.Name, T1.Class, T2.Name FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID WHERE T2.Seating >= 50000 AND T1.Date = '2020-01-01'","What are the names and classes of the races held on tracks with a seating capacity of 50,000 or more on '2020-01-01' along with the track names?",2,True,extra
"SELECT T1.Name, COUNT(DISTINCT T2.Race_ID) FROM track AS T1 JOIN race AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Track_ID NOT IN (SELECT Track_ID FROM race) ORDER BY COUNT(DISTINCT T2.Race_ID) DESC","What are the names of the tracks with the most distinct races, excluding tracks with no races?",6,False,extra
"SELECT T1.Name, T1.Date FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Class != 'Class1' ORDER BY T1.Name ASC","What are the names and dates of all races, excluding Class1, sorted by name in ascending order?",5,True,hard
"SELECT T1.Name, COUNT(T2.Track_ID) FROM track AS T1 JOIN race AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Location != 'USA' ORDER BY COUNT(T2.Track_ID) DESC LIMIT 10","What are the names of the top 10 tracks with the most races outside of the USA, excluding the top 10 tracks?",3,True,extra
"SELECT T1.Track_ID, AVG(T1.Seating), COUNT(T2.Race_ID) FROM track AS T1 JOIN race AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Track_ID NOT IN (SELECT T2.Track_ID FROM track AS T1 JOIN race AS T2 ON T1.Track_ID = T2.Track_ID WHERE T2.Class = 'Formula 1') GROUP BY T1.Track_ID ORDER BY T1.Track_ID ASC","What are the track IDs, average seating capacities, and number of races for tracks that do not host Formula 1 races, listed in ascending order by track ID?",2,True,extra
"SELECT T1.Name, COUNT(DISTINCT T2.Track_ID) FROM race AS T1 JOIN race AS T2 ON T1.Class = T2.Class GROUP BY T1.Name",What is the name of each race and the number of distinct tracks it has been held on?,6,False,medium
SELECT MIN(r.Seating) FROM track AS r ORDER BY r.Name ASC,What is the minimum seating capacity of the tracks listed in ascending order by name?,2,True,easy
"SELECT T1.Name, T2.Seating FROM race AS T1 JOIN track AS T2 ON T1.Track_ID = T2.Track_ID WHERE T1.Race_ID BETWEEN 100 AND 200 OR T2.Seating IN (SELECT MAX(Seating) FROM track) OR (T2.Year_Opened > 1950 AND T2.Year_Opened < 1960)",What are the names of the races and their corresponding track seating capacities for races with an id between 100 and 200 or the largest seating capacity or tracks opened between 1950 and 1960?,2,True,extra
SELECT Name FROM track WHERE Seating > 70000 OR EXISTS (SELECT 1 FROM race WHERE race.Track_ID = track.Track_ID AND race.Class = 'A') ORDER BY Name DESC,"What are the names of the tracks with a seating capacity of more than 70000 or that host class A races, listed in descending order?",6,False,extra
SELECT COUNT(DISTINCT Race_ID) FROM race WHERE Date = '2022-01-01' OR Track_ID IN (SELECT Track_ID FROM track WHERE Seating > 50000) ORDER BY Race_ID DESC,"How many distinct races occurred on '2022-01-01' or on tracks with a seating capacity of more than 50000, ordered by the race ID in descending order?",6,True,extra
