query,question,iter,flag,hardness
"SELECT Railway, SUM(Wheels) FROM railway WHERE Railway_ID > 10 GROUP BY Railway HAVING SUM(Wheels) > 100",Which railways with an ID greater than 10 have more than 100 total wheels?,6,False,extra
"SELECT SUM(Wheels), COUNT(Railway_ID), MIN(Location) FROM railway WHERE Built > '1900'","What is the total number of wheels, count of railway IDs, and the earliest location of railways built after 1900?",6,False,medium
"SELECT T1.Railway, T2.Name, T3.Name FROM railway AS T1 JOIN train AS T2 ON T1.Railway_ID = T2.Railway_ID JOIN manager AS T3 ON T3.Manager_ID = T2.Railway_ID WHERE T1.Wheels BETWEEN 3 AND 5","What are the names of railways with 3 to 5 wheels, the names of trains on these railways, and the names of managers associated with these trains?",6,False,hard
SELECT Railway FROM railway WHERE Railway_ID NOT IN (SELECT Railway_ID FROM train WHERE Name = 'Suburban train' AND From = 'St. Petersburg'),What are the railways that the suburban train from St. Petersburg does not serve?,6,True,hard
SELECT T1.Railway_ID FROM railway AS T1 JOIN train AS T2 ON T1.Railway_ID = T2.Railway_ID WHERE T2.Train_ID = 123,What is the railway ID of the railway that operates the train with ID 123?,3,True,medium
SELECT T1.Railway_ID FROM railway AS T1 JOIN train AS T2 ON T1.Railway_ID = T2.Railway_ID JOIN railway_manage AS T3 ON T3.Railway_ID = T1.Railway_ID WHERE EXISTS ( SELECT 1 FROM manager AS T4 WHERE T4.Manager_ID = T3.Manager_ID ),Which railway IDs are managed by at least one existing manager?,4,True,extra
SELECT COUNT(DISTINCT T2.Name) FROM railway AS T1 LEFT JOIN train AS T2 ON T1.Railway_ID = T2.Railway_ID WHERE T2.Name IS NOT NULL AND T1.Railway_ID NOT IN (SELECT Railway_ID FROM railway_manage),How many unique train names are there for railways that are not managed and have trains?,3,True,extra
"SELECT COUNT(Builder) , COUNT(DISTINCT Built) FROM railway WHERE Builder != 'USA'",How many builders are there and how many unique built values are there for railways that are not built by 'USA'?,6,True,medium
SELECT Railway FROM railway WHERE Wheels > 8 LIMIT 5,What are the names of the next 5 railways with more than 8 wheels?,6,False,medium
SELECT LEVEL FROM manager LIMIT 5,What are the levels of the managers ranked from 6th to 10th?,3,True,easy
"SELECT T1.Railway, T2.Name FROM railway AS T1 JOIN manager AS T2 ON T1.Railway_ID = T2.Manager_ID WHERE T2.Age < 50 ORDER BY T2.Age DESC","What are the names of the railways and their corresponding managers under the age of 50, listed in descending order of the manager's age?",2,True,hard
SELECT Railway FROM railway WHERE Builder = 'Builder1' OR Location = 'Location1' ORDER BY Railway_ID DESC LIMIT 10,What are the names of the next 10 railways with the highest railway id that were either built by 'Builder1' or are located in 'Location1'?,3,True,extra
"SELECT COUNT(DISTINCT T1.Railway_ID), COUNT(T1.Train_ID) FROM train AS T1 WHERE T1.Railway_ID IN (SELECT T2.Railway_ID FROM railway AS T2 WHERE T2.Railway = 'Main')",What are the number of unique railways and total number of trains on the main railway?,4,True,extra
SELECT T1.Railway FROM railway AS T1 WHERE T1.Location BETWEEN 'A' AND 'G' AND T1.Builder = 'Builder1' AND NOT EXISTS (SELECT 1 FROM railway AS T2 WHERE T2.Railway_ID = T1.Railway_ID AND T2.Wheels = '4') ORDER BY T1.Railway_ID DESC,"What are the railways with locations between 'A' and 'G', built by 'Builder1', and having no record of 4 wheels, listed in descending order of their railway ID?",6,False,extra
"SELECT COUNT (DISTINCT T1.Railway_ID) , AVG (T2.Wheels) , COUNT (T1.Train_Num) FROM train AS T1 JOIN railway AS T2 ON T1.Railway_ID = T2.Railway_ID WHERE T1.Train_ID = 10 OR T2.Railway_ID BETWEEN 100 AND 200 OR T1.Name > 'Name'","What are the number of distinct railways, average number of wheels, and total number of trains for train number 10, railways between id 100 and 200, and trains with a name alphabetically after 'Name'?",6,False,extra
"SELECT COUNT(T1.Manager_ID), COUNT(T2.Manager_ID) FROM manager AS T1 JOIN railway_manage AS T2 ON T1.Manager_ID = T2.Manager_ID",How many managers are managing railways and how many railways are being managed?,6,False,medium
"SELECT AVG(T1.Age), T2.Railway FROM manager AS T1 JOIN railway_manage AS T2 ON T1.Manager_ID = T2.Manager_ID WHERE T1.Country = 'USA' OR T2.Railway_ID BETWEEN 100 AND 200 OR T1.Level > 3 LIMIT 5","What are the average ages of managers from the USA, or those managing railways with IDs between 100 and 200, or those with a level greater than 3, along with the corresponding railway names, for the 6th to 10th results?",5,True,extra
"SELECT COUNT(DISTINCT Railway_ID), COUNT(Train_ID) FROM train WHERE Train_ID < 1000 ORDER BY Train_ID DESC LIMIT 5",What are the number of distinct railways and the number of trains with train IDs less than 1000 for the 6th to 10th trains when ordered by train ID in descending order?,6,False,hard
"SELECT T2.Builder, MAX(T1.Arrival) FROM train AS T1 JOIN railway AS T2 ON T1.Railway_ID = T2.Railway_ID WHERE T1.Train_Num = '123' OR T1.From = 'New York' OR T1.Arrival BETWEEN (SELECT MIN(Arrival) FROM train) AND (SELECT MAX(Arrival) FROM train) GROUP BY T2.Builder","What is the latest arrival time for each builder of the railway for the train number '123', trains from 'New York', or trains that arrived between the earliest and latest arrival times of all trains?",3,True,extra
