query,question,iter,flag,hardness
SELECT MAX(T1.Tonnage) FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T2.Launched_Year <= 2000,What is the maximum tonnage of ships that were involved in a mission launched before or in the year 2000?,2,True,medium
SELECT Name FROM ship WHERE Tonnage >= 1000 ORDER BY Tonnage DESC,"What are the names of ships with a tonnage of 1000 or more, listed in descending order of tonnage?",2,True,medium
"SELECT T1.Name, SUM(T2.Speed_knots) FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Tonnage > 1000 AND T2.Location = 'North Sea' AND T1.Ship_ID NOT IN (SELECT Ship_ID FROM mission WHERE Fate = 'Sunk') GROUP BY T1.Name HAVING MAX(T2.Speed_knots) > 20 ORDER BY T1.Name ASC LIMIT 10","What are the names of the top 10 ships with a tonnage over 1000 that were not sunk, had a maximum speed of more than 20 knots in the North Sea, ordered alphabetically?",6,False,extra
SELECT T1.Name FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID JOIN ship AS T3 ON T2.Ship_ID = T3.Ship_ID WHERE T2.Launched_Year > 1945 AND T3.Tonnage > 1000 AND EXISTS (SELECT 1 FROM mission AS T4 WHERE T4.Ship_ID = T2.Ship_ID AND T4.Speed_knots > 20) LIMIT 10,What are the names of the next 10 ships that have a tonnage over 1000 and launched after 1945 with speeds over 20 knots in at least one mission?,2,True,extra
"SELECT T1.Name, T2.Name FROM ship AS T1, ship AS T2 WHERE T1.Tonnage BETWEEN 1000 AND 2000 AND T1.Ship_ID = T2.Ship_ID",What are the names of ships with the same ID and tonnage between 1000 and 2000?,6,False,extra
"SELECT T1.Name, COUNT(DISTINCT T1.Ship_ID) FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T2.Code != 'Submarine' GROUP BY T1.Name ORDER BY COUNT(DISTINCT T1.Ship_ID) DESC","What are the ship names along with the number of unique ship IDs for each ship name, excluding submarine missions, listed in descending order of unique ship IDs and then ship name?",6,False,extra
SELECT T1.Mission_ID FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID JOIN ship AS T3 ON T2.Ship_ID = T3.Ship_ID WHERE (T1.Speed_knots BETWEEN 10 AND 20) OR (T1.Launched_Year > 1990) OR (T2.Tonnage > 50000) ORDER BY T1.Mission_ID DESC LIMIT 10,What are the last 10 mission IDs in descending order of missions with speeds between 10 and 20 knots or launched after 1990 or with a tonnage over 50000?,2,True,extra
"SELECT T1.Name, SUM(T2.Speed_knots) FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Tonnage BETWEEN 1000 AND 2000 AND T2.Launched_Year > 1940 AND NOT EXISTS ( SELECT 1 FROM mission AS T3 WHERE T2.Ship_ID = T3.Ship_ID AND T3.Fate = 'Sunk' ) ORDER BY T1.Name DESC","What are the names of ships with tonnage between 1000 and 2000, and the sum of their mission speeds, for ships that were not sunk and launched after 1940, listed in descending order of ship name?",6,False,extra
"SELECT T1.Launched_Year, T1.Code FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Location = 'Tokyo' OR T2.Name = 'USS Arizona' OR NOT EXISTS (SELECT 1 FROM ship WHERE T2.Ship_ID = Ship_ID AND Tonnage > 5000)","What are the launch years and codes of the missions launched from Tokyo, or those using USS Arizona, or those using a ship with a tonnage of 5000 or less?",6,False,extra
"SELECT T1.Launched_Year, T2.Name FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Launched_Year <= 1940 ORDER BY T1.Launched_Year DESC","What are the names of the ships launched before or during 1940, listed in descending order of their launch year?",6,False,hard
SELECT COUNT(T1.Mission_ID) FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Code = 'Code1' OR T1.Code = 'Code2' OR T1.Code IN (SELECT Code FROM mission WHERE Launched_Year > 2000),"How many missions are there with the code 'Code1', 'Code2', or launched after the year 2000?",2,True,extra
"SELECT COUNT(DISTINCT T1.Ship_ID), COUNT(DISTINCT T2.Name), COUNT(T1.Ship_ID) FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Launched_Year BETWEEN 1950 AND 1960 AND T1.Code IN (SELECT Code FROM mission WHERE Speed_knots > 20)","What are the number of unique ship ids, unique ship names, and total number of ships that undertook a mission launched between 1950 and 1960, and had a speed of over 20 knots?",6,False,extra
"SELECT T1.Code, T2.Name FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Launched_Year >= 1945 AND T2.Type = 'Aircraft Carrier' LIMIT 10",What are the codes and names of the next 10 aircraft carriers launched in 1945 or later?,6,False,hard
"SELECT COUNT(DISTINCT T2.Ship_ID), T1.Location FROM Mission AS T1 JOIN Ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T2.Tonnage > 5000 ORDER BY T1.Location DESC","How many unique ship IDs are there for each location of missions, considering only ships with a tonnage greater than 5000, listed in descending order by location?",6,False,hard
"SELECT T1.Mission_ID, COUNT(DISTINCT T2.Ship_ID) FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Code = 'A' OR T2.Name LIKE '%B%' OR EXISTS (SELECT 1 FROM mission AS T3 WHERE T3.Ship_ID = T2.Ship_ID AND T3.Speed_knots > 10) ORDER BY T1.Mission_ID ASC LIMIT 10","What are the mission IDs and the corresponding number of unique ship IDs for missions with code 'A', ship name containing 'B', or ship speed greater than 10 knots, sorted by mission ID in ascending order, from the 11th to the 20th result?",6,False,extra
"SELECT T1.Ship_ID, SUM(T1.Speed_knots) AS sum_speed, MAX(T2.Tonnage) AS max_tonnage FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T2.Tonnage >= 10000 GROUP BY T1.Ship_ID ORDER BY sum_speed DESC","What are the ship IDs along with the sum of their speeds and the maximum tonnage, for ships with a tonnage of at least 10000, ordered by the sum of their speeds in descending order?",3,True,extra
"SELECT T1.Name, T2.Code FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T2.Location = 'Japan' AND T2.Fate = 'Sunk'",What are the names of the ships and their mission codes that were sunk in Japan?,3,True,extra
SELECT * FROM mission WHERE Speed_knots > 20 OR Speed_knots BETWEEN 10 AND 20 OR Speed_knots IN (SELECT Speed_knots FROM mission WHERE Speed_knots < 15),"What are the details of the missions with a speed of more than 20 knots, between 10 and 20 knots, or where the speed is less than 15 knots?",2,True,extra
"SELECT COUNT(DISTINCT T1.Code), COUNT(DISTINCT T2.Name), SUM(T1.Launched_Year) FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Speed_knots < 20 LIMIT 10","What are the counts of distinct mission codes and ship names, and the total launched years of the 11th to 20th slowest missions with speeds less than 20 knots?",4,True,hard
"SELECT T1.Mission_ID, T2.Tonnage FROM Mission AS T1 JOIN Ship AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Launched_Year <= T2.Tonnage",What are the mission ids and corresponding ship tonnages of the ships where the mission launched year is less than or equal to the ship tonnage?,2,True,medium
"SELECT T1.Name, T2.Code FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID ORDER BY T2.Code DESC","What are the names of the ships and their corresponding mission codes, listed in descending order of the mission codes?",6,False,medium
"SELECT T2.Name, T1.Location, SUM(T1.Speed_knots) FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID = T2.Ship_ID JOIN ship AS T3 ON T2.Ship_ID = T3.Ship_ID WHERE T1.Code = 'Code' GROUP BY T2.Name, T1.Location ORDER BY T2.Name ASC LIMIT 10","What are the names of ships, their locations, and the total speed in knots for each ship and location combination, grouped by name and location, ordered by ship name in ascending order, starting from the 11th entry?",6,True,extra
SELECT T1.Name FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID WHERE T1.Tonnage > 1000 AND T2.Launched_Year BETWEEN 1940 AND 1945 AND T2.Speed_knots < 20 ORDER BY T2.Launched_Year DESC,"What are the names of the ships with a tonnage of over 1000 that were launched between 1940 and 1945 with a speed of less than 20 knots, listed in descending order of launch year?",4,True,hard
"SELECT T1.Name, SUM(T1.Tonnage) FROM ship AS T1 JOIN mission AS T2 ON T1.Ship_ID = T2.Ship_ID JOIN mission AS T3 ON T1.Ship_ID = T3.Ship_ID WHERE T3.Speed_knots <= 30",What is the name of each ship and the total tonnage of ships that have been on a mission with a speed of 30 knots or less?,6,False,hard
