query,question,iter,flag,hardness
SELECT pID FROM Player WHERE yCard = '2019-2020' AND HS = 12 ORDER BY pID ASC,"What are the player IDs of those who received a yes card in the 2019-2020 season and have 12 training hours, listed in ascending order?",2,True,medium
SELECT T1.pName FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID JOIN College AS T3 ON T2.cName = T3.cName WHERE T3.state != 'New York' LIMIT 10,"What are the names of players from colleges outside of New York, starting from the 11th player?",6,False,extra
SELECT MIN(T.enr) FROM College AS T WHERE T.state = 'CA' LIMIT 5,"What are the 5 lowest enrollment numbers of colleges in California, excluding the 5 lowest?",6,False,medium
"SELECT T1.cName, COUNT(T2.pID) FROM College AS T1 JOIN Tryout AS T2 ON T1.cName = T2.cName WHERE T2.pID IN (SELECT pID FROM Player WHERE HS > 100 AND yCard = 'Senior') GROUP BY T1.cName ORDER BY COUNT(T2.pID) DESC LIMIT 5","Which colleges have the most tryouts from senior players with over 100 training hours, excluding the top 5?",2,True,extra
SELECT MIN(T.enr) FROM College AS T GROUP BY T.state ORDER BY MIN(T.enr) DESC,What are the states with the highest minimum college enrollment?,6,False,medium
SELECT COUNT(DISTINCT pID) FROM Tryout WHERE decision = 'yes' AND cName = 'Stanford',How many different players were accepted to try out at Stanford?,4,True,medium
SELECT pName FROM Player WHERE HS != 1,What are the names of players with training hours not equal to 1?,2,True,easy
"SELECT T1.pName, T2.cName, COUNT(T3.cName) FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID JOIN College AS T3 ON T2.cName = T3.cName WHERE T1.HS > 25","What is the number of colleges that each player with more than 25 hours of training has tried out for, listed by player name and college name?",6,True,hard
SELECT COUNT(DISTINCT cName) FROM Tryout WHERE decision <= 'yes' ORDER BY cName DESC,"How many colleges, in descending order, have made a yes decision for at least one player?",6,False,medium
"SELECT COUNT(DISTINCT T1.cName), SUM(T1.enr) FROM College AS T1 JOIN Tryout AS T2 ON T1.cName = T2.cName WHERE T1.enr >= 5000 LIMIT 10","What are the counts of distinct college names and the total enrollment for the top 10 colleges with enrollment of 5000 or more, starting from the 11th row?",6,False,hard
"SELECT COUNT(DISTINCT T1.pID), T2.enr FROM Tryout AS T1 JOIN College AS T2 ON T1.cName = T2.cName WHERE T1.decision = 'yes' OR T2.state = 'CA' OR T2.enr BETWEEN 5000 AND 10000",How many distinct players are accepted and what are the enrollments of the colleges in California or having an enrollment between 5000 and 10000?,6,False,extra
SELECT T.cName FROM College AS T WHERE T.state = 'CA' AND T.enr BETWEEN 1000 AND 5000 AND T.cName = 'Stanford' ORDER BY T.enr DESC,"What is the name of Stanford college in California with an enrollment between 1000 and 5000, sorted by enrollment in descending order?",6,False,medium
SELECT T1.cName FROM College AS T1 WHERE T1.state = 'CA' OR T1.state = 'NY' ORDER BY T1.enr DESC LIMIT 10,"What are the names of the next 10 colleges in California or New York with the highest enrollment, excluding the top 10?",6,False,extra
"SELECT T1.pName, T2.cName FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID JOIN College AS T3 ON T2.cName = T3.cName WHERE T3.enr <= 10000 ORDER BY T3.enr ASC LIMIT 10","Which players tried out for the 10 smallest colleges with an enrollment of no more than 10,000 students, listed in order from smallest to largest?",4,True,extra
SELECT * FROM Tryout WHERE EXISTS (SELECT 1 FROM College WHERE Tryout.cName = College.cName AND state = 'CA'),What are the tryouts for colleges located in California?,6,False,hard
SELECT pName FROM Player WHERE HS != 'AL' ORDER BY pID DESC LIMIT 10,What are the names of the 11th to 20th player with the highest player id who had training hours not equal to 'AL'?,2,True,hard
SELECT T1.pName FROM Player AS T1 WHERE T1.pName BETWEEN 'John' AND 'Michael' OR T1.pID IN (SELECT T2.pID FROM Tryout AS T2 WHERE T2.decision = 'accepted') GROUP BY T1.pName HAVING MAX(T1.yCard) = 'Senior' ORDER BY T1.pName DESC,"What are the names of the players who are either named between 'John' and 'Michael' or were accepted in tryouts, and have the highest level of 'Senior', listed in descending order of their names?",6,False,extra
"SELECT T1.cName, T2.pName, COUNT(T3.pID), T3.decision FROM College AS T1 JOIN Tryout AS T3 ON T1.cName = T3.cName JOIN Player AS T2 ON T2.pID = T3.pID WHERE T2.yCard != 'Junior' ORDER BY T2.pName ASC","What are the college names, player names, total number of tryouts, and decisions for non-junior players, listed in ascending order of player name?",6,False,extra
"SELECT T1.pName, T2.state FROM Player AS T1 JOIN College AS T2 ON T2.cName = ( SELECT T3.cName FROM Tryout AS T3 WHERE T3.pID = T1.pID AND T3.decision = 'yes' ) AND T1.HS > 10 ORDER BY T2.state ASC","What are the names of players with more than 10 training hours and the states of the colleges they were accepted to, listed in ascending order by state?",6,False,extra
SELECT T1.cName FROM College AS T1 WHERE T1.state = 'CA' OR T1.enr BETWEEN 1000 AND 2000 OR EXISTS (SELECT T2.pID FROM Player AS T2 WHERE T2.HS = 3 AND T2.pID = (SELECT T3.pID FROM Tryout AS T3 WHERE T3.cName = T1.cName)) ORDER BY T1.cName ASC LIMIT 10,"What are the next 10 college names in alphabetical order, located in 'CA', or having enrollment between 1000 and 2000, or having a tryout player with 3 training hours?",4,True,extra
"SELECT COUNT(DISTINCT T1.pID), COUNT(T1.yCard), T2.cName FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID JOIN College AS T3 ON T2.cName = T3.cName WHERE T1.yCard = 'Freshman' AND T2.pPos = 'Point Guard' AND T3.enr BETWEEN 10000 AND 20000","How many distinct freshman players who are point guards, and the number of freshman players who are point guards, and the college name they try out for, given that the college enrollment is between 10000 and 20000?",6,False,extra
