query,question,iter,flag,hardness
"SELECT COUNT(T1.Product_ID), SUM(T2.Product_Price) FROM Products_in_Events AS T1 JOIN Products AS T2 ON T1.Product_ID = T2.Product_ID WHERE T1.Product_in_Event_ID BETWEEN 1 AND 100 OR T1.Event_ID IN (SELECT Event_ID FROM Events) OR T2.Product_Type_Code = 'A'",What is the number of products and total price of products of type 'A' that are in events 1 through 100 or are part of any event or have a product in event ID?,6,False,extra
SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID = T2.Product_ID WHERE T2.Event_ID = 10 OR T1.Product_Type_Code = 'A' OR T1.Product_Price BETWEEN 100 AND 200,"What are the names of products that are either featured in event 10, or are of type 'A', or have a price between 100 and 200?",2,True,extra
SELECT COUNT(T1.Product_ID) FROM Products_in_Events AS T1 JOIN Products AS T2 ON T1.Product_ID = T2.Product_ID WHERE T1.Event_ID = 100 AND T2.Product_Name = 'ProductA' AND NOT EXISTS (SELECT 1 FROM Events AS T3 WHERE T3.Event_ID = T1.Event_ID AND T3.Event_Type_Code = 'EventType1') LIMIT 10,"How many 'ProductA' products are in events with ID 100 that do not have 'EventType1' type, offset by 10 entries?",6,False,extra
SELECT Product_Name FROM Products WHERE Product_Price <= 1000 LIMIT 10,What are the names of the next 10 products after the first 10 products that cost 1000 or less?,2,True,medium
SELECT T3.Product_Name FROM Products_in_Events AS T1 JOIN Products AS T3 ON T1.Product_ID = T3.Product_ID JOIN Events AS T2 ON T1.Event_ID = T2.Event_ID WHERE T1.Product_in_Event_ID = 100 ORDER BY T3.Product_Price DESC LIMIT 10,What are the names of the 11th to 20th most expensive products in the event with product in event ID 100?,6,False,extra
"SELECT COUNT(T1.Party_ID), T1.Party_Details FROM Parties AS T1 JOIN Parties_in_Events AS T2 ON T1.Party_ID = T2.Party_ID WHERE EXISTS (SELECT 1 FROM Events AS T3 WHERE T3.Event_ID = T2.Event_ID AND T3.Finance_ID > 10000 AND T3.Location_ID < 5000) GROUP BY T1.Party_Details HAVING COUNT(T1.Party_ID) > 5",What is the number of parties and their party details for parties that have participated in more than 5 events where the event finance id is greater than 10000 and the event location id is less than 5000?,6,False,extra
SELECT Product_ID FROM Products WHERE NOT EXISTS (SELECT 1 FROM Products_in_Events AS T1 JOIN Events AS T2 ON T1.Event_ID = T2.Event_ID WHERE T2.Location_ID = 2 AND T1.Product_ID = Products.Product_ID),Which products have never been part of any event at location 2?,2,True,hard
SELECT * FROM Products WHERE Product_Price > 10 OR Product_Name = 'Product1' OR NOT EXISTS ( SELECT 1 FROM Products_in_Events WHERE Products_in_Events.Product_ID = Products.Product_ID ) ORDER BY Product_Price DESC,"What products cost more than 10, or are named 'Product1', or have never been part of any event, listed from most expensive to least expensive?",3,True,extra
SELECT Product_Name FROM Products WHERE Product_Price >= 10 AND Product_Type_Code = 'ABC',What are the names of the products with type code 'ABC' and price 10 or more?,2,True,medium
"SELECT MAX(T1.Product_Name), MAX(T1.Product_Price) FROM Products AS T1 WHERE T1.Product_Type_Code = 'Type1' AND T1.Product_Price BETWEEN 100 AND 1000 ORDER BY T1.Product_ID DESC LIMIT 5",What are the product name and product price of the 6th to 10th most recent products of type 'Type1' with prices between 100 and 1000?,6,False,extra
SELECT COUNT(Product_ID) FROM Products_in_Events WHERE Product_in_Event_ID BETWEEN 100 AND 200 LIMIT 10,What is the count of unique product IDs in the 11th to 20th products in events with product in event ID between 100 and 200?,6,False,medium
SELECT Product_Name FROM Products WHERE Product_Price BETWEEN 500 AND 1000 OR Product_Type_Code = 'Type1' OR Product_Type_Code NOT IN (SELECT Product_Type_Code FROM Products WHERE Product_Price > 1000) GROUP BY Product_Name HAVING MAX(Product_Price) > 500 ORDER BY Product_Name ASC,"Which product names are associated with a maximum price over 500, either directly priced between 500 and 1000, classified as 'Type1', or have a type code not associated with products over 1000, ordered by product name in ascending order?",6,False,extra
"SELECT COUNT(Product_Name), Product_Type_Code FROM Products WHERE Product_Type_Code != 'Electronics' GROUP BY Product_Type_Code",How many products are there for each product type that is not 'Electronics'?,6,False,medium
SELECT T1.Product_Name FROM Products AS T1 JOIN Events AS T2 ON T1.Product_ID = T2.Event_ID JOIN Finances AS T3 ON T3.Finance_ID = T2.Finance_ID JOIN Products_in_Events AS T4 ON T4.Event_ID = T2.Event_ID WHERE T3.Other_Details NOT EXISTS (SELECT * FROM Events AS T5 WHERE T5.Finance_ID > 10000 AND T5.Finance_ID < 50000) OR T1.Product_Price > 5000,What are the names of products that are in events with finance IDs outside the range of 10000 to 50000 or have a price greater than 5000?,6,False,extra
"SELECT Product_Price, AVG(Product_Price) FROM Products WHERE Product_Price >= 10 GROUP BY Product_Price ORDER BY Product_Price DESC","What are the prices of products that cost at least 10 dollars, listed from highest to lowest, along with the average price of each?",3,True,hard
SELECT COUNT(DISTINCT Product_ID) FROM Products_in_Events,How many distinct products are there in events?,2,True,easy
SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID = T2.Product_ID WHERE T1.Product_Price < 10 ORDER BY T1.Product_Name ASC,"What are the names of the products with a price less than 10 dollars that were in any event, listed in alphabetical order?",2,True,hard
"SELECT COUNT(DISTINCT T1.Product_Type_Code), T2.Event_Type_Code FROM Products AS T1 JOIN Products_in_Events AS T3 ON T1.Product_ID = T3.Product_ID JOIN Events AS T2 ON T3.Event_ID = T2.Event_ID WHERE T2.Event_Type_Code = 'Type1' AND T1.Product_Price BETWEEN 10 AND 100 AND T1.Product_Name = 'ProductA'",How many unique product types and what event type are associated with ProductA when the product price is between 10 and 100 and the event type is Type1?,3,True,hard
SELECT Product_Name FROM Products WHERE Product_Price <= 100 AND Product_ID = 10,What is the name of the product with ID 10 and a price of 100 or less?,2,True,medium
"SELECT T1.Product_Name, T2.Product_Name FROM Products AS T1 JOIN Products AS T2 ON T1.Product_Type_Code = T2.Product_Type_Code WHERE T1.Product_Price BETWEEN 100 AND 500 OR T2.Product_Price > 200 ORDER BY T1.Product_Name ASC","What are the pairs of product names of the same product type, ordered by the first product name, where the first product price is between 100 and 500 or the second product price is more than 200?",6,False,extra
SELECT * FROM Products WHERE Product_Price < 10000 LIMIT 1,What is the second cheapest product?,6,False,medium
SELECT Product_Type_Code FROM Products WHERE Product_Price > (SELECT AVG(Product_Price) FROM Products) ORDER BY Product_Type_Code ASC,"What are the product type codes of the products with prices higher than the average price, listed in ascending order by product type code?",2,True,extra
"SELECT T1.Party_ID, T1.Party_Details FROM Parties AS T1 JOIN Parties_in_Events AS T2 ON T1.Party_ID = T2.Party_ID WHERE T2.Event_ID BETWEEN 100 AND 200 AND T2.Role_Code = 'Manager'",What are the party IDs and party details of parties that played a 'Manager' role in events with IDs between 100 and 200?,2,True,extra
