query,question,iter,flag,hardness
SELECT name FROM club WHERE Region != 'Europe' ORDER BY name ASC,"What are the names of the clubs from regions other than Europe, listed in alphabetical order?",2,True,medium
"SELECT T1.name, T2.name, T3.Score FROM club AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID JOIN competition_result AS T3 ON T2.Club_ID = T3.Club_ID_2 WHERE T1.Region = 'North' AND T2.Position = 'Scrum-half' AND T3.Score BETWEEN 10 AND 20","What are the names of the clubs in the North region, their Scrum-half players, and the competition scores between 10 and 20 points?",6,False,hard
"SELECT T1.name, T2.Rank FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID JOIN player AS T3 ON T1.Club_ID = T3.Club_ID WHERE T3.Apps < 10 AND T2.Total < 100 ORDER BY T2.Rank ASC LIMIT 10","What are the names and ranks of the next 10 clubs with total points less than 100 and at least one player with fewer than 10 appearances, ordered by rank in ascending order?",6,False,extra
SELECT T1.name FROM player AS T1 INNER JOIN player AS T2 ON T1.Club_ID = T2.Club_ID WHERE T1.Apps > (SELECT AVG(Apps) FROM player) ORDER BY T1.name ASC LIMIT 10,"What are the names of the top 10 players with more appearances than the average, who are from the same club, listed in ascending order by name, excluding the first 10?",6,False,extra
SELECT T1.Gold FROM club_rank AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID JOIN competition_result AS T3 ON T2.Club_ID = T3.Club_ID_1 WHERE T1.Total BETWEEN 10 AND 20 LIMIT 10,What are the gold counts of the clubs ranked 11th to 20th with a total rank between 10 and 20?,6,False,extra
"SELECT name AS ClubName, Region FROM club",What are the names and regions of the clubs?,2,True,medium
SELECT name FROM club WHERE Region = 'Europe',What are the names of the clubs in the Europe region?,3,True,easy
"SELECT T3.name, T2.Total FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID JOIN player AS T3 ON T1.Club_ID = T3.Club_ID WHERE T1.Region = 'Europe' AND T2.Total BETWEEN 10 AND 50 ORDER BY T2.Total DESC LIMIT 10","What are the names of the top 10 players from European clubs with a total rank between 10 and 50, ordered by their total rank in descending order, excluding the first 10 results?",6,False,extra
SELECT COUNT(DISTINCT T1.name) FROM club AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID WHERE T1.Start_year = '2000' AND T2.Position = 'Forward' AND T2.Apps > ( SELECT AVG(Apps) FROM player WHERE Position = 'Forward' ),How many distinct club names started in the year 2000 and have a forward player with more appearances than the average for a forward player?,4,True,extra
SELECT COUNT(DISTINCT name) FROM club WHERE Region = 'North' OR Start_year BETWEEN 1900 AND 1950 AND Club_ID > 10,How many unique club names are in the North region or started between 1900 and 1950 with an ID greater than 10?,5,True,medium
SELECT T3.name FROM competition AS T1 INNER JOIN competition_result AS T2 ON T1.Competition_ID = T2.Competition_ID INNER JOIN club AS T3 ON T2.Club_ID_1 = T3.Club_ID WHERE T3.Region != 'South',What are the names of the clubs from regions other than 'South' that participated in a competition?,2,True,hard
"SELECT COUNT(DISTINCT T1.name), AVG(T2.Tries) FROM club AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID WHERE T1.Region = 'Europe' OR T2.Position = 'Forward' OR T2.Apps BETWEEN 1 AND 5 OR T2.Points IN (SELECT Points FROM player WHERE Tries > 5) GROUP BY T1.name ORDER BY T2.Tries ASC LIMIT 10","What are the names of the top 10 clubs in Europe with the lowest average number of tries by their players, where players are either forwards, have between 1 and 5 appearances, or have scored more points than players who have made more than 5 tries, along with the average number of tries for each club?",6,False,extra
"SELECT T1.name, T2.Total FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID JOIN player AS T3 ON T2.Club_ID = T3.Club_ID WHERE T3.Player_ID NOT IN ( SELECT Player_ID FROM player WHERE Position = 'Hooker' )",What are the names and total points of the clubs that have players who are not hookers?,6,False,extra
SELECT name FROM club WHERE Start_year < '2010' ORDER BY Club_ID DESC,"What are the names of the clubs that started before 2010, listed in descending order of their club IDs?",2,True,medium
SELECT T2.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID WHERE NOT EXISTS (SELECT 1 FROM competition_result AS T3 WHERE T3.Club_ID_1 = T2.Club_ID AND T3.Score = 'Win') ORDER BY T1.name ASC,"What are the names of players in clubs that have never won a competition, ordered by their club names?",6,False,extra
"SELECT T1.name, SUM(T2.Gold) FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID WHERE T1.Region = 'Europe' GROUP BY T1.name HAVING SUM(T2.Gold) > 10",What are the names of the European clubs that have won more than 10 gold awards in total?,6,False,hard
SELECT T1.name FROM club AS T1 WHERE T1.Region = 'Auckland' OR T1.name NOT IN (SELECT T2.name FROM club AS T2 WHERE T2.Start_year < '2000'),What are the names of the clubs located in 'Auckland' region or started in the year 2000 or later?,2,True,extra
"SELECT T1.name, SUM(T2.Tries) FROM club AS T1 JOIN player AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.name ASC LIMIT 5","What are the names of the next 5 clubs in ascending order, along with the total tries by their players?",4,True,hard
"SELECT Club_ID, SUM(Total) FROM club_rank WHERE Club_ID = 1 OR Rank = 2 OR Club_ID NOT IN (SELECT Club_ID FROM club_rank WHERE Gold = 5) GROUP BY Club_ID HAVING SUM(Total) = 100","Which club or clubs have a total score of 100 and either have a club id of 1, or are ranked 2, or do not have 5 gold medals in any rank?",6,False,extra
"SELECT name, MAX(Start_year) FROM club",What is the name of the club that started in the latest year?,6,False,medium
"SELECT T1.name, MAX(T2.Total) FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID WHERE T2.Rank = 1 AND T2.Gold > 10 AND NOT EXISTS (SELECT * FROM club_rank AS T3 WHERE T3.Club_ID = T1.Club_ID AND T3.Rank > 2) LIMIT 5","What are the names of the top five clubs with the highest total points in first place rankings with more than ten gold medals, where the clubs have never been ranked third place or lower?",2,True,extra
"SELECT Club_ID, name FROM club WHERE Region >= 'East' ORDER BY Club_ID DESC LIMIT 10","What are the names of the top 10 clubs with Club_ID from east region and above, in descending order of Club_ID, excluding the first 10 results?",6,False,hard
"SELECT COUNT(DISTINCT T1.Club_ID), SUM(T2.Total) FROM club AS T1 JOIN club_rank AS T2 ON T1.Club_ID = T2.Club_ID WHERE T1.Region != 'Europe'",What is the number of distinct clubs and the total points of clubs outside of the Europe region?,6,True,extra
