query,question,iter,flag,hardness
"SELECT COUNT(T1.id), T2.total FROM customers AS T1 JOIN invoices AS T2 ON T1.id = T2.customer_id LIMIT 10",What are the counts of customers and total invoice values for the 11th to 20th customers in the invoices table?,6,False,medium
"SELECT COUNT(T1.id), SUM(T1.total) FROM invoices AS T1 WHERE T1.total > 10 AND T1.total BETWEEN 100 AND 1000 AND EXISTS (SELECT 1 FROM customers AS T2 WHERE T2.id = T1.customer_id) ORDER BY T1.total DESC LIMIT 10","What are the total counts and sums of the top 10 invoices with totals between 100 and 1000 and more than 10, for customers with existing records, ordered by total in descending order, starting from the 11th record?",6,False,extra
SELECT SUM(T2.unit_price) FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.album_id WHERE T2.unit_price BETWEEN 0.99 AND 1.99,What is the total price of all tracks that cost between $0.99 and $1.99?,6,False,medium
SELECT COUNT(DISTINCT T1.name) FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id WHERE T2.title < 'title',How many distinct artist names are there for albums with titles less than 'title'?,6,True,medium
SELECT T1.name FROM tracks AS T1 JOIN genres AS T2 ON T1.genre_id = T2.id WHERE T2.name != 'Rock',What are the names of the tracks that are not classified as 'Rock' genre?,6,False,medium
SELECT T1.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN albums AS T3 ON T2.album_id = T3.id WHERE T2.unit_price BETWEEN 0.99 AND 1.99 ORDER BY T1.name ASC LIMIT 10,"What are the names of genres with tracks with a unit price between $0.99 and $1.99, listed in ascending order, starting from the 11th result?",4,True,extra
"SELECT COUNT(DISTINCT T1.album_id), COUNT(DISTINCT T1.media_type_id), T2.name FROM tracks AS T1 JOIN genres AS T2 ON T1.genre_id = T2.id WHERE T1.milliseconds BETWEEN 10000 AND 20000 AND NOT EXISTS (SELECT 1 FROM invoice_lines WHERE track_id = T1.id) ORDER BY T2.name DESC","What are the counts of distinct album id and distinct media type id for tracks with a duration between 10000 and 20000 milliseconds that are not part of any invoice, listed by genre name in descending order?",2,True,extra
SELECT COUNT(T1.name) FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id WHERE T1.name != 'AC/DC' GROUP BY T1.name,"How many albums do each artist, excluding AC/DC, have?",3,True,hard
SELECT T1.name FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id WHERE T2.id < 100 AND NOT EXISTS (SELECT 1 FROM invoices AS T3 WHERE T3.total < 100) ORDER BY T1.name DESC LIMIT 10,"What are the names of the 11th to 20th artists in descending order by name who released albums with ids less than 100, given that there are invoices with totals less than 100 do not exist?",6,False,extra
SELECT first_name FROM customers WHERE last_name > 'A' ORDER BY first_name ASC,"What are the first names of customers, excluding those whose last name starts with 'A' or earlier, listed in ascending order by first name?",3,True,medium
SELECT T1.name FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id WHERE T2.title = 'Bourbon Street Jazz' OR T2.title NOT IN (SELECT title FROM albums WHERE id > 10) ORDER BY T1.name DESC,"What are the names of the artists with albums titled 'Bourbon Street Jazz' or with album ids less than or equal to 10, listed in descending order by name?",6,False,extra
SELECT T1.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T2.composer = 'test' AND EXISTS ( SELECT T3.name FROM media_types AS T3 JOIN tracks AS T4 ON T3.id = T4.media_type_id WHERE T4.genre_id = T1.id ) GROUP BY T1.name HAVING MAX(T2.milliseconds) > 10000 LIMIT 10,"What are the names of the top 10 genres with tracks that have a composer 'test' and are available in at least one media type, and have a maximum track length of more than 10000 milliseconds?",6,False,extra
SELECT * FROM tracks WHERE milliseconds >= 1000000,What are the tracks with a duration of at least 1000000 milliseconds?,2,True,easy
"SELECT * FROM ( SELECT T1.first_name, T2.name FROM customers AS T1 INNER JOIN genres AS T2 ON T1.id = 1 AND T1.first_name = 'Alicia' WHERE T1.id NOT IN ( SELECT T3.customer_id FROM invoices AS T3 WHERE T3.total < 10 ) )",What are the first name and genre name of the customer with the first name 'Alicia' and id 1 who has made an invoice of 10 or more?,6,False,easy
SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T2.name IN (SELECT name FROM genres WHERE id BETWEEN 1 AND 10) AND T1.id = 1 GROUP BY T2.name HAVING MAX(T2.id) = 1,What is the name of the track with the lowest id in the first genre that also has a name matching that of any genre between genres 1 and 10?,6,False,extra
SELECT T1.name FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id JOIN tracks AS T3 ON T2.id = T3.album_id WHERE T3.name = (SELECT T4.name FROM tracks AS T4 JOIN genres AS T5 ON T4.genre_id = T5.id WHERE T5.name = 'Rock'),What are the names of artists who have tracks in the genre 'Rock'?,5,True,extra
SELECT COUNT(DISTINCT T1.name) FROM artists AS T1 JOIN albums AS T2 ON T1.id = T2.artist_id WHERE T2.id < 10 LIMIT 1,"How many distinct artists have an album with an id less than 10, excluding the first result?",6,False,hard
SELECT id FROM albums WHERE artist_id = (SELECT id FROM artists WHERE name = 'AC/DC'),What are the ids of the albums by the artist 'AC/DC'?,2,True,hard
"SELECT COUNT(id) , COUNT(name) FROM artists",How many artist ids are there and how many artist names are there?,2,True,medium
"SELECT T1.name, SUM(T2.unit_price) FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.name = 'Rock' ORDER BY SUM(T2.unit_price) DESC","What is the name of the 'Rock' genre and the total unit price of its tracks, listed in descending order by total unit price?",3,True,hard
