query,question,iter,flag,hardness
"SELECT T1.first_name, T2.course_name FROM People AS T1 JOIN People_Addresses AS T3 ON T1.person_id = T3.person_id JOIN Student_Course_Registrations AS T4 ON T3.person_id = T4.student_id JOIN Courses AS T2 ON T4.course_id = T2.course_id WHERE T3.date_from > T4.registration_date ORDER BY T1.first_name ASC","What are the names of students and the courses they registered for, where their address start date is later than their course registration date, listed alphabetically by first name?",6,True,extra
SELECT T1.first_name FROM People AS T1 WHERE EXISTS (SELECT T2.student_id FROM Students AS T2 WHERE T1.person_id = T2.student_id) ORDER BY T1.first_name ASC,What are the first names of students in alphabetical order?,2,True,extra
"SELECT SUM(course_id) , COUNT(course_id), MAX(course_id) FROM Student_Course_Registrations WHERE course_id < 10 LIMIT 10","What is the sum, count, and maximum of course IDs less than 10, for the 11th to 20th course registrations?",6,False,extra
SELECT COUNT(DISTINCT T1.course_name) FROM Courses AS T1 JOIN Student_Course_Registrations AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 1 ORDER BY T1.course_name DESC,"How many unique courses is student 1 registered for, listed in descending order of course name?",5,True,hard
"SELECT T1.person_id, COUNT(T2.student_id) FROM People AS T1 JOIN Students AS T2 ON T1.person_id = T2.student_id WHERE T1.person_id < 100",What are the person IDs and the corresponding number of students for people with IDs less than 100?,6,False,medium
"SELECT T1.first_name, MAX(T3.date_of_attendance) FROM People AS T1 JOIN Students AS T2 ON T1.person_id = T2.student_id JOIN Student_Course_Attendance AS T3 ON T2.student_id = T3.student_id WHERE T3.date_of_attendance <= '2020-01-01' GROUP BY T1.first_name ORDER BY MAX(T3.date_of_attendance) DESC LIMIT 10",What are the names of the 11th to 20th students with the most recent course attendance date before 2020-01-01?,6,False,extra
"SELECT T1.person_id, COUNT(T2.candidate_id) FROM People AS T1 JOIN Candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.first_name = 'John' GROUP BY T1.person_id HAVING COUNT(T2.candidate_id) > 1 ORDER BY T1.person_id ASC LIMIT 10","What are the IDs of the first 10 people named John who have more than one candidate ID, listed in ascending order of their person IDs?",6,False,extra
"SELECT T1.first_name, AVG(T2.student_details) FROM People AS T1 JOIN Students AS T2 ON T1.person_id = T2.student_id WHERE T1.person_id > 100 GROUP BY T1.first_name HAVING AVG(T2.student_details) > 0","What is the average student details for each person with first name, where the average student details is greater than 0, considering only people with person id greater than 100?",6,True,hard
SELECT COUNT(DISTINCT T1.student_id) FROM Student_Course_Registrations AS T1 WHERE T1.course_id NOT IN (SELECT T2.course_id FROM Student_Course_Attendance AS T2),How many students are registered for courses that they have never attended?,2,True,extra
"SELECT COUNT(DISTINCT T1.course_id), COUNT(DISTINCT T2.student_id), T3.login_name FROM Student_Course_Registrations AS T1 JOIN Student_Course_Attendance AS T2 ON T1.student_id = T2.student_id JOIN People AS T3 ON T3.person_id = T2.student_id WHERE T1.registration_date = T2.date_of_attendance LIMIT 10","What are the distinct course IDs, distinct student IDs, and login names for students who registered for a course and attended on the same day, limited to 10 results offset by 10?",6,False,extra
"SELECT COUNT(course_id), SUM(course_id) FROM Student_Course_Registrations AS T1",What is the total number of course registrations and the sum of the course ids in the student course registrations?,2,True,medium
SELECT COUNT(*) AS count FROM People,How many people are there in total?,2,True,easy
"SELECT T1.first_name, T2.course_name FROM People AS T1 JOIN Student_Course_Registrations AS T3 ON T1.person_id = T3.student_id JOIN Courses AS T2 ON T3.course_id = T2.course_id WHERE T1.first_name BETWEEN 'A' AND 'Z' AND EXISTS ( SELECT T4.student_id FROM Student_Course_Attendance AS T4 WHERE T3.student_id = T4.student_id )","What are the names of students who have been registered for a course and have attended that course, with the student's first name starting with any letter from A to Z?",6,False,extra
