query,question,iter,flag,hardness
SELECT T1.organisation_id FROM Projects AS T1 WHERE T1.organisation_id = 1,What is the organisation id of the project with organisation id 1?,2,True,easy
"SELECT COUNT(DISTINCT document_type_code), document_description FROM Document_Types WHERE document_type_code NOT IN (SELECT document_type_code FROM Documents) GROUP BY document_description HAVING MIN(document_type_code) > 'A'",How many distinct document type codes are there for each document description where the document type code is not used in any documents and the smallest document type code is greater than 'A'?,6,False,extra
SELECT grant_amount FROM Grants WHERE grant_amount BETWEEN 1000 AND 2000 LIMIT 10,What are the 11th to 20th grant amounts that are between 1000 and 2000?,2,True,medium
SELECT T1.document_type_code FROM Documents AS T1 JOIN Document_Types AS T2 ON T1.document_type_code = T2.document_type_code WHERE T1.grant_id = 500 ORDER BY T1.document_type_code ASC,"What are the document type codes for the documents associated with grant 500, listed in ascending order?",5,True,hard
SELECT COUNT(DISTINCT T1.grant_id) FROM Grants AS T1 JOIN Documents AS T2 ON T1.grant_id = T2.grant_id WHERE T1.grant_amount < 100000 ORDER BY COUNT(DISTINCT T1.grant_id) DESC,How many grants with a grant amount less than 100000 have associated documents?,6,False,hard
SELECT T1.outcome_code FROM Research_Outcomes AS T1 JOIN Project_Outcomes AS T2 ON T1.outcome_code = T2.outcome_code WHERE T1.outcome_code != T2.outcome_code,What research outcome codes are present in both Research Outcomes and Project Outcomes but have different codes?,4,True,medium
"SELECT COUNT(DISTINCT T1.document_id), T2.grant_id, T3.project_id FROM Documents AS T1 JOIN Grants AS T2 ON T1.grant_id = T2.grant_id JOIN Projects AS T3 ON T2.organisation_id = T3.organisation_id LIMIT 10","What are the counts of distinct documents for the grant_id and project_id combinations, starting from the 11th result?",6,False,hard
"SELECT COUNT(DISTINCT T1.document_type_code) , COUNT(T1.document_id) , T1.grant_id FROM Documents AS T1 JOIN Grants AS T2 ON T1.grant_id = T2.grant_id JOIN Organisations AS T3 ON T2.organisation_id = T3.organisation_id JOIN Projects AS T4 ON T3.organisation_id = T4.organisation_id","How many unique document types are there, what is the total number of documents, and what is the grant id for each grant in the joined documents, grants, organisations, and projects?",6,True,hard
SELECT COUNT(document_type_code) FROM Document_Types WHERE document_type_code > '100',How many document types have a code greater than 100?,3,True,easy
SELECT T1.document_type_code FROM Document_Types AS T1 JOIN Documents AS T2 ON T1.document_type_code = T2.document_type_code,What are the document type codes that are available in both the Document_Types table and the Documents table?,5,True,easy
"SELECT COUNT (DISTINCT document_type_code), document_description FROM Document_Types WHERE document_type_code = 'doc_type' LIMIT 10","What are the distinct document type codes and their descriptions for document type 'doc_type', showing the count of each, limited to 10 records starting from the 11th record?",6,False,medium
"SELECT T1.grant_amount, AVG(T1.grant_amount) FROM Grants AS T1 JOIN Documents AS T2 ON T1.grant_id = T2.grant_id GROUP BY T1.grant_amount HAVING T1.grant_amount > 10000 LIMIT 10","What are the grant amounts greater than 10000, along with their average, for the 11th to 20th grants with the highest grant amounts?",6,False,hard
SELECT * FROM Documents WHERE grant_id = 100 OR document_id BETWEEN 100 AND 200 OR document_type_code IN (SELECT document_type_code FROM Document_Types WHERE document_description = 'document') ORDER BY document_id ASC,"What are the details of documents that have a grant id of 100, or a document id between 100 and 200, or are of a type that is described as 'document', sorted by document id in ascending order?",3,True,extra
SELECT T1.grant_amount FROM Grants AS T1 JOIN Projects AS T2 ON T1.organisation_id = T2.organisation_id JOIN Tasks AS T3 ON T2.project_id = T3.project_id LIMIT 10,What are the grant amounts of the next 10 grants for organisations that are managing a project with tasks?,2,True,hard
"SELECT MAX(T1.grant_amount) AS grant_amount, T2.organisation_id FROM Grants AS T1 JOIN Projects AS T2 ON T1.organisation_id = T2.organisation_id GROUP BY T2.organisation_id HAVING MAX(T1.grant_amount) <= 10000",What are the maximum grant amounts and corresponding organisation IDs for projects where the maximum grant amount is less than or equal to 10000?,6,True,medium
"SELECT COUNT(DISTINCT T1.project_id), AVG(T2.grant_amount) FROM Projects AS T1 JOIN Grants AS T2 ON T1.organisation_id = T2.organisation_id JOIN Documents AS T3 ON T2.grant_id = T3.grant_id WHERE T3.sent_date BETWEEN '2020-01-01' AND '2020-12-31' OR T2.grant_amount < 10000 OR T1.project_details = 'Project A'","What is the number of distinct project ids and the average grant amount for projects that either had a grant sent in 2020, had a grant amount less than 10000, or were labeled as 'Project A'?",6,False,extra
SELECT T1.document_type_code FROM Document_Types AS T1 WHERE NOT EXISTS (SELECT T2.document_id FROM Documents AS T2 WHERE T2.document_type_code = T1.document_type_code),What are the document type codes that have no documents?,2,True,hard
"SELECT T5.grant_amount, COUNT(T4.project_id) FROM Organisations AS T1 JOIN Projects AS T2 ON T1.organisation_id = T2.organisation_id JOIN Project_Staff AS T3 ON T2.project_id = T3.project_id JOIN Project_Outcomes AS T4 ON T3.project_id = T4.project_id JOIN Grants AS T5 ON T2.organisation_id = T5.organisation_id WHERE T5.grant_start_date != '2020-01-01' GROUP BY T5.grant_amount ORDER BY T5.grant_amount ASC","What is the grant amount and the number of projects for each grant amount for grants that started after '2020-01-01', ordered by the grant amount in ascending order?",6,False,extra
"SELECT T1.document_type_code, T2.grant_id FROM Document_Types AS T1 JOIN Documents AS T2 ON T1.document_type_code = T2.document_type_code JOIN Grants AS T3 ON T2.grant_id = T3.grant_id WHERE T2.sent_date < T3.grant_start_date AND T1.document_type_code IN (SELECT document_type_code FROM Document_Types WHERE document_description = 'Type 1')",What are the document type codes and grant ids for Type 1 documents that were sent before the grant start date?,2,True,extra
