query,question,iter,flag,hardness
"SELECT T1.University_Name, COUNT(T2.Major_ID) FROM university AS T1 JOIN major_ranking AS T2 ON T1.University_ID = T2.University_ID JOIN major AS T3 ON T2.Major_ID = T3.Major_ID WHERE T1.Home_Conference IN (SELECT T4.Home_Conference FROM university AS T4 WHERE T4.Enrollment < 10000) GROUP BY T1.University_Name HAVING COUNT(T2.Major_ID) > 5","What are the names of universities with home conferences also used by universities with less than 10000 enrollment, that offer more than 5 majors?",5,True,extra
SELECT Enrollment FROM university WHERE City != 'New York',What are the enrollments of universities located in cities other than New York?,3,True,easy
"SELECT COUNT(DISTINCT ur.University_ID), AVG(oar.Reputation_point) FROM university ur JOIN overall_ranking oar ON ur.University_ID = oar.University_ID WHERE (ur.Home_Conference = 'SEC' OR ur.Enrollment BETWEEN 10000 AND 20000) AND oar.Reputation_point > 50 GROUP BY ur.University_Name HAVING SUM(oar.Reputation_point) > 100 ORDER BY ur.University_Name ASC","What are the number of unique universities and the average reputation points of universities named in ascending order, with either SEC as their home conference or an enrollment between 10,000 and 20,000, and a total reputation point greater than 100, and an individual reputation point greater than 50?",6,False,extra
SELECT COUNT(University_ID) FROM university AS U1 WHERE U1.University_Name != 'ABC University' GROUP BY U1.University_Name LIMIT 10,"What is the number of universities with different names from 'ABC University', listed from 11th to 20th?",2,True,hard
"SELECT University_Name, COUNT(University_ID) FROM university WHERE City != 'New York' GROUP BY University_Name HAVING COUNT(University_ID) > 1",What are the names of universities that are located outside of New York and have more than one campus?,6,False,medium
"SELECT MAX(Home_Conference) AS Home_Conference, MIN(Home_Conference) AS Home_Conference FROM university ORDER BY University_ID DESC LIMIT 10",What are the highest and lowest home conferences of the 11th to 20th universities with the highest IDs?,3,True,extra
SELECT Enrollment FROM university WHERE Enrollment != 10000 LIMIT 10,"What are the enrollments of the next 10 universities with an enrollment other than 10,000?",2,True,medium
"SELECT T1.University_Name, SUM(T2.Total) FROM university AS T1 JOIN overall_ranking AS T2 ON T1.University_ID = T2.University_ID WHERE T1.Enrollment BETWEEN 10000 AND 20000 AND EXISTS (SELECT T3.Rank FROM major_ranking AS T3 WHERE T3.University_ID = T1.University_ID AND T3.Rank = 1) ORDER BY T1.University_Name DESC LIMIT 5","What are the names of the 6th to 10th universities with the highest total overall ranking scores in descending order of university name, where enrollment is between 10,000 and 20,000 and the university has a rank of 1 in at least one major?",6,False,extra
"SELECT University_Name, MAX(Enrollment) FROM university WHERE University_ID IN ( SELECT University_ID FROM major_ranking WHERE Rank = 1 ) GROUP BY University_Name",What are the names of the universities with top-ranked majors and what is their maximum enrollment?,4,True,extra
SELECT University_Name FROM university WHERE University_Name NOT IN (SELECT University_Name FROM university WHERE University_ID IN (SELECT University_ID FROM major_ranking WHERE Rank > 10)) ORDER BY University_Name DESC,"What are the names of the universities with at least one major ranking of 10 or less, listed in descending order?",3,True,extra
SELECT University_Name FROM university WHERE Enrollment > (SELECT AVG(Enrollment) FROM university) LIMIT 10,What are the names of the next 10 universities with enrollments greater than the average university enrollment?,6,False,extra
SELECT Enrollment FROM university WHERE University_ID = 1 ORDER BY Enrollment DESC,"What is the enrollment of the university with ID 1, listed in descending order?",2,True,medium
"SELECT COUNT(DISTINCT University_ID) , COUNT(DISTINCT University_Name) , COUNT(DISTINCT City) FROM university WHERE University_Name = 'University of California' ORDER BY University_ID DESC","How many distinct university ids, names, and cities are there for the University of California?",3,True,extra
SELECT T1.University_Name FROM university AS T1 INNER JOIN university AS T2 ON T1.University_ID = T2.University_ID WHERE T1.University_Name NOT IN (SELECT University_Name FROM university WHERE City = 'New York'),What are the names of universities not based in New York City?,6,False,extra
"SELECT T1.University_Name, T1.Home_Conference FROM university AS T1 JOIN overall_ranking AS T2 ON T1.University_ID = T2.University_ID WHERE T1.Enrollment <= 10000 AND T2.Reputation_point <= 80","What are the names and home conferences of universities with an enrollment of 10,000 or less and a reputation point of 80 or less?",2,True,extra
"SELECT T1.University_Name, COUNT(T3.Rank) FROM university AS T1 JOIN overall_ranking AS T2 ON T1.University_ID = T2.University_ID JOIN major_ranking AS T3 ON T2.University_ID = T3.University_ID WHERE T1.Enrollment > (SELECT AVG(Enrollment) FROM university) GROUP BY T1.University_Name ORDER BY COUNT(T3.Rank) DESC","What are the names of universities with above-average enrollment, ranked by the number of highly ranked majors they offer?",6,False,extra
SELECT University_Name FROM university WHERE Affiliation = 'State' AND State = 'CA' AND University_ID NOT IN (SELECT University_ID FROM overall_ranking WHERE Reputation_point > 1000) ORDER BY University_Name ASC,"What are the names of state universities in California, listed in ascending order, excluding those with a reputation point greater than 1000?",6,False,extra
"SELECT T1.University_Name, SUM(T1.Enrollment) FROM university AS T1 WHERE T1.Enrollment > 10000 ORDER BY T1.Enrollment ASC","What are the names of universities with enrollment greater than 10,000 and what are their total enrollments, listed in ascending order by enrollment?",6,False,medium
SELECT T1.University_Name FROM university AS T1 JOIN university AS T2 ON T1.University_ID = T2.University_ID WHERE EXISTS (SELECT 1 FROM overall_ranking AS T3 WHERE T3.University_ID = T1.University_ID) ORDER BY COUNT(DISTINCT T1.University_ID) ASC,"What are the names of the universities with at least one overall ranking, listed in ascending order by the number of unique university IDs?",5,True,extra
"SELECT University_ID, University_Name, City, State, Team_Name, Affiliation, Enrollment, Home_Conference FROM university WHERE Enrollment <= 2000 ORDER BY Enrollment ASC","What are the university id, name, city, state, team name, affiliation, enrollment, and home conference of universities with an enrollment of 2000 or less, listed in ascending order of enrollment?",3,True,medium
