query,question,iter,flag,hardness
SELECT COUNT(DISTINCT Name) FROM people WHERE Age < 20 LIMIT 10,"What are the counts of distinct names of the people who are under 20 years old, starting from the 11th record?",5,True,medium
SELECT T1.Church_ID FROM church AS T1 JOIN wedding AS T2 ON T1.Church_ID = T2.Church_ID WHERE T1.Church_ID IN (SELECT T3.Church_ID FROM wedding AS T3 GROUP BY T3.Church_ID HAVING COUNT(DISTINCT T3.Male_ID) > 1) ORDER BY T1.Church_ID ASC,Which churches have had more than one groom and list them in ascending order by church ID?,2,True,extra
"SELECT T1.Name, COUNT(T2.Church_ID), COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID WHERE T1.People_ID IN (SELECT T3.Male_ID FROM wedding AS T3) ORDER BY T1.Name DESC","What are the names of people who have gotten married, along with the total number of weddings they participated in and the number of different churches they got married in, listed in descending order by name?",6,False,extra
"SELECT Name, MAX(Age), MIN(Age) FROM people WHERE Country > 'USA' ORDER BY Name DESC","What are the names of people from countries after USA, along with the maximum and minimum ages of those people, listed in descending order of their names?",6,False,extra
SELECT p.Name FROM people AS p WHERE NOT EXISTS ( SELECT 1 FROM wedding AS w WHERE w.Male_ID = p.People_ID ),What are the names of the males who have never been married in any church?,5,True,hard
"SELECT T1.Name, COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Female_ID JOIN church AS T3 ON T2.Church_ID = T3.Church_ID WHERE T2.Year = 2000 ORDER BY T1.Name ASC","What is the number of distinct churches where each female got married in the year 2000, listed in ascending order by the female's name?",6,False,extra
SELECT T1.Name FROM people AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Age > 25 LIMIT 10,What are the names of the next 10 people older than 25?,6,False,hard
SELECT * FROM people WHERE Age <= 30 LIMIT 10,What are the details of the 11th to 20th youngest people?,6,False,medium
"SELECT T1.Name, COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Female_ID WHERE NOT EXISTS (SELECT 1 FROM church AS T3 WHERE T3.Church_ID = T2.Church_ID AND T3.Name = 'Test Church') LIMIT 10",What are the names of the top 10 women who got married in a church other than 'Test Church' along with the number of distinct churches where they got married?,6,False,extra
"SELECT COUNT(T1.Church_ID), T3.Age FROM church AS T1 JOIN wedding AS T2 ON T1.Church_ID = T2.Church_ID JOIN people AS T3 ON T3.People_ID = T2.Female_ID WHERE T3.Is_Male != 'true' GROUP BY T3.Age LIMIT 10","What is the count of churches and the age of the female getting married for each age, starting from the 11th result?",4,True,extra
"SELECT T1.Name, COUNT(DISTINCT T2.Female_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID WHERE T2.Year > 2000 OR T1.Age > 30 OR T1.People_ID IN (SELECT Male_ID FROM wedding WHERE Year > 2000)","What are the names of people and the number of distinct females they married, where either the wedding year is after 2000, the person is older than 30, or the person got married after 2000?",3,True,extra
