query,question,iter,flag,hardness
SELECT SUM(T1.winner_rank_points) FROM matches AS T1 JOIN players AS T2 ON T1.winner_id = T2.player_id GROUP BY T2.last_name HAVING SUM(T1.winner_rank_points) <= 10000 ORDER BY SUM(T1.winner_rank_points) ASC,"What are the total winner rank points for each player's last name, where the total points are less than or equal to 10000, listed in ascending order of total points?",6,False,hard
"SELECT T1.first_name, COUNT(T2.tourney_id) FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id WHERE T1.hand = 'Right' GROUP BY T1.first_name LIMIT 10",What are the first names of the top 11-20 right-handed tennis players with the most tournament wins?,6,False,extra
"SELECT T1.first_name, T2.winner_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id JOIN rankings AS T3 ON T2.winner_id = T3.player_id WHERE T2.winner_age < 30 ORDER BY T2.winner_rank_points DESC","What are the first names of the winners under 30 years old and their corresponding winner names, ordered by their ranking points in descending order?",6,False,extra
"SELECT M1.loser_ioc, M2.winner_ioc FROM matches M1, matches M2 WHERE M1.match_num = M2.match_num AND M1.winner_id = M2.loser_id AND M1.loser_id BETWEEN 1 AND 100 ORDER BY M1.match_num DESC","What are the loser and winner ioc in matches where the loser id is between 1 and 100, ordered by match number in descending order, and the winner and loser have the same match number and swapped id?",4,True,hard
"SELECT COUNT(DISTINCT T1.hand), T1.last_name FROM players AS T1 WHERE T1.country_code = 'rus' OR T1.hand = 'right' OR T1.player_id IN (SELECT player_id FROM rankings)","How many distinct hands are there among Russian players or players who are right-handed or players who have a ranking, and what are their last names?",2,True,extra
"SELECT COUNT(DISTINCT T1.first_name), T1.hand FROM players AS T1 WHERE T1.hand != 'Right'",How many distinct first names are among players who are not right-handed and what are their respective handedness?,6,False,medium
"SELECT T1.first_name, COUNT(DISTINCT T2.match_num), COUNT(DISTINCT T3.match_num) FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id JOIN matches AS T3 ON T1.player_id = T3.loser_id WHERE T1.country_code >= 'USA' LIMIT 10","What are the names of players from the USA and the number of distinct matches they won and lost, listed from the 11th to the 20th player?",6,False,extra
SELECT T1.first_name FROM players AS T1 WHERE T1.hand = 'Right' OR T1.country_code BETWEEN 'USA' AND 'CAN' OR T1.country_code NOT IN (SELECT country_code FROM players WHERE player_id < 10),"What are the first names of players who are right-handed, or from the USA or Canada, or have a country code not among the first 10 players? ",6,False,extra
"SELECT T1.first_name, T2.winner_rank FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id WHERE T2.year BETWEEN 2000 AND 2010",What were the first names and winner ranks of players who won matches between 2000 and 2010?,3,True,medium
"SELECT T1.first_name, T1.last_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id JOIN rankings AS T3 ON T1.player_id = T3.player_id WHERE EXISTS (SELECT 1 FROM rankings AS T4 WHERE T4.ranking_points > 1000)",What are the names of players who have ever had more than 1000 ranking points?,6,False,extra
