query,question,iter,flag
SELECT T1.Allergy FROM Allergy_Type AS T1 JOIN Has_Allergy AS T2 ON T1.Allergy = T2.Allergy LIMIT 2,What are the names of the second and third allergies in the list of allergies students have?,6,False
"SELECT COUNT(ha.StuID), COUNT(DISTINCT at.AllergyType), at.AllergyType FROM Allergy_Type at JOIN Has_Allergy ha ON at.Allergy = ha.Allergy JOIN Student s ON ha.StuID = s.StuID WHERE s.Age >= 18 GROUP BY at.AllergyType HAVING COUNT(ha.StuID) > 34","For each allergy type, what is the total number of students who have that type of allergy and the total number of distinct allergy types those students have, given that the students are at least 18 years old and there are more than 34 students with each allergy type?",6,False
SELECT f.Allergy FROM Has_Allergy AS f WHERE f.StuID <= 100 GROUP BY f.Allergy ORDER BY f.Allergy DESC LIMIT 7;,What are the top 7 most common allergies found in students with a student ID of 100 or less?,6,False
"SELECT s.Major, s.Age FROM Student AS s WHERE s.StuID != 6 ORDER BY s.Major DESC;","What are the majors and ages of students, excluding student with id 6, listed in descending order by major?",2,True
"SELECT AVG(S.StuID), MAX(S.Major), COUNT(DISTINCT HA.Allergy) FROM Student S JOIN Has_Allergy HA ON S.StuID = HA.StuID JOIN Allergy_Type AT ON HA.Allergy = AT.Allergy WHERE S.Age = 44;","What is the average student ID, the maximum major, and the number of distinct allergies for 44-year-old students who have allergies?",3,True
SELECT Allergy FROM Has_Allergy WHERE StuID = 77,What allergies does student 77 have?,2,True
SELECT f.LName FROM Student AS f WHERE  f.Advisor <= 85,What are the last names of students whose advisor ID is less than or equal to 85?,2,True
"SELECT Allergy, AllergyType FROM Allergy_Type ORDER BY AllergyType DESC;",What are the allergies and their types listed in descending order of allergy type?,2,True
"SELECT T1.StuID, T2.Allergy FROM Student AS T1 JOIN Has_Allergy AS T2 ON T1.StuID = T2.StuID GROUP BY T2.Allergy HAVING MIN(T1.StuID) < 93",What allergies are present in students with the lowest ID less than 93?,6,False
"SELECT AVG(StuID), COUNT(DISTINCT StuID), AllergyType FROM Has_Allergy JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy WHERE  StuID >= 13 GROUP BY AllergyType ORDER BY AllergyType ASC LIMIT 3","What are the average student ID, number of unique students, and allergy type for students with a student ID of 13 or higher, grouped by allergy type and ordered by allergy type in ascending order, starting from the fourth group and returning the next three groups?",6,False
"SELECT DISTINCT x.StuID, x.Allergy FROM Has_Allergy AS x WHERE  x.StuID != 84 LIMIT 10","What are the distinct student IDs and allergies for students with IDs other than 84, showing 10 results starting from the 11th?",2,True
"SELECT MAX(StuID), COUNT(DISTINCT StuID), COUNT(DISTINCT Allergy), Allergy FROM Has_Allergy WHERE StuID > 0 GROUP BY Allergy HAVING COUNT(StuID) >= 43","What are the allergy names with the maximum student ID, count of distinct student IDs, and count of distinct allergy names, where the number of students with each allergy is at least 43?",6,False
"SELECT StuID, Allergy FROM Has_Allergy WHERE StuID <= 29 OR StuID NOT IN (SELECT StuID FROM Student AS s WHERE  s.Age < 94) GROUP BY Allergy HAVING COUNT(StuID) < 26 LIMIT 6","What allergies, excluding those with more than 25 students, are found in students under 94 years old or students with IDs 29 or lower, listing the 7th to 12th results?",6,False
"SELECT COUNT(StuID), StuID FROM Allergy_Type JOIN Has_Allergy ON Has_Allergy.Allergy = Allergy_Type.Allergy WHERE StuID != 94","What are the IDs of students other than 94 who have allergies, and how many students are there in total?",2,True
SELECT StuID FROM Has_Allergy WHERE  StuID >= 21,Which students with an ID of 21 or higher have allergies?,2,True
SELECT T2.Sex FROM Has_Allergy AS T1 INNER JOIN Student AS T2 ON T1.StuID = T2.StuID WHERE T2.Advisor > 1 ORDER BY T2.Sex ASC;,"What is the sex of students, in ascending order, who have an advisor other than 1 and have allergies?",4,True
"SELECT StuID, Allergy FROM Has_Allergy WHERE StuID BETWEEN 1 AND 10 AND  StuID <= 24 GROUP BY Allergy HAVING COUNT(StuID) > 96 ORDER BY COUNT(StuID) DESC LIMIT 6","What are the next 6 most common allergies among students with IDs between 1 and 24, excluding the 6 most common ones?",6,False
