query,question,iter,flag
SELECT COUNT(DISTINCT Show_times_per_day) FROM schedule WHERE (Show_times_per_day BETWEEN 1 AND 10) OR Film_ID <= 14 LIMIT 10,"What is the number of distinct show times per day for films shown between 1-10 times a day or films with an ID less than or equal to 14, starting from the 11th result?",6,False
"SELECT AVG(Openning_year), Name FROM cinema WHERE Capacity >= (SELECT MAX(Capacity) FROM cinema WHERE Openning_year < 95) GROUP BY Name, Openning_year LIMIT 7","What are the average openning years and names of the cinemas, specifically those with a capacity greater than or equal to the maximum capacity of cinemas that opened before 1995, for the 8th to 14th results?",6,False
"SELECT T1.Date, T2.Location FROM schedule AS T1 JOIN cinema AS T2 ON T1.Cinema_ID = T2.Cinema_ID JOIN film AS T3 ON T3.Film_ID = T1.Film_ID WHERE T3.Film_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM schedule WHERE Film_ID < 78 AND Film_ID = T3.Film_ID)","What are the dates and locations of film screenings for films with IDs between 1 and 10, or for films with IDs less than 78 that have scheduled screenings?",6,False
"SELECT MIN(Show_times_per_day), Date FROM schedule WHERE Price BETWEEN 1 AND 10 OR Cinema_ID != 7 ORDER BY Date ASC","On each date, what is the minimum number of show times per day for films screened at cinemas costing between 1 and 10 dollars per ticket or at any cinema other than cinema 7, listed in chronological order by date?",6,False
"SELECT COUNT(DISTINCT Capacity), Capacity FROM cinema WHERE Cinema_ID = 53 GROUP BY Capacity HAVING COUNT(Cinema_ID) >= 70 ORDER BY Capacity DESC LIMIT 3",What are the top three distinct capacities of cinema 53 with at least 70 cinemas in descending order after the first three results?,6,False
SELECT s.Title FROM film AS s WHERE Original_air_date IN (SELECT Original_air_date FROM film AS s WHERE  s.Number_in_season < 77 LIMIT 4) LIMIT 4,What are the titles of the next 4 films that were released on the same date as any of the first 4 films with a number in season less than 77?,6,False
"SELECT COUNT(DISTINCT Openning_year), Location FROM cinema WHERE Cinema_ID != 88 GROUP BY Location;","In how many different years did cinemas, excluding the one with id 88, open in each location?",3,True
SELECT Film_ID FROM film WHERE Number_in_season BETWEEN 1 AND 10 AND Directed_by IN (SELECT Directed_by FROM film AS s WHERE  s.Film_ID < 79),What are the film IDs of films that are between 1 and 10 in the season and are directed by the same directors who directed films with IDs less than 79?,3,True
"SELECT COUNT(DISTINCT t1.Date), t1.Date FROM schedule AS t1 JOIN schedule AS t2 ON t1.Cinema_ID = t2.Cinema_ID AND t1.Date = t2.Date WHERE t1.Show_times_per_day BETWEEN 1 AND 10 AND t1.Cinema_ID <= 16 GROUP BY t1.Date ORDER BY t1.Date DESC","How many different days had cinemas with 10 or fewer shows per day, and what were those dates?",6,False
"SELECT COUNT(*), Capacity, Openning_year FROM cinema WHERE Openning_year < 33 GROUP BY Openning_year, Capacity;","What is the number of cinemas that opened in each year before 1933, grouped by opening year and capacity?",2,True
SELECT Title FROM film WHERE Film_ID < 33 ORDER BY Title ASC,What are the titles of the first 32 films in alphabetical order?,2,True
"SELECT c.Name, c.Location FROM cinema c JOIN schedule s ON c.Cinema_ID = s.Cinema_ID WHERE s.Price BETWEEN 1 AND 10 AND s.Film_ID = 19 ORDER BY c.Name DESC LIMIT 3;",What are the names and locations of the three cinemas with the highest names that are showing film 19 with a price between 1 and 10?,2,True
"SELECT MAX(a.Film_ID), COUNT(DISTINCT a.Number_in_season), COUNT(DISTINCT a.Film_ID) FROM film AS a WHERE  a.Rank_in_series < 80","What is the maximum film id, and how many unique film numbers in seasons and unique film ids are there, for films that rank below 80 in series?",2,True
SELECT T1.Production_code FROM film AS T1 INNER JOIN schedule AS T2 ON T1.Film_ID = T2.Film_ID INNER JOIN cinema AS T3 ON T2.Cinema_ID = T3.Cinema_ID ORDER BY T1.Production_code DESC;,"What are the production codes of all films shown in a cinema, listed in descending order?",6,False
"SELECT MIN(Price), Date, Rank_in_series FROM schedule JOIN film ON film.Film_ID = schedule.Film_ID GROUP BY Rank_in_series, Date ORDER BY Date ASC LIMIT 2",What are the earliest two dates with their corresponding rank in series and the minimum price for each date?,4,True
SELECT COUNT(DISTINCT T1.Cinema_ID) FROM schedule AS T1 INNER JOIN film AS T2 ON T1.Film_ID = T2.Film_ID WHERE T2.Number_in_season >= 15 LIMIT 7,What are the 7th to 13th unique cinema IDs showing films with 15 or more episodes in a season?,6,False
SELECT Location FROM cinema WHERE Capacity = 35 LIMIT 4,"What are the locations of the cinemas with a capacity of 35, starting from the fifth cinema?",2,True
SELECT COUNT(DISTINCT Film_ID) FROM schedule WHERE  Film_ID > 64 LIMIT 8,"What are the counts of distinct film IDs shown in cinemas, starting from the 9th film ID, and only including film IDs greater than 64, for the first 8 results?",6,False
"SELECT COUNT(T2.Number_in_season), SUM(T1.Show_times_per_day), SUM(T1.Price) FROM schedule AS T1 JOIN film AS T2 ON T2.Film_ID = T1.Film_ID WHERE  T2.Number_in_season > 73","What is the total number of films, total show times per day, and total price for films where the number in the season is greater than 73?",3,True
SELECT COUNT(DISTINCT T.Capacity) FROM cinema AS T INNER JOIN schedule AS S ON T.Cinema_ID = S.Cinema_ID WHERE T.Cinema_ID >= 30,How many different cinema capacities are there for cinemas with an ID of 30 or higher?,3,True
