query,question,iter,flag
SELECT teaches.year FROM teaches JOIN section JOIN advisor JOIN instructor ON teaches.ID = instructor.ID AND teaches.year = section.year AND instructor.ID = advisor.i_ID,In which years have instructors taught classes?,6,False
"SELECT COUNT(DISTINCT course_id), MAX(grade) FROM takes WHERE year <= 50;",What is the number of distinct courses and the highest grade taken by students in years 50 and earlier?,3,True
"SELECT COUNT(DISTINCT dept_name), dept_name FROM advisor JOIN instructor ON instructor.ID = advisor.i_ID WHERE  instructor.salary != 75 OR EXISTS (SELECT * FROM teaches AS e WHERE instructor.ID = e.ID LIMIT 1) GROUP BY dept_name HAVING COUNT(instructor.salary) >= 81 LIMIT 5","What are the next five department names with at least 81 instructors, along with the number of instructors in each department, excluding instructors with a salary of 75 who do not teach any courses?",3,True
"SELECT COUNT(DISTINCT T.course_id), T.grade FROM department D JOIN student S ON D.dept_name = S.dept_name JOIN takes T ON T.ID = S.ID JOIN section SEC ON SEC.course_id = T.course_id AND SEC.year = T.year WHERE T.year >= 28 GROUP BY T.grade HAVING MAX(S.tot_cred) <= 80","What is the number of distinct course IDs for students who have taken courses with grades, and the corresponding grades, for students with a total credit of 80 or less, since year 28?",6,False
"SELECT name, salary FROM instructor WHERE salary BETWEEN 1 AND 10 OR salary = 55 GROUP BY salary HAVING MIN(salary) = 1 OR MAX(salary) = 55 ORDER BY salary DESC LIMIT 3","What are the names of the three instructors with the highest salaries that are either between 1 and 10, or exactly 55, grouped by salary and ordered by salary in descending order, excluding the first three results?",6,False
SELECT d.s_ID FROM advisor AS d,What are the IDs of students who have an advisor?,2,True
"SELECT MAX(T1.credits), COUNT(DISTINCT T2.prereq_id), T2.prereq_id FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.course_id WHERE T1.credits != 100 GROUP BY T2.prereq_id LIMIT 5","What are the maximum credits, number of distinct prerequisites, and the prerequisite ids for the next 5 prerequisites (after the first 5) that have at least one course with credits not equal to 100?",6,False
"SELECT MIN(credits), COUNT(credits), dept_name FROM course GROUP BY dept_name ORDER BY dept_name DESC","For each department, what is the minimum number of credits and the total number of courses with credits, listed in descending order by department name?",3,True
"SELECT SUM(section.year), MIN(tot_cred), takes.year FROM takes JOIN student JOIN section JOIN classroom ON section.building = classroom.building AND section.course_id = takes.course_id AND section.semester = takes.semester AND takes.ID = student.ID AND takes.year = section.year AND classroom.room_number = section.room_number WHERE section.year BETWEEN 1 AND 10 OR  takes.year = 13","What is the total of the years of the sections, the minimum total credits of students and the year of takes, for sections between year 1 and 10, or takes in year 13?",6,False
SELECT time_slot.start_hr FROM time_slot JOIN time_slot AS p ON time_slot.time_slot_id = p.time_slot_id WHERE  time_slot.start_min != 77 LIMIT 3,What are the start hours of the next three time slots excluding the one that starts at 77 minutes past the hour?,3,True
"SELECT s.building, s.capacity FROM classroom AS s WHERE  s.capacity = 11 AND room_number IN (SELECT room_number FROM classroom WHERE  capacity > 59) GROUP BY s.capacity LIMIT 3","What are the buildings and capacities of classrooms with a capacity of 11 and a room number from a classroom with a capacity greater than 59, listed from the fourth to the sixth entries?",2,True
"SELECT year, year, semester FROM section WHERE  year != 33 AND time_slot_id IN (SELECT time_slot_id FROM section AS f WHERE  f.year > 55) GROUP BY semester HAVING AVG(year) <= 68 ORDER BY year DESC LIMIT 8","What are the semester and the two years for the sections that have the same time slot as sections offered after year 55, excluding year 33, and with an average year of 68 or less, listed in descending order of year, starting from the 9th result?",6,False
"SELECT COUNT(DISTINCT course_id), title FROM course WHERE credits = 96 AND course_id >= (SELECT MAX(course_id) FROM takes AS h WHERE h.year > 95) ORDER BY title ASC","What are the titles of the courses with 96 credits that have a course id greater than or equal to the maximum course id of courses taken after 1995, listed in ascending order by title?",6,False
SELECT T1.budget FROM department AS T1 JOIN course AS T2 ON T2.dept_name = T1.dept_name WHERE T2.credits < 27 OR T2.dept_name NOT IN (SELECT T3.dept_name FROM course AS T3 JOIN section AS T4 ON T3.course_id = T4.course_id JOIN classroom AS T5 ON T4.building = T5.building LIMIT 10),What are the budgets of departments offering courses with credits less than 27 or departments not being among the first 10 departments offering courses in classrooms?,2,True
"SELECT budget, budget, building FROM department WHERE budget BETWEEN 1 AND 10 OR  budget > 58 GROUP BY building ORDER BY budget DESC","What are the budgets for each building, where the budget is between 1 and 10, or greater than 58, listed in descending order by budget?",6,False
SELECT T1.credits FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.prereq_id WHERE T1.credits >= 42,What are the credits for the courses that have prerequisites and more than or equal to 42 credits?,2,True
"SELECT COUNT(DISTINCT z.building), z.capacity FROM classroom AS z WHERE building IN (SELECT building FROM section WHERE year BETWEEN 1 AND 10)",What is the number of different buildings and the total capacity of classrooms in the buildings that are used by sections in their first 10 years?,6,False
"SELECT SUM(w.tot_cred), COUNT(DISTINCT w.ID), w.tot_cred FROM student AS w WHERE  w.tot_cred > 82","What is the total number of credits and count of distinct students who have more than 82 total credits, along with their total credits?",6,False
SELECT start_min FROM time_slot WHERE start_min BETWEEN 1 AND 10 OR  start_min > 77,What are the start minutes of the time slots where the start minute is between 1 and 10 or greater than 77?,4,True
