query,question,iter,flag
"SELECT COUNT(DISTINCT x.Document_Object_ID), x.Owner FROM Document_Objects AS x WHERE  x.Document_Object_ID != 54 ORDER BY x.Owner ASC LIMIT 5","What are the counts of distinct document object IDs and the corresponding owners, excluding the document object ID 54, listed in ascending order by owner, from the 6th to the 10th records?",3,True
"SELECT T2.Document_Subset_ID, T2.Document_Subset_Details FROM Document_Subset_Members AS T1 JOIN Document_Subsets AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T1.Document_Object_ID > 44 GROUP BY T2.Document_Subset_ID, T2.Document_Subset_Details LIMIT 5","What are the document subset id and details of the document subsets that include documents with object id greater than 44, grouped by document subset id and details, showing 5 results from the 6th row onwards?",5,True
"SELECT MIN(Document_Subset_ID), COUNT(DISTINCT Document_Subset_Name), Document_Subset_Name FROM Document_Subsets WHERE Document_Subset_ID <= 94 GROUP BY Document_Subset_ID, Document_Subset_Name;","For each document subset with an id less than or equal to 94, what is the minimum document subset id, the count of distinct document subset names, and the document subset name?",6,False
"SELECT COUNT(o.Document_Subset_ID), MIN(o.Document_Subset_ID), MAX(o.Document_Subset_ID), o.Document_Subset_Name FROM Document_Subsets AS o GROUP BY o.Document_Subset_Name HAVING COUNT(o.Document_Subset_ID) >= 20 LIMIT 10","What are the names of the 10 document subsets with 20 or more document subset IDs, along with the count, minimum, and maximum document subset IDs for each?",6,False
"SELECT COUNT(DISTINCT Document_Subset_Name), Document_Subset_Details FROM Document_Subsets WHERE Document_Subset_ID = 8 GROUP BY Document_Subset_Details ORDER BY Document_Subset_Details ASC LIMIT 6","What are the distinct document subset names and their corresponding details for document subset id 8, listed in ascending order by details, starting from the 7th result and limited to the next 6 results?",6,False
SELECT Document_Subset_Details FROM Document_Subsets ORDER BY Document_Subset_Details ASC,What are the document subset details in ascending order?,2,True
SELECT COUNT(DISTINCT r.Collection_Description) FROM Collections AS r WHERE  r.Parent_Collection_ID >= 24,How many unique collection descriptions are there for collections with a parent collection ID of 24 or more?,2,True
"SELECT MIN(d.Collection_ID), MIN(d.Collection_ID), d.Collection_Description FROM Collections AS d WHERE  d.Parent_Collection_ID >= 46 GROUP BY d.Collection_Description","What is the smallest collection ID and its corresponding collection description for collections with a parent collection ID greater than or equal to 46, grouped by collection description?",6,False
"SELECT Collection_Subset_ID, Collection_Subset_ID FROM Collection_Subsets WHERE  Collection_Subset_ID <= 16","What are the Collection_Subset_IDs in Collection_Subsets where Collection_Subset_ID is less than or equal to 16, and what are the corresponding Collection_Subset_IDs?",6,False
"SELECT COUNT(DISTINCT z.Document_Subset_Name), COUNT(DISTINCT z.Document_Subset_ID), COUNT(DISTINCT z.Document_Subset_ID), z.Document_Subset_Name FROM Document_Subsets AS z WHERE  z.Document_Subset_ID > 24 GROUP BY z.Document_Subset_Name",What are the counts of distinct document subset IDs and the names of the document subsets with IDs greater than 24?,5,True
"SELECT Collection_ID, COUNT(Document_Object_ID) FROM Documents_in_Collections WHERE Collection_ID >= 75 GROUP BY Collection_ID;",What is the number of documents in each collection with a Collection ID of 75 or greater?,2,True
