query,question,iter,flag
"SELECT Invoice_Items.Product_ID, Invoice_Items.Order_ID, Invoice_Items.Order_Item_ID FROM Invoice_Items WHERE Invoice_Items.Order_ID BETWEEN 1 AND 10 GROUP BY Invoice_Items.Order_Item_ID ORDER BY Invoice_Items.Product_ID DESC","What are the product IDs, order IDs, and order item IDs of the invoice items for orders 1 through 10, grouped by order item ID and sorted by product ID in descending order?",6,True
"SELECT MIN(s.Store_ID), d.Workshop_Group_ID FROM Addresses a JOIN Drama_Workshop_Groups d ON d.Address_ID = a.Address_ID JOIN Bookings b ON b.Workshop_Group_ID = d.Workshop_Group_ID JOIN Bookings_Services bs ON b.Booking_ID = bs.Order_ID JOIN Stores s ON a.Address_ID = s.Address_ID WHERE b.Booking_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Clients h WHERE h.Address_ID BETWEEN 1 AND 10 AND h.Address_ID != 63 AND b.Booking_ID = h.Client_ID) LIMIT 2","What is the minimum store id and the corresponding workshop group id for bookings with ids between 1 and 10, where the client's address id is between 1 and 10 and not equal to 63, skipping the first two results?",6,False
"SELECT x.Service_Type_Code, x.Other_Product_Service_Details FROM Services AS x JOIN Services ON Services.Service_ID = x.Service_ID WHERE Services.Workshop_Group_ID = 38 GROUP BY x.Service_Type_Code, x.Other_Product_Service_Details",What are the distinct service type codes and other product service details for services in the workshop group with ID 38?,6,False
"SELECT AVG(w.Order_Quantity), w.Product_ID FROM Order_Items AS w WHERE  w.Order_ID < 48 LIMIT 6","What are the average order quantities and corresponding product IDs for orders with order IDs greater than or equal to 48, listed from the 7th to the 12th in the list?",6,False
"SELECT COUNT(DISTINCT Customer_Phone), Address_ID FROM Customers WHERE Address_ID BETWEEN 1 AND 10 AND Address_ID < 51 ORDER BY Address_ID DESC;","How many unique customer phone numbers are there for each address id between 1 and 50, listed in descending order by address id?",6,False
"SELECT COUNT(Address_ID), AVG(Performer_ID) FROM Performers WHERE Performer_ID BETWEEN 1 AND 10 AND  Address_ID <= 54",What is the count of address IDs and the average performer ID for performers with IDs between 1 and 10 and address IDs less than or equal to 54?,3,True
"SELECT COUNT(DISTINCT f.Customer_Phone), f.Other_Details FROM Customers AS f WHERE  f.Address_ID != 50.0","How many unique customer phone numbers are there for customers who do not live at address ID 50, and what are their additional details?",6,False
"SELECT g.Workshop_Group_ID, g.Other_Details, g.Marketing_Region_Code FROM Drama_Workshop_Groups AS g WHERE g.Address_ID = 55 GROUP BY g.Workshop_Group_ID, g.Other_Details, g.Marketing_Region_Code HAVING COUNT(g.Workshop_Group_ID) > 0","What are the workshop group id, other details, and marketing region code for each drama workshop group located at address id 55?",3,True
"SELECT MAX(Address_ID), COUNT(DISTINCT Customer_ID) FROM Customers WHERE Address_ID BETWEEN 1.0 AND 10.0 OR Address_ID < 25.0 LIMIT 3","What is the maximum address ID and the count of distinct customer IDs for addresses with IDs between 1 and 10, or less than 25, starting from the 4th result?",6,False
"SELECT COUNT(a.Customer_ID), a.Customer_ID FROM Customer_Orders JOIN Customer_Orders AS a ON Customer_Orders.Order_ID = a.Order_ID ORDER BY a.Customer_ID ASC","What is the number of orders made by each customer, listed in ascending order by customer ID?",6,False
SELECT Order_ID FROM Customer_Orders WHERE  Order_ID < 34,What are the order IDs of customer orders that are less than 34?,2,True
"SELECT n.Address_ID, n.Marketing_Region_Code FROM Stores AS n WHERE n.Store_ID NOT IN (SELECT Store_ID FROM Customer_Orders)",What are the address IDs and marketing region codes of stores that have no customer orders?,3,True
"SELECT COUNT(DISTINCT q.Planned_Delivery_Date), q.Other_Order_Details FROM Customer_Orders AS q WHERE q.Order_ID BETWEEN 1 AND 10 OR Actual_Delivery_Date NOT IN (SELECT Actual_Delivery_Date FROM Bookings WHERE Booking_ID BETWEEN 1 AND 10) LIMIT 4","What are the distinct planned delivery dates and other order details of the customer orders with order IDs between 1 and 10 or with actual delivery dates that are not among the actual delivery dates of bookings with booking IDs between 1 and 10 (returning 4 records, skipping the first 4 records)",6,False
"SELECT AVG(Order_Item_ID), COUNT(DISTINCT Stores.Store_Phone), Order_Item_ID FROM Addresses JOIN Stores JOIN Invoices JOIN Customer_Orders ON Addresses.Address_ID = Stores.Address_ID AND Customer_Orders.Store_ID = Stores.Store_ID AND Customer_Orders.Order_ID = Invoices.Order_ID ORDER BY Order_Item_ID ASC",What is the average order item ID and how many distinct store phones are there for each order item ID when ordered by order item ID in ascending order?,6,False
"SELECT COUNT(Workshop_Group_ID), Workshop_Group_ID FROM Addresses JOIN Drama_Workshop_Groups ON Drama_Workshop_Groups.Address_ID = Addresses.Address_ID WHERE EXISTS (SELECT * FROM Stores WHERE Address_ID BETWEEN 1 AND 10 AND Addresses.Address_ID = Stores.Address_ID LIMIT 9) ORDER BY Workshop_Group_ID DESC","What are the counts and IDs of drama workshop groups located at addresses that also have stores with address IDs between 1 and 10, listed in descending order by workshop group ID?",6,False
"SELECT MAX(t.Address_ID), SUM(t.Address_ID), t.Customer_Email_Address, t.Other_Details FROM Customers AS t WHERE t.Customer_Name < (SELECT MIN(Customer_Name) FROM Customers WHERE Address_ID BETWEEN 1 AND 10 AND  Address_ID < 33) GROUP BY t.Customer_Email_Address, t.Other_Details","For each customer email address and other details, what is the maximum and total address id of the customers who have a name that is less than the minimum name of customers with an address id between 1 and 33?",6,False
"SELECT MIN(d.Performer_ID), d.Performer_ID FROM Performers_in_Bookings AS d WHERE  d.Order_ID >= 29 LIMIT 8",What is the lowest Performer ID of the 9th to 16th performers in bookings with an Order ID of 29 or higher?,6,False
"SELECT COUNT(u.Address_ID), u.Customer_Email_Address FROM Clients AS u GROUP BY u.Customer_Email_Address ORDER BY u.Customer_Email_Address ASC","For each customer email address, how many addresses are associated with it, listed in ascending order by email address?",3,True
"SELECT COUNT(b.Workshop_Group_ID), AVG(b.Workshop_Group_ID), b.Workshop_Group_ID FROM Drama_Workshop_Groups AS b WHERE b.Address_ID > 33 GROUP BY b.Workshop_Group_ID;",What is the count and average of Workshop Group IDs for each Workshop Group with an Address ID greater than 33?,6,False
"SELECT Drama_Workshop_Groups.Workshop_Group_ID, Other_Product_Service_Details FROM Services JOIN Drama_Workshop_Groups ON Drama_Workshop_Groups.Workshop_Group_ID = Services.Workshop_Group_ID ORDER BY Drama_Workshop_Groups.Workshop_Group_ID DESC","What are the workshop group IDs and other product service details of the services provided by each drama workshop group, listed in descending order of workshop group ID?",6,False
"SELECT MIN(Customer_ID), Other_Order_Details, Store_ID FROM Bookings WHERE Store_ID BETWEEN 1 AND 10 GROUP BY Store_ID HAVING MIN(Booking_ID) < 23 ORDER BY Store_ID ASC","What are the minimum customer IDs, other order details, and corresponding store IDs for each store with a store ID between 1 and 10, where the minimum booking ID is less than 23, ordered by store ID in ascending order?",6,False
"SELECT Other_Item_Details, Order_Quantity FROM Order_Items WHERE EXISTS (SELECT * FROM Invoice_Items AS x WHERE  x.Invoice_ID < 18 AND Order_Items.Order_Item_ID = x.Order_Item_ID)",What are the order quantities and other details of the order items that have corresponding invoice items with an invoice ID less than 18?,3,True
