query,question,iter,flag
"SELECT COUNT(student_id), event_id FROM Student_Events WHERE event_id = 52 ORDER BY event_id ASC;",What is the count of students for event id 52?,6,False
SELECT student_id FROM Students WHERE student_id > 6 OR EXISTS (SELECT * FROM Behaviour_Monitoring AS w WHERE w.behaviour_monitoring_id > 37 AND Students.student_id = w.student_id LIMIT 4) ORDER BY student_id ASC,"What are the student ids of students with id greater than 6 or who have a behaviour monitoring id greater than 37, listed in ascending order?",2,True
"SELECT transcript_details, transcript_id, student_id FROM Transcripts WHERE student_id BETWEEN 1 AND 10 OR student_id > 15 GROUP BY transcript_details, student_id HAVING AVG(transcript_id) >= 20","What are the transcript details, IDs, and student IDs for students with IDs between 1 and 10 or greater than 15, where the average transcript ID is 20 or higher, grouped by transcript details and student ID?",5,True
SELECT bio_data FROM Students JOIN Student_Loans JOIN Behaviour_Monitoring ON Behaviour_Monitoring.student_id = Students.student_id AND Student_Loans.student_id = Students.student_id WHERE Students.student_id BETWEEN 1 AND 10 LIMIT 6,"What is the bio data of students with a student id between 1 and 10, excluding the first 6 results?",6,False
"SELECT COUNT(DISTINCT amount_of_loan), COUNT(DISTINCT Achievements.achievement_type_code), Achievements.student_id FROM Students JOIN Achievements JOIN Student_Loans JOIN Ref_Achievement_Type ON Students.student_id = Achievements.student_id AND Achievements.achievement_type_code = Ref_Achievement_Type.achievement_type_code AND Student_Loans.student_id = Students.student_id WHERE EXISTS (SELECT * FROM Student_Loans AS d WHERE d.student_id BETWEEN 1 AND 10 AND  d.student_loan_id <= 50 AND Students.student_id = d.student_id) ORDER BY Achievements.student_id ASC","What are the number of unique loan amounts, unique achievement types, and student ids for students with student ids between 1 and 10 who have student loan ids less than or equal to 50, ordered by student id?",5,True
"SELECT MIN(transcript_id), COUNT(DISTINCT date_of_transcript) FROM Transcripts WHERE student_id BETWEEN 1 AND 10",What is the minimum transcript ID and how many unique dates of transcripts are there for students with IDs between 1 and 10?,2,True
SELECT event_id FROM Ref_Event_Types JOIN Student_Events ON Student_Events.event_type_code = Ref_Event_Types.event_type_code WHERE  event_id <= 2 ORDER BY event_id ASC,"What are the event IDs, in ascending order, that are less than or equal to 2 from the Student Events table?",6,False
"SELECT AVG(detention_id), COUNT(DISTINCT Ref_Detention_Type.detention_type_code), detention_summary FROM Ref_Detention_Type JOIN Detention ON Detention.detention_type_code = Ref_Detention_Type.detention_type_code WHERE  detention_id = 75 GROUP BY detention_summary ORDER BY detention_summary DESC","For each detention summary, what is the average detention id and the count of distinct detention types for detention id 75, sorted in descending order of detention summary?",6,False
SELECT student_loan_id FROM Students JOIN Student_Loans ON Student_Loans.student_id = Students.student_id JOIN Behaviour_Monitoring ON Behaviour_Monitoring.student_id = Students.student_id WHERE Student_Loans.student_id BETWEEN 1 AND 10 OR Student_Loans.student_loan_id < 1;,What are the student loan IDs for students with IDs between 1 and 10 or with loan IDs less than 1?,3,True
"SELECT AVG(bm.behaviour_monitoring_id), bm.behaviour_monitoring_id, sl.student_id FROM Students s JOIN Achievements a ON s.student_id = a.student_id JOIN Behaviour_Monitoring bm ON s.student_id = bm.student_id JOIN Student_Loans sl ON s.student_id = sl.student_id GROUP BY sl.student_id, bm.behaviour_monitoring_id;",What is the average behaviour monitoring id per student for each student loan and behaviour monitoring record?,6,False
