query,question,iter,flag
"SELECT COUNT(f.Campus), COUNT(DISTINCT f.Campus) FROM faculty AS f WHERE f.Faculty = 12",How many campuses have faculty of 12 and what is the number of distinct campuses with faculty of 12?,2,True
SELECT Campus FROM faculty WHERE  Faculty <= 16 ORDER BY Campus ASC LIMIT 7,"What are the next 7 campuses with 16 or fewer faculty members, listed in alphabetical order?",2,True
"SELECT w.Year, w.Campus FROM Campuses AS w WHERE  w.Id = 60 OR w.Id IN (SELECT Id FROM Campuses AS n) ORDER BY w.Campus DESC","What are the years and campuses for the campus with id 60 and any other campus, listed in descending order by campus name?",4,True
"SELECT COUNT(DISTINCT de.Campus), de.Year FROM discipline_enrollments AS de WHERE de.Year = 34 GROUP BY de.Year HAVING COUNT(de.Undergraduate) = 68 LIMIT 1",In which year there is a unique campus with 68 undergraduate enrollments across all disciplines?,6,False
SELECT Graduate FROM discipline_enrollments WHERE Campus = 1;,What is the number of graduate enrollments in discipline on campus with id 1?,3,True
"SELECT COUNT(T2.Year), COUNT(DISTINCT T2.Campus), T1.Location FROM Campuses T1 JOIN enrollments T2 JOIN degrees T3 ON T1.Id = T3.Campus AND T1.Id = T2.Campus WHERE T2.Campus <= 17 ORDER BY T1.Location ASC","What are the count of year and distinct campus, and the location for the 17 campuses with the lowest campus number, ordered by location?",6,False
"SELECT AVG(degrees.Degrees) AS Average_Degrees, County FROM degrees JOIN enrollments JOIN Campuses JOIN faculty ON faculty.Campus = Campuses.Id AND degrees.Campus = faculty.Campus AND enrollments.Campus = Campuses.Id WHERE degrees.Year >= 2010;",What is the average number of degrees by county for each campus from 2010 onwards?,6,False
SELECT MIN(T1.Year) FROM faculty AS T1 JOIN Campuses AS T2 ON T1.Campus = T2.Id JOIN degrees AS T3 ON T3.Campus = T2.Campus WHERE T1.Faculty BETWEEN 1 AND 10 ORDER BY T1.Year LIMIT 8;,What are the 8 earliest years with the least faculty across all campuses with faculty between 1 and 10?,6,False
"SELECT COUNT(h.Year), SUM(h.Year) FROM Campuses AS h WHERE  h.Id <= 85",What are the count and sum of the years for campuses with an id less than or equal to 85?,2,True
"SELECT COUNT(DISTINCT CampusFee), CampusFee FROM csu_fees WHERE Year BETWEEN 1 AND 10 OR Year IN (SELECT Year FROM degrees) GROUP BY CampusFee LIMIT 9","What are the 10th to 18th distinct campus fees for the years that are either between 1 and 10 or have a degree offered, ranked in no particular order?",6,False
SELECT FTE_AY FROM enrollments JOIN Campuses ON enrollments.Campus = Campuses.Campus ORDER BY FTE_AY DESC,What are the full-time equivalent annual enrollments for each campus in descending order?,6,False
"SELECT MIN(h.Year), COUNT(DISTINCT h.Year), h.County, h.Campus FROM Campuses AS h WHERE h.Id <= 79 GROUP BY h.Campus, h.County HAVING MIN(h.Year) = 16","What is the minimum year, the number of distinct years, the county, and the campus for each campus and county where the minimum year is 16 for campuses with an id less than or equal to 79?",2,True
"SELECT MIN(T1.Year), T1.Campus FROM discipline_enrollments AS T1 WHERE T1.Year NOT IN (SELECT n.Year FROM degrees AS n WHERE n.Year = 2018) LIMIT 5","What are the minimum years and corresponding campuses of the discipline enrollments, excluding the year 2018, starting from the 6th result?",6,False
SELECT l.Campus FROM degrees AS l WHERE l.Year = (SELECT MIN(Year) FROM degrees AS d WHERE d.Campus = l.Campus) AND l.Degrees > 74 AND l.Year <= 73,Which campus had more than 74 degrees in the first year that campus awarded degrees and the year is less than or equal to 73?,4,True
"SELECT AVG(v.Degrees), MIN(v.Degrees), v.Campus FROM degrees AS v WHERE  v.Degrees >= 54 GROUP BY v.Campus",What are the average and minimum degrees awarded at each campus for years where the degrees awarded were at least 54?,3,True
"SELECT MIN(Undergraduate), MAX(Discipline) FROM discipline_enrollments WHERE Campus = ""3"" AND Undergraduate IN (SELECT Undergraduate FROM discipline_enrollments WHERE Campus >= ""39"")","What are the minimum undergraduate enrollment and maximum discipline enrollment for campus 3, where the undergraduate enrollment is also present in campuses with id 39 or higher?",6,False
"SELECT AVG(degrees.Degrees), enrollments.Year FROM degrees JOIN enrollments ON degrees.Campus = enrollments.Campus WHERE degrees.Campus BETWEEN 1 AND 10 OR enrollments.Year NOT IN (SELECT Year FROM enrollments WHERE  TotalEnrollment_AY = 15) ORDER BY enrollments.Year ASC","What is the average number of degrees awarded at campuses with id between 1 and 10 or those campuses that have total enrollment other than 15, ordered by year?",6,False
SELECT T2.County FROM degrees AS T1 JOIN Campuses AS T2 ON T1.Campus = T2.Id ORDER BY T2.County ASC;,What are the counties of all campuses in ascending order?,6,False
"SELECT SUM(d.Degrees), c.County FROM degrees d JOIN Campuses c ON d.Campus = c.Id WHERE EXISTS (SELECT * FROM faculty f WHERE f.Faculty BETWEEN 1 AND 10 AND c.Id = f.Campus)",What is the total number of degrees and the county of the campuses that have faculty members between 1 and 10?,6,False
