query,question,iter,flag
"SELECT T3.customer_id, T4.order_item_id FROM Products AS T1 JOIN Order_Items AS T4 ON T1.product_id = T4.product_id JOIN Customer_Orders AS T3 ON T3.order_id = T4.order_id JOIN Customers AS T2 ON T2.customer_id = T3.customer_id ORDER BY T4.order_item_id DESC;",What are the order items and their corresponding customer IDs in descending order of order item ID?,4,True
"SELECT COUNT(order_id), order_item_id FROM Customer_Orders JOIN Order_Items ON Order_Items.order_id = Customer_Orders.order_id WHERE  order_id > 63 GROUP BY order_item_id;",What is the count of orders for each order item with order id greater than 63?,6,False
"SELECT MIN(n.address_id), n.address_details FROM Addresses AS n GROUP BY n.address_details;",What is the smallest address id for each address details in the addresses table?,4,True
"SELECT T1.customer_address, T1.customer_number FROM Customers AS T1 JOIN Customer_Orders AS T2 ON T1.customer_id = T2.customer_id JOIN Order_Items AS T3 ON T2.order_id = T3.order_id JOIN Products AS T4 ON T3.product_id = T4.product_id WHERE T2.order_id BETWEEN 1 AND 10 GROUP BY T1.customer_address, T1.customer_number",What are the addresses and customer numbers of customers who have placed orders between 1 and 10?,6,False
"SELECT address_id, COUNT(address_details) FROM Addresses WHERE address_id = 10",What is the address id and the number of address details for the address with id 10?,2,True
SELECT T1.customer_id FROM Customer_Orders AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id ORDER BY T1.customer_id DESC,What are the customer ids of all orders in descending order?,4,True
SELECT s.address_details FROM Addresses AS s,What are the address details in the addresses table?,2,True
SELECT AVG(Products.product_id) FROM Products JOIN Order_Items ON Products.product_id = Order_Items.product_id JOIN Customer_Orders ON Customer_Orders.order_id = Order_Items.order_id JOIN Customers ON Customers.customer_id = Customer_Orders.customer_id LIMIT 1,What is the average product ID of the products ordered by customers excluding the first customer?,6,False
"SELECT address_id, address_details FROM Addresses WHERE address_id BETWEEN 1 AND 10 OR address_id <= (SELECT AVG(address_id) FROM Addresses) ORDER BY address_details ASC","What are the address details and corresponding ids of addresses with ids between 1 and 10, or with ids less than or equal to the average address id, listed in ascending order of address details?",6,False
"SELECT AVG(i.customer_id), MIN(i.address_id), i.payment_method_code, i.customer_number FROM Customers AS i WHERE  i.address_id >= 54 GROUP BY i.payment_method_code, i.customer_number HAVING AVG(i.customer_id) >= 40 ORDER BY AVG(i.customer_id) DESC","What are the average customer IDs, minimum address IDs, payment method codes, and customer numbers for customers with address IDs greater than or equal to 54, grouped by payment method code and customer number, where the average customer ID is greater than or equal to 40, ordered by the average customer ID in descending order?",2,True
"SELECT address_id, address_id FROM Addresses",What are all the address ids in the addresses table?,6,False
"SELECT customer_name, customer_email FROM Customers WHERE address_id BETWEEN 1 AND 10 ORDER BY customer_name ASC","What are the names and email addresses of customers with address IDs between 1 and 10, listed in ascending order by customer name?",2,True
"SELECT COUNT(order_item_id), Order_Items.product_id FROM Products JOIN Order_Items ON Products.product_id = Order_Items.product_id JOIN Customer_Orders ON Customer_Orders.order_id = Order_Items.order_id WHERE Order_Items.product_id BETWEEN 1 AND 10 ORDER BY Order_Items.product_id ASC","How many orders were made for each product with product id between 1 and 10, listed in ascending order of product id?",2,True
"SELECT m.customer_id, m.customer_id FROM Customer_Orders AS m","What are the customer ids of customers who placed orders, and what are their customer ids?",6,False
"SELECT m.customer_phone, m.customer_email FROM Customers AS m WHERE m.customer_id BETWEEN 1 AND 10 AND m.address_id != 45 GROUP BY m.customer_email, m.customer_phone HAVING MIN(m.address_id) <= 62 ORDER BY m.customer_email DESC","What are the phone numbers and emails of customers with IDs between 1 and 10, who do not live at address 45, ordered by email in descending order, and grouped by email and phone number, where the minimum address ID is less than or equal to 62?",2,True
"SELECT MIN(T1.product_price), COUNT(DISTINCT T1.product_price) FROM Products AS T1 JOIN Order_Items AS T2 ON T2.product_id = T1.product_id WHERE T2.order_item_id > 22;",What is the minimum price of products in orders with order item id greater than 22 and how many distinct prices are there?,2,True
"SELECT customer_id, COUNT(DISTINCT order_status_code) FROM Customer_Orders WHERE customer_id BETWEEN 1 AND 10 OR customer_id > 51 GROUP BY customer_id;",What is the number of different order statuses for each customer with an ID between 1 and 10 or greater than 51?,3,True
SELECT Order_Items.order_id FROM Customer_Orders JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id,What are the order ids for the items in customer orders?,2,True
"SELECT address_id, customer_address FROM Customers WHERE customer_id < (SELECT MIN(customer_id) FROM Customers AS j WHERE j.customer_id BETWEEN 1 AND 10) LIMIT 3",What are the addresses and address IDs of the 4th to 6th customers with the smallest customer IDs?,6,False
SELECT order_id FROM Customer_Orders WHERE customer_id != 54,What are the order IDs of customers other than customer ID 54?,2,True
"SELECT Customers.customer_id, c.customer_id FROM Customers JOIN Customers AS c ON Customers.customer_id = c.customer_id WHERE c.customer_id BETWEEN 1 AND 10 AND  Customers.address_id <= 41 ORDER BY c.customer_id DESC LIMIT 8","What are the customer ids of the top 8 customers with customer ids between 1 and 10 and address ids less than or equal to 41, when ordered by customer id in descending order, starting from the 9th customer?",2,True
SELECT s.order_status_code FROM Customer_Orders AS s WHERE  s.order_id < 72 LIMIT 6,What are the order status codes of the next six orders after the first 6 orders with order ids less than 72?,4,True
"SELECT COUNT(b.product_id), b.product_type_code FROM Products AS b LIMIT 7","What are the counts of product ids for each product type code, skipping the first 7 results?",6,False
"SELECT Addresses.address_id, k.address_id FROM Addresses JOIN Addresses AS k ON Addresses.address_id = k.address_id","What are the address ids in the addresses table, joined with itself on the address id?",4,True
"SELECT MIN(customer_id), order_id FROM Customer_Orders LIMIT 2","What are the smallest customer ids along with their order ids, excluding the first record?",5,True
