query,question,iter,flag
"SELECT Department_ID, Ranking FROM department WHERE Department_ID = 46 LIMIT 1;",What is the department id and ranking of the department with department id 46?,4,True
SELECT u.age FROM head AS u WHERE head_ID NOT IN (SELECT head_ID FROM head LIMIT 5) LIMIT 4,What are the ages of the 5th to 8th oldest heads?,6,False
SELECT T1.head_ID FROM head AS T1 JOIN management AS T2 ON T1.head_ID = T2.head_ID WHERE T2.head_ID < (SELECT MAX(head_ID) FROM management WHERE department_ID < 10 LIMIT 5),What are the head ids of the top 5 secretaries with the lowest head id in management where department id is less than 10?,6,False
"SELECT COUNT(department_ID), temporary_acting FROM management WHERE head_ID = 89",How many departments is the head with id 89 acting for and what is the nature of their acting role?,5,True
"SELECT MAX(Num_Employees), MAX(Budget_in_Billions), Creation FROM department WHERE Budget_in_Billions NOT IN (SELECT Budget_in_Billions FROM department WHERE Ranking >= 18 LIMIT 6) GROUP BY Creation HAVING MIN(Ranking) > 70 ORDER BY Creation ASC","What are the maximum number of employees, the maximum budget, and the creation year of the departments that have a budget different from the top 6 departments with ranking 18 or higher, grouped by creation year and having a minimum ranking above 70, listed in ascending order by creation year?",5,True
"SELECT SUM(head_ID), head_ID, department_ID FROM management WHERE department_ID = 72 AND department_ID IN (SELECT department_ID FROM management WHERE department_ID >= 65) GROUP BY department_ID, head_ID;",What is the sum of head ids for each head id and department id 72 that also has a department id of 65 or more?,6,False
"SELECT head_ID, temporary_acting FROM management WHERE  head_ID < 40",What are the head IDs and temporary acting of the management for head IDs less than 40?,3,True
"SELECT MAX(x.department_ID), x.temporary_acting FROM management AS x WHERE  x.head_ID > 23 ORDER BY x.temporary_acting DESC","What is the highest department ID and the corresponding temporary acting status for head IDs greater than 23, ordered by temporary acting status in descending order?",6,False
"SELECT Budget_in_Billions, temporary_acting FROM department JOIN management ON department.Department_ID = management.department_ID ORDER BY Budget_in_Billions ASC",What are the budgets and acting status of all departments in ascending order of budget?,2,True
SELECT Department_ID FROM department WHERE Budget_in_Billions BETWEEN 1 AND 10 OR Budget_in_Billions > (SELECT AVG(Budget_in_Billions) FROM department WHERE Ranking >= 55) ORDER BY Department_ID DESC LIMIT 1,What is the department id of the second highest department id with a budget between 1 and 10 billion dollars or with a budget higher than the average of the departments with a ranking of at least 55?,2,True
"SELECT AVG(p.head_ID), p.department_ID, p.temporary_acting FROM management AS p WHERE p.department_ID BETWEEN 1 AND 9 OR p.head_ID > 7 ORDER BY p.temporary_acting DESC LIMIT 6","What are the average head IDs, department IDs, and temporary acting status of the management with department IDs between 1 and 9 or head IDs greater than 7, listed in descending order of temporary acting status, starting from the 7th result?",6,False
SELECT temporary_acting FROM management WHERE department_ID BETWEEN 1 AND 10,What is the temporary acting status of the departments with department IDs between 1 and 10?,2,True
"SELECT AVG(p.Num_Employees), p.Name FROM department AS p WHERE p.Num_Employees NOT IN (SELECT Num_Employees FROM department AS d WHERE d.Department_ID > 70) LIMIT 1",What is the average number of employees and the department name for the second department with a number of employees that is not present in any department with department id greater than 70?,4,True
"SELECT head.age, management.head_ID, head.name FROM management JOIN head ON management.head_ID = head.head_ID WHERE  management.head_ID >= 54 GROUP BY head.name ORDER BY head.name DESC;","What is the age of each head with a head ID of 54 or greater, ordered by their name in descending order?",6,False
