query,question,iter,flag
"SELECT COUNT(o.order_id), COUNT(DISTINCT c.customer_id) FROM Customers c JOIN Orders o ON o.customer_id = c.customer_id WHERE o.order_status_code IN (SELECT order_status_code FROM Orders WHERE customer_id >= 67)",What is the number of orders and unique customers for orders with a status that is also associated with customers whose IDs are 67 or higher?,2,True
SELECT s.customer_middle_initial FROM Customers AS s WHERE  s.customer_id < 17,What are the middle initials of customers with IDs less than 17?,2,True
SELECT COUNT(DISTINCT n.customer_id) FROM Customer_Payment_Methods AS n WHERE n.customer_id <= 79 GROUP BY n.customer_id,How many customers with a customer id less than or equal to 79 have distinct customer payment methods?,6,False
"SELECT p.order_id, p.order_item_status_code FROM Order_Items AS p WHERE p.product_id BETWEEN 1 AND 10 OR  p.product_id > 66 GROUP BY p.order_item_status_code LIMIT 6","What are the order item status codes and corresponding order ids for orders of products with ids between 1 and 10 or greater than 66, grouped by status code and limited to 6 results after the first 6?",2,True
SELECT customer_middle_initial FROM Customers WHERE  customer_id > 84 ORDER BY customer_middle_initial DESC LIMIT 9,"What are the middle initials of the 10th to 18th customers with IDs greater than 84, sorted in descending order by middle initial?",2,True
"SELECT AVG(g.shipment_id), SUM(g.shipment_id) FROM Shipment_Items AS g WHERE g.order_item_id <= 8",What is the average and total of shipment ids for shipment items where the order item id is less than or equal to 8?,2,True
SELECT T1.customer_id FROM Customers AS T1 JOIN Customer_Payment_Methods AS T2 ON T1.customer_id = T2.customer_id LIMIT 3,What are the customer ids of the next 3 customers after the first 3 customers who have a payment method?,6,False
"SELECT COUNT(DISTINCT s.login_name), COUNT(DISTINCT s.gender_code), COUNT(DISTINCT s.gender_code) FROM Customers AS s WHERE  s.customer_id < 9","For customers with a customer id less than 9, what are the counts of unique login names and unique gender codes, and what is the count of unique gender codes again?",4,True
"SELECT customer_id, payment_method_code FROM Customer_Payment_Methods GROUP BY customer_id, payment_method_code HAVING MAX(customer_id) <= 82",What are the payment methods used by each customer with a customer id less than or equal to 82?,6,False
"SELECT MIN(Orders.order_id), COUNT(DISTINCT Order_Items.order_item_status_code), Orders.customer_id FROM Invoices JOIN Shipments ON Invoices.invoice_number = Shipments.invoice_number JOIN Orders ON Shipments.order_id = Orders.order_id JOIN Order_Items ON Orders.order_id = Order_Items.order_id WHERE Shipments.invoice_number BETWEEN 1 AND 10 ORDER BY Orders.customer_id DESC","What is the lowest order ID, number of distinct order item status codes, and customer ID for each customer with shipments having invoice numbers between 1 and 10, ordered by customer ID in descending order?",6,False
"SELECT SUM(Shipment_Items.order_item_id), order_item_status_code FROM Shipment_Items JOIN Order_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id WHERE Shipment_Items.shipment_id BETWEEN 1 AND 10 OR Order_Items.product_id != 29 ORDER BY order_item_status_code ASC LIMIT 4","What are the sums of order item ids and their corresponding order item status codes for shipment items with shipment ids between 1 and 10 or order items with product ids not equal to 29, ordered by order item status code in ascending order?",6,False
"SELECT MAX(o.order_item_id), o.order_id FROM Order_Items AS o WHERE o.order_item_id IN (SELECT order_item_id FROM Shipment_Items)",What is the maximum order item ID and its corresponding order ID for order items that have been shipped?,6,False
"SELECT COUNT(order_id), shipment_id, order_item_status_code FROM Shipment_Items JOIN Order_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id WHERE order_id BETWEEN 1 AND 10 AND  order_id < 60 ORDER BY order_item_status_code DESC","What is the count of order items for each shipment for orders with order IDs between 1 and 10 and less than 60, ordered by status in descending order?",6,False
"SELECT S.order_id, O.order_id FROM Shipments S JOIN Orders O ON O.order_id = S.order_id WHERE O.order_id BETWEEN 1 AND 10 GROUP BY S.order_id ORDER BY O.order_id ASC;","What are the matching order IDs in the orders and shipments tables for orders with IDs between 1 and 10, listed in ascending order?",2,True
"SELECT AVG(parent_product_id) AS avg_parent_product_id, parent_product_id FROM Products GROUP BY parent_product_id;",What is the average value of parent_product_id for each distinct parent_product_id in the Products table?,6,False
SELECT q.product_size FROM Products AS q WHERE q.product_id BETWEEN 1 AND 10 LIMIT 9,"What are the product sizes of the products with product ids between 1 and 10, excluding the first 9 products?",3,True
SELECT order_id FROM Shipment_Items JOIN Order_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id WHERE  Order_Items.order_item_id != 28 OR order_item_status_code IN (SELECT order_item_status_code FROM Order_Items AS s),What are the order IDs of shipments that include order items with a status code found in any order item or have an order item ID that is not 28?,6,False
"SELECT order_status_code, order_item_status_code FROM Orders JOIN Order_Items ON Order_Items.order_id = Orders.order_id WHERE product_id >= 41",What are the order status codes and order item status codes for orders containing products with product ids greater than or equal to 41?,3,True
"SELECT order_status_code, date_order_placed FROM Orders WHERE order_id >= 74 GROUP BY date_order_placed HAVING MIN(order_id) > 58",What are the order status codes and dates for orders with the earliest order id greater than 58 and order id 74 or greater?,6,False
"SELECT COUNT(DISTINCT i.product_name), i.product_price, i.product_color FROM Products AS i JOIN Products AS p ON p.product_id = i.product_id WHERE p.product_price >= 24 OR EXISTS (SELECT * FROM Order_Items WHERE p.product_id = Order_Items.product_id) GROUP BY i.product_color","For each product color, what is the number of distinct product names and their prices for products with a price of at least 24 dollars or products that have been ordered?",6,False
