query,question,iter,flag
"SELECT MIN(T1.Artwork_ID), T3.Festival_Name FROM nomination AS T1 INNER JOIN festival_detail AS T3 ON T1.Festival_ID = T3.Festival_ID INNER JOIN artwork AS T2 ON T1.Artwork_ID = T2.Artwork_ID WHERE T3.Year BETWEEN 1 AND 10 AND T3.Year NOT IN (SELECT Year FROM festival_detail AS n WHERE n.Num_of_Audience BETWEEN 1 AND 10) LIMIT 6","What are the next six festival names with the smallest artwork IDs, where the festivals are held in the first ten years but do not have audience numbers between 1 and 10 in those years?",6,False
"SELECT COUNT(DISTINCT q.Artwork_ID), q.Festival_ID, q.Result FROM nomination AS q WHERE  q.Artwork_ID > 47 ORDER BY q.Festival_ID ASC LIMIT 4","What are the festival ids and results of the distinct artworks with id greater than 47, ordered by festival id in ascending order, from the 5th to the 8th rows?",6,False
"SELECT T1.Max_Artwork_ID, T2.Artwork_ID, T2.Name FROM (SELECT Name, MAX(Artwork_ID) AS Max_Artwork_ID FROM artwork GROUP BY Name) T1 JOIN artwork T2 ON T1.Name = T2.Name AND T1.Max_Artwork_ID = T2.Artwork_ID LIMIT 2","What are the names and ids of the two artworks with the highest artwork id for each artwork name, excluding the first one?",2,True
SELECT COUNT(DISTINCT c.Result) FROM nomination AS c WHERE c.Artwork_ID BETWEEN 1 AND 10 AND  c.Festival_ID < 21,"How many distinct results are there for artworks with IDs between 1 and 10, nominated in festivals with IDs less than 21?",2,True
SELECT COUNT(DISTINCT h.Type) FROM artwork AS h WHERE h.Artwork_ID BETWEEN 1 AND 10 OR  h.Artwork_ID <= 14,What is the number of distinct artwork types for artworks with IDs between 1 and 10 or less than or equal to 14?,2,True
"SELECT T3.Num_of_Audience, T2.Result FROM artwork AS T1 JOIN nomination AS T2 ON T1.Artwork_ID = T2.Artwork_ID JOIN festival_detail AS T3 ON T2.Festival_ID = T3.Festival_ID WHERE T3.Festival_ID IN (SELECT Festival_ID FROM festival_detail)",What are the results of the artworks and the number of audience in the festivals?,5,True
"SELECT Year, Location FROM festival_detail WHERE  Festival_ID <= 69 ORDER BY Location DESC","What are the years and locations of the festivals with an id less than or equal to 69, listed in descending order by location?",2,True
SELECT Festival_Name FROM festival_detail WHERE Festival_ID IN (SELECT Festival_ID FROM nomination) ORDER BY Festival_Name ASC;,"What are the names of all the festivals that have had a nomination, listed in alphabetical order?",2,True
"SELECT COUNT(nomination.Artwork_ID), festival_detail.Num_of_Audience FROM artwork JOIN nomination ON artwork.Artwork_ID = nomination.Artwork_ID JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID WHERE festival_detail.Year != (SELECT MIN(Year) FROM festival_detail AS r WHERE r.Num_of_Audience BETWEEN 1 AND 10 OR  r.Festival_ID < 82) LIMIT 10","What are the counts of artwork nominations and corresponding audience numbers for the 11th to 20th festivals, excluding the earliest festival with an audience between 1 and 10 or a festival ID less than 82?",6,False
"SELECT Chair_Name, Location FROM festival_detail WHERE  Year = 76 AND Num_of_Audience > (SELECT MIN(Num_of_Audience) FROM festival_detail AS k WHERE  k.Num_of_Audience < 48) GROUP BY Chair_Name ORDER BY Location DESC","What are the chair names and locations of the 1976 festivals with audience numbers greater than the minimum audience number of any festival with less than 48 attendees, listed in descending order by location?",5,True
