query,question,iter,flag
"SELECT COUNT(DISTINCT Rank), Hosts, Theme FROM farm_competition JOIN competition_record ON farm_competition.Competition_ID = competition_record.Competition_ID WHERE Farm_ID = 62 OR EXISTS (SELECT * FROM farm WHERE Total_Cattle BETWEEN 1 AND 10 AND competition_record.Farm_ID = farm.Farm_ID LIMIT 9) LIMIT 10","What are the counts of distinct ranks, hosts, and themes of the top 10 farm competitions where either the farm ID is 62 or the farm has between 1 and 10 cattle, excluding the first 10 results?",6,False
"SELECT MIN(y.Sheep_and_Goats), y.Pigs FROM farm AS y JOIN farm AS z ON y.Farm_ID = z.Farm_ID WHERE y.Year BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM competition_record WHERE Rank != 51 AND y.Farm_ID = Farm_ID)",What are the minimum number of sheep and goats and the corresponding number of pigs for farms that participated in competitions with a rank other than 51 between years 1 and 10?,3,True
SELECT Theme FROM farm_competition JOIN city ON farm_competition.Host_city_ID = city.City_ID WHERE  Population != 62 ORDER BY Theme DESC LIMIT 6,"What are the 6 themes of the farm competitions, excluding the ones held in cities with a population of 62, listed in descending order, starting from the 7th theme?",3,True
"SELECT COUNT(DISTINCT Official_Name), Area_km_2, Census_Ranking, Official_Name FROM city WHERE Area_km_2 != 53 GROUP BY Official_Name, Area_km_2, Census_Ranking;","What are the counts of unique official names for cities with areas not equal to 53 square kilometers, grouped by official name, area, and census ranking?",6,False
SELECT c.Hosts FROM farm_competition AS c WHERE  c.Competition_ID >= 78 LIMIT 6,"Who hosted the next six farm competitions after the first 6, starting from the one with Competition_ID of 78 or above?",3,True
SELECT Farm_ID FROM competition_record WHERE Competition_ID != 36,What are the IDs of the farms that did not participate in competition 36?,3,True
SELECT Host_city_ID FROM farm_competition WHERE  Year != 4 ORDER BY Host_city_ID DESC,"What are the host city IDs for farm competitions excluding the year 4, listed in descending order?",2,True
"SELECT COUNT(competition_record.Competition_ID), Hosts FROM farm_competition JOIN competition_record ON farm_competition.Competition_ID = competition_record.Competition_ID WHERE  Farm_ID < 81 ORDER BY Hosts ASC LIMIT 3",What are the Hosts and number of competitions for the next 3 farms (ordered by hosts and starting from the 4th) with Farm_ID less than 81?,2,True
"SELECT SUM(cr.Rank), c.Status FROM farm_competition AS fc JOIN competition_record AS cr ON fc.Competition_ID = cr.Competition_ID JOIN city AS c ON fc.Host_city_ID = c.City_ID WHERE c.City_ID != 70","What is the total ranking of competition records and the status of the host city, excluding the city with id 70?",2,True
SELECT COUNT(DISTINCT Competition_ID) FROM farm_competition LIMIT 5,What are the number of fifth to ninth distinct farm competition IDs?,6,False
"SELECT farm.Year, city.Census_Ranking FROM farm JOIN competition_record ON farm.Farm_ID = competition_record.Farm_ID JOIN farm_competition ON competition_record.Competition_ID = farm_competition.Competition_ID JOIN city ON farm_competition.Host_city_ID = city.City_ID LIMIT 6","What are the years and census rankings of the cities hosting farm competitions, starting from the 7th record?",6,False
SELECT Cows FROM farm,What is the number of cows on a farm?,5,True
"SELECT farm.Farm_ID, city.Census_Ranking FROM farm JOIN competition_record ON farm.Farm_ID = competition_record.Farm_ID JOIN farm_competition ON competition_record.Competition_ID = farm_competition.Competition_ID JOIN city ON farm_competition.Host_city_ID = city.City_ID WHERE farm.Oxen = 72",What are the farm ids and corresponding host city census rankings for farms with 72 oxen?,3,True
SELECT h.Status FROM city AS h WHERE  h.City_ID != 49 ORDER BY h.Status DESC LIMIT 9,"What are the 10th to 18th status of cities excluding the city with city id 49, listed in descending order?",2,True
"SELECT MIN(City_ID), Area_km_2, Population FROM city WHERE Area_km_2 = (SELECT MIN(Area_km_2) FROM city WHERE Area_km_2 BETWEEN 1 AND 10) GROUP BY Area_km_2, Population LIMIT 2","What are the city IDs, areas, and populations of the second and third smallest cities with areas between 1 and 10 square kilometers?",2,True
"SELECT SUM(farm.Working_Horses), city.Official_Name FROM farm JOIN competition_record ON farm.Farm_ID = competition_record.Farm_ID JOIN farm_competition ON competition_record.Competition_ID = farm_competition.Competition_ID JOIN city ON farm_competition.Host_city_ID = city.City_ID WHERE competition_record.Rank BETWEEN 1 AND 10 AND city.Population <= (SELECT AVG(Population) FROM city WHERE Population > 0) ORDER BY city.Official_Name ASC","What is the total number of working horses for farms that ranked between 1 and 10 in competitions, by city, considering only cities with a population less than or equal to the average population of cities with a population greater than 0, listed in ascending order by city name?",5,True
"SELECT COUNT(DISTINCT Hosts), Competition_ID, Hosts FROM farm_competition WHERE Host_city_ID = 95 AND Hosts < (SELECT MIN(Hosts) FROM farm_competition WHERE Year BETWEEN 1 AND 10) GROUP BY Hosts, Host_city_ID HAVING AVG(Host_city_ID) >= 20","What are the counts of distinct hosts, competition ids and hosts from farm competition where the host city id is 95, the hosts are less than the minimum hosts between year 1 and 10 and the average host city id is greater than or equal to 20, grouped by hosts and host city id?",6,False
SELECT T1.Area_km_2 FROM city AS T1 INNER JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID INNER JOIN competition_record AS T3 ON T2.Competition_ID = T3.Competition_ID AND T3.Farm_ID = farm.Farm_ID INNER JOIN farm AS T4 ON T4.Farm_ID = T3.Farm_ID WHERE T2.Host_city_ID BETWEEN 1 AND 10 AND T2.Competition_ID IN (SELECT Competition_ID FROM farm_competition AS d WHERE d.Competition_ID != 58),What is the area in square kilometers of the cities with IDs between 1 and 10 that hosted a farm competition not including competition ID 58?,6,False
SELECT w.Pigs FROM farm AS w WHERE w.Sheep_and_Goats BETWEEN 1 AND 10 AND  w.Farm_ID = 38 ORDER BY w.Pigs DESC,"What are the farms with the highest number of pigs, in descending order, that have between 1 and 10 sheep and goats and have a farm id of 38?",6,False
SELECT t.Host_city_ID FROM farm_competition AS t WHERE  t.Host_city_ID != 8,What are the host city IDs of farm competitions other than city ID 8?,3,True
"SELECT SUM(l.Area_km_2), l.City_ID, l.Population FROM city AS l WHERE  l.Area_km_2 != 46 GROUP BY l.City_ID HAVING COUNT(l.City_ID) >= 47","What is the total area and population of cities with id, excluding cities with an area of 46 square kilometers, where the number of times the city id appears is at least 47?",6,False
