query,question,iter,flag
"SELECT z.lng, z.lat FROM circuits AS z LIMIT 5",What are the longitude and latitude of the 6th to 10th circuits?,6,False
"SELECT constructorRef, url FROM constructors WHERE constructorRef != (SELECT AVG(constructorRef) FROM constructors WHERE constructorId >= 32 LIMIT 7) ORDER BY constructorRef DESC","What are the constructor references and their corresponding URLs for constructors with a constructor reference that is not equal to the average constructor reference of constructors with a constructor ID greater than or equal to 32, listed in descending order by constructor reference?",4,True
"SELECT COUNT(DISTINCT t.driverId), COUNT(DISTINCT t.milliseconds), t.milliseconds FROM pitStops AS t WHERE t.lap BETWEEN 1 AND 10 OR  t.raceId != 62","What is the number of unique drivers and lap times for pit stops that occurred on the first 10 laps or races that are not race 62, along with the corresponding lap times?",6,False
"SELECT circuits.lat, races.round FROM circuits JOIN races ON circuits.circuitId = races.circuitId WHERE circuits.lat != 49",What are the latitude values of the racing circuits and their corresponding round numbers where the latitude is not 49?,5,True
"SELECT MIN(q.position), q.wins FROM constructorStandings AS q",What is the lowest position and the number of wins of the constructors in the standings?,3,True
"SELECT m.q2, m.q1, m.q2 FROM qualifying AS m WHERE  m.position != 23 ORDER BY m.q1 DESC","What are the q1, q2 and q2 qualifying results for drivers who did not start at position 23, listed in descending order of q1 results?",6,False
SELECT m.number FROM drivers AS m JOIN drivers AS d ON d.driverId = m.driverId;,What are the driver numbers of drivers who have the same driverId as another driver?,6,False
"SELECT q.constructorId, q.constructorRef FROM constructors AS q JOIN constructors AS c ON q.constructorId = c.constructorId WHERE q.constructorId >= 37 ORDER BY q.constructorRef DESC","What are the constructor ids and references of constructors with id 37 or higher, listed in descending order of constructor reference?",2,True
"SELECT MAX(alt), lat, name FROM circuits WHERE circuitId BETWEEN 1 AND 10 GROUP BY name, lat","What are the maximum altitudes, latitudes, and corresponding names of the first 10 circuits?",6,False
SELECT COUNT(DISTINCT v.round) FROM races AS v WHERE  v.round >= 0 LIMIT 2,What are the second and third most frequent round numbers that appear in the races table?,6,True
"SELECT COUNT(d.statusId), d.statusId FROM status JOIN status AS d ON status.statusId = d.statusId WHERE  status.statusId = 78 ORDER BY d.statusId ASC LIMIT 10","How many rows of the status table where statusId is 78 does the first instance of statusId 78 have, excluding the first 10 rows when ordered by statusId in ascending order?",6,False
SELECT i.round FROM races AS i,What rounds are in the races?,3,True
"SELECT COUNT(points), COUNT(DISTINCT constructorResults.constructorId) FROM races JOIN constructorResults JOIN constructors ON constructors.constructorId = constructorResults.constructorId AND constructorResults.raceId = races.raceId WHERE  constructors.constructorId = 94",How many points did the constructor with id 94 score in total and how many distinct constructors participated?,6,False
"SELECT T1.constructorResultsId, T2.name FROM constructorResults AS T1 JOIN constructors AS T2 ON T1.constructorId = T2.constructorId JOIN races AS T3 ON T3.raceId = T1.raceId WHERE T3.round BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM constructors AS d WHERE  d.constructorId >= 100 AND T1.constructorResultsId = d.constructorId LIMIT 1) GROUP BY T2.name",What are the names of constructors that have participated in rounds 1 through 10 and have a constructor ID of 100 or higher?,6,False
SELECT points FROM constructorResults WHERE  constructorId != 76,What are the points earned by constructors other than constructor 76?,6,True
SELECT r.driverId FROM driverStandings AS r WHERE  r.driverId >= 91 AND position NOT IN (SELECT position FROM results AS z WHERE  z.statusId >= 9) ORDER BY r.driverId DESC,"Which driver IDs are 91 or higher and have not finished in any position less than 9 in the results table, listed in descending order by driver ID?",6,False
"SELECT COUNT(a.constructorId), a.name, a.nationality FROM constructors AS a WHERE a.constructorId > 44 GROUP BY a.nationality, a.name ORDER BY a.name DESC","What is the count of constructors with constructorId greater than 44, grouped by nationality and name, and sorted by name in descending order?",4,True
"SELECT l.raceId, l.positionText FROM driverStandings AS l WHERE l.driverStandingsId != 20 OR l.points IN (SELECT e.points FROM driverStandings AS e WHERE e.position BETWEEN 1 AND 10) ORDER BY l.positionText DESC;","What are the positions of the drivers in the driver standings who either scored points within the top 10 or have a driver standings id other than 20, ordered from last to first?",6,False
"SELECT SUM(T1.points), COUNT(DISTINCT T1.constructorId) FROM constructorResults AS T1 JOIN status AS T2 ON T1.status = T2.statusId JOIN constructors AS T3 ON T1.constructorId = T3.constructorId WHERE T2.statusId > 27;",What is the total points and the count of distinct constructors that have a status greater than 27?,6,False
"SELECT round, races.raceId FROM circuits JOIN races JOIN lapTimes ON races.circuitId = circuits.circuitId AND races.raceId = lapTimes.raceId WHERE  lapTimes.lap < 89",What round and raceId are associated with lap times that are less than 89?,6,False
"SELECT r.raceId, r.raceId FROM constructorResults AS r WHERE r.constructorId BETWEEN 1 AND 10 AND constructorId IN (SELECT constructorId FROM constructors WHERE  constructorId != 70) ORDER BY r.raceId DESC","What are the race IDs from constructor results where the constructor ID is between 1 and 10 and the constructor ID is not 70, ordered in descending order by race ID?",6,False
"SELECT AVG(races.raceId), round FROM constructorStandings JOIN races ON constructorStandings.raceId = races.raceId WHERE EXISTS (SELECT * FROM constructorResults WHERE raceId BETWEEN 1 AND 10 AND races.raceId = raceId)","What is the average race ID, and what is the round number for races with IDs between 1 and 10?",6,False
