query,question,iter,flag
"SELECT LOCATION_ID, STREET_ADDRESS FROM locations WHERE  LOCATION_ID >= 51",What are the location IDs and street addresses for locations with IDs greater than or equal to 51?,2,True
"SELECT COUNT(job_history.DEPARTMENT_ID), job_history.DEPARTMENT_ID, job_history.END_DATE FROM job_history WHERE job_history.DEPARTMENT_ID <= 2 GROUP BY job_history.DEPARTMENT_ID, job_history.END_DATE ORDER BY job_history.END_DATE DESC","What is the number of job history records for each department with a department ID less than or equal to 2, grouped by department ID and end date, in descending order of end date?",4,True
SELECT COUNT(DISTINCT END_DATE) FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE  employees.DEPARTMENT_ID >= 6 AND EMPLOYEE_ID IN (SELECT EMPLOYEE_ID FROM employees AS a WHERE  a.MANAGER_ID = 60 LIMIT 3),How many distinct end dates are there for employees in departments with id 6 or higher who are among the first 3 employees managed by manager with id 60?,6,False
"SELECT SUM(t.DEPARTMENT_ID), t.JOB_ID FROM job_history AS t WHERE  t.EMPLOYEE_ID < 50 GROUP BY t.JOB_ID ORDER BY t.JOB_ID ASC","What is the sum of department ids for each job id, for employees with an id less than 50, ordered by job id?",2,True
"SELECT AVG(MAX_SALARY) AS avg_max_salary, JOB_ID, MIN_SALARY FROM jobs WHERE MIN_SALARY < 64 AND MAX_SALARY NOT IN (SELECT MAX_SALARY FROM jobs WHERE MIN_SALARY = 69) GROUP BY JOB_ID, MIN_SALARY HAVING COUNT(MAX_SALARY) >= 9","What is the average maximum salary, job id, and minimum salary for jobs with a minimum salary of less than 64 and a maximum salary that does not appear in jobs with a minimum salary of 69, for groups of jobs with the same job id and minimum salary that have at least 9 maximum salaries?",3,True
SELECT COUNTRY_ID FROM locations WHERE LOCATION_ID BETWEEN 1 AND 10 OR  LOCATION_ID != 89 LIMIT 9,"What are the country ids of the locations with location id between 1 and 10 or not equal to 89, starting from the 10th record, limited to 9 records?",4,True
"SELECT AVG(job_history.EMPLOYEE_ID), EMAIL FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE employees.EMPLOYEE_ID != 39 AND job_history.JOB_ID IN (SELECT JOB_ID FROM jobs WHERE MAX_SALARY BETWEEN 1 AND 10) ORDER BY EMAIL DESC LIMIT 9","What are the average employee IDs and emails of the employees with job history, excluding employee ID 39, whose job IDs have a maximum salary between 1 and 10, ordered by email in descending order, starting from the 10th row?",6,False
"SELECT STREET_ADDRESS, COUNT(a.LOCATION_ID) FROM locations AS a WHERE a.LOCATION_ID BETWEEN 1 AND 10 OR STATE_PROVINCE IN (SELECT STATE_PROVINCE FROM locations AS z WHERE  z.LOCATION_ID < 40) GROUP BY a.STREET_ADDRESS;","What are the street addresses of locations with a location ID between 1 and 10 or located in the same state province as locations with a location ID less than 40, and how many locations are at each of these addresses?",2,True
SELECT employees.DEPARTMENT_ID FROM employees JOIN jobs ON employees.JOB_ID = jobs.JOB_ID WHERE employees.COMMISSION_PCT <= 26,What are the department ids of employees who have a commission percentage of 26 or less?,5,True
"SELECT COUNTRY_NAME, COUNTRY_ID FROM countries WHERE  REGION_ID = 47",What are the names and IDs of the countries in the region with ID 47?,2,True
"SELECT SUM(SALARY), job_history.DEPARTMENT_ID, PHONE_NUMBER, MANAGER_ID FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE SALARY BETWEEN 1000 AND 10000 GROUP BY job_history.DEPARTMENT_ID, PHONE_NUMBER, MANAGER_ID LIMIT 3","What are the sums of salaries, department IDs, phone numbers and manager IDs for groups of employees with salaries between 1000 and 10000, skipping the first three groups?",6,False
"SELECT COUNT(DISTINCT z.COUNTRY_ID), z.COUNTRY_ID FROM locations AS z",How many unique countries are there in the locations table?,6,False
