query,question,iter,flag
"SELECT MAX(P.paperID), COUNT(DISTINCT A.authID) FROM Authors A JOIN Authorship ASH ON A.authID = ASH.authID JOIN Papers P ON ASH.paperID = P.paperID WHERE A.authID BETWEEN 1 AND 10 OR ASH.authOrder > 66",What is the maximum paper ID and the number of distinct authors for authors with IDs between 1 and 10 or authors with author order greater than 66?,2,True
"SELECT instID, country FROM Inst AS i INNER JOIN Authorship AS a ON i.instID = a.instID WHERE a.authOrder = 42",What are the institution IDs and countries of institutions with authors who are 42nd in author order?,2,True
"SELECT MIN(paperID), paperID FROM Papers WHERE  paperID != 49",What is the paper id that is immediately before 49 in the papers table?,2,True
SELECT fname FROM Authors JOIN Authorship ON Authorship.authID = Authors.authID WHERE authID < (SELECT AVG(authID) FROM Authorship AS g WHERE  g.paperID = 40) ORDER BY fname ASC,"What are the first names of authors with an authID less than the average authID of the authors of the paper with paperID 40, listed in ascending order?",2,True
SELECT paperID FROM Papers WHERE paperID >= 47 ORDER BY paperID DESC LIMIT 1,What is the second-highest paper id of papers with ids of 47 or above?,2,True
SELECT A.lname FROM Authors A INNER JOIN Authorship ASH ON A.authID = ASH.authID INNER JOIN Papers P ON ASH.paperID = P.paperID WHERE P.paperID BETWEEN 1 AND 10,What are the last names of the authors of papers with IDs between 1 and 10?,2,True
SELECT DISTINCT T1.title FROM Papers AS T1 INNER JOIN Authorship AS T2 ON T1.paperID = T2.paperID INNER JOIN Authors AS T3 ON T2.authID = T3.authID WHERE T2.authID BETWEEN 1 AND 10 OR T2.authID >= 39 LIMIT 6,What are the next 6 distinct paper titles authored by authors with IDs between 1 and 10 or 39 and above?,5,True
"SELECT MAX(instID), country FROM Inst WHERE instID > 9 GROUP BY country HAVING AVG(instID) > 95 ORDER BY country ASC","For each country, what is the highest institution ID, where the average institution ID is greater than 95, listed in ascending order by country?",2,True
"SELECT AVG(T1.instID) AS avg_instID, T3.lname, T2.title FROM Authorship AS T1 JOIN Papers AS T2 ON T1.paperID = T2.paperID JOIN Authors AS T3 ON T1.authID = T3.authID WHERE T3.fname NOT IN (SELECT fname FROM Authors AS j WHERE  j.authID != 59 LIMIT 7) GROUP BY T3.lname, T2.title","What is the average institution ID for authors whose first name is not one of the first 7 unique first names among authors other than the one with author ID 59, grouped by author last name and paper title?",6,False
SELECT o.paperID FROM Papers AS o WHERE  o.paperID != 53 ORDER BY o.paperID ASC LIMIT 2,"What are the next two paper IDs, excluding the paper with ID 53, when the papers are ordered by ID in ascending order?",3,True
"SELECT g.instID, g.authID FROM Authorship AS g WHERE g.paperID >= 15 ORDER BY g.instID ASC","What are the institution IDs and author IDs for papers with IDs of 15 or more, listed in ascending order by institution ID?",3,True
"SELECT COUNT(DISTINCT s.paperID), s.authOrder FROM Authorship AS s WHERE s.instID != 93 GROUP BY s.authOrder;","How many distinct papers are there for each author count, excluding authors from institution 93?",2,True
"SELECT SUM(T1.paperID), T2.authID FROM Papers AS T1 JOIN Authorship AS T4 ON T1.paperID = T4.paperID JOIN Authors AS T2 ON T2.authID = T4.authID JOIN Inst AS T3 ON T3.instID = T4.instID WHERE T4.authID BETWEEN 1 AND 10",What is the sum of paper IDs for each author with an author ID between 1 and 10?,6,False
SELECT paperID FROM Papers WHERE paperID > (SELECT MAX(paperID) FROM Authorship),What are the paper IDs that are greater than the maximum paper ID of any authorship?,3,True
"SELECT Authorship.instID, fname, country FROM Inst JOIN Authors JOIN Papers JOIN Authorship ON Authorship.paperID = Papers.paperID AND Authorship.authID = Authors.authID AND Inst.instID = Authorship.instID WHERE  Authorship.paperID = 5 GROUP BY country HAVING MAX(authOrder) > 3 ORDER BY Authorship.instID DESC LIMIT 8","What are the institution ids, first names, and countries of authors for paper with id 5, where the maximum author order is more than 3, listed in descending order of institution ids, from the 9th to the 16th result?",6,False
