query,question,iter,flag
"SELECT MIN(Staff_ID), Staff_Details FROM Staff WHERE  Staff_ID < 12 GROUP BY Staff_Details ORDER BY Staff_Details ASC LIMIT 2","What are the staff details for the staff with the second and third lowest staff ID, where staff ID is less than 12?",6,False
SELECT Document_Type_Code FROM Claims_Documents ORDER BY Document_Type_Code DESC;,What are the document type codes for claims documents in descending order?,2,True
"SELECT Claims_Processing.Claim_Outcome_Code, h.Claim_Outcome_Code FROM Claims_Processing JOIN Claims_Processing AS h ON Claims_Processing.Claim_ID = h.Claim_ID WHERE  h.Claim_ID != 21 LIMIT 1","What are the claim outcome codes for the same claim id in the claims processing table, excluding the claim id 21 and skipping the first result?",2,True
"SELECT COUNT(Staff_ID), Staff_Details FROM Claims_Documents JOIN Staff ON Claims_Documents.Created_by_Staff_ID = Staff.Staff_ID WHERE Claim_ID BETWEEN 1 AND 10 OR Created_Date >= 52 GROUP BY Staff_Details",What are the counts and details of staff who created claims documents for claim IDs between 1 and 10 or created dates greater than or equal to 52 weeks?,6,False
SELECT Policy_ID FROM Policies JOIN Customers ON Policies.Customer_ID = Customers.Customer_ID WHERE  Policy_ID > 3 ORDER BY Policy_ID DESC,What are the policy IDs greater than 3 ordered from highest to lowest?,2,True
SELECT MIN(Created_by_Staff_ID) FROM Claims_Documents WHERE  Created_by_Staff_ID > 14 LIMIT 9,"What are the next nine smallest staff IDs that created claims documents, excluding the smallest nine staff IDs?",6,False
"SELECT MIN(Policy_ID), COUNT(DISTINCT Date_of_Claim) FROM Claim_Headers WHERE  Policy_ID >= 79",What is the smallest policy ID with at least 79 policies and how many distinct dates of claim are there for these policies?,6,False
SELECT Created_by_Staff_ID FROM Claims_Documents WHERE  Created_by_Staff_ID = 62 GROUP BY Created_by_Staff_ID HAVING COUNT(Created_Date) < 51 ORDER BY Created_by_Staff_ID ASC,"What are the staff IDs of staff members who have created less than 51 claims documents, listed in ascending order?",6,False
"SELECT MAX(Customer_ID), Policy_Type_Code, Amount_Claimed FROM Claim_Headers JOIN Policies ON Claim_Headers.Policy_ID = Policies.Policy_ID WHERE Claim_Headers.Claim_Header_ID BETWEEN 1 AND 10 AND Start_Date NOT IN (SELECT Start_Date FROM Policies AS c WHERE c.Customer_ID BETWEEN 1 AND 10 AND  c.Customer_ID > 52 LIMIT 3) GROUP BY Amount_Claimed ORDER BY Amount_Claimed ASC","What are the maximum customer IDs for each amount claimed in the first 10 claim headers, excluding policies that started within the three earliest start dates of customers with IDs between 1 and 10 and greater than 52, ordered by amount claimed in ascending order?",6,False
SELECT COUNT(Staff_ID) FROM Staff WHERE Staff_ID = 76 LIMIT 1,Is there a staff member with id 76?,5,True
SELECT DISTINCT r.Customer_Details FROM Customers AS r WHERE r.Customer_ID > 51,What are the distinct customer details for customers with a customer id greater than 51?,2,True
"SELECT AVG(z.Created_Date), z.Document_Type_Code FROM Claims_Documents AS z WHERE EXISTS (SELECT * FROM Claims_Processing AS cp INNER JOIN Staff AS t ON cp.Staff_ID = t.Staff_ID WHERE t.Staff_ID <= 88 AND cp.Claim_ID = z.Claim_ID) LIMIT 2","What are the average created dates and document type codes of the second and third claims processed by staff with IDs 88 or less, grouped by document type codes?",6,False
"SELECT MIN(Amount_Claimed), Claim_Status_Code, Amount_Piad FROM Claim_Headers WHERE Amount_Piad >= 32 GROUP BY Amount_Piad, Claim_Status_Code HAVING AVG(Amount_Claimed) < 47","What is the minimum amount claimed, the claim status code, and the amount paid for each claim status and amount paid combination, where the amount paid is at least 32 and the average amount claimed is less than 47?",5,True
"SELECT MIN(y.Staff_ID), y.Staff_Details FROM Staff AS y WHERE  y.Staff_ID >= 80 GROUP BY y.Staff_Details HAVING MIN(y.Staff_ID) >= 37 ORDER BY y.Staff_Details ASC","What is the minimum staff ID for each staff detail, where the minimum staff ID is 37 or greater and the staff ID is 80 or greater, listed in ascending order of staff details?",5,True
"SELECT SUM(x.Customer_ID) AS sum_customer_id, AVG(x.Customer_ID) AS avg_customer_id, MAX(x.Customer_ID) AS max_customer_id FROM Customers AS x WHERE x.Customer_ID >= 62","What are the sum, average, and maximum customer IDs for customers with an ID of 62 or higher?",2,True
SELECT MIN(Staff_ID) FROM Claims_Processing WHERE  Claim_Stage_ID >= 27,What is the lowest staff ID of staff who processed claims at stage 27 or later?,5,True
SELECT Claims_Processing.Claim_Outcome_Code FROM Claims_Processing JOIN Claims_Processing AS q ON Claims_Processing.Claim_Processing_ID = q.Claim_Processing_ID WHERE Claims_Processing.Claim_ID BETWEEN 1 AND 10 OR q.Staff_ID = 63 GROUP BY Claims_Processing.Claim_Outcome_Code,"What are the different claim outcome codes for claims with IDs 1 to 10, or those processed by staff with ID 63?",2,True
"SELECT AVG(Claims_Documents.Claim_ID), AVG(Claims_Processing.Staff_ID) FROM Claims_Processing JOIN Claims_Documents ON Claims_Processing.Claim_ID = Claims_Documents.Claim_ID JOIN Staff ON Claims_Documents.Created_by_Staff_ID = Staff.Staff_ID WHERE Claims_Documents.Created_Date BETWEEN 1 AND 10 OR  Staff.Staff_ID >= 90 LIMIT 3","What is the average claim ID and staff ID for claims processed between the 1st and 10th of a month or processed by staff with an ID of 90 or higher, limited to rows 4 to 6?",6,False
"SELECT Claim_Stage_ID, Claims_Processing.Claim_ID FROM Claim_Headers JOIN Claims_Processing ON Claim_Headers.Claim_Header_ID = Claims_Processing.Claim_ID JOIN Staff ON Staff.Staff_ID = Claims_Processing.Staff_ID ORDER BY Claim_Stage_ID DESC;","What are the claim stage IDs and claim IDs in the claims processing, ordered by claim stage ID in descending order, along with the staff information?",6,False
"SELECT MIN(n.Claim_Header_ID), n.Policy_ID, n.Amount_Claimed FROM Claim_Headers AS n WHERE  n.Policy_ID != 77 GROUP BY n.Amount_Claimed ORDER BY n.Amount_Claimed DESC LIMIT 3","What are the minimum claim header IDs, corresponding policy IDs, and amounts claimed for the next three highest amounts claimed, excluding the policy with ID 77?",6,False
"SELECT Policy_Type_Code, Claim_ID FROM Claim_Headers JOIN Policies JOIN Customers JOIN Claims_Processing ON Claim_Headers.Policy_ID = Policies.Policy_ID AND Claims_Processing.Claim_ID = Claim_Headers.Claim_Header_ID AND Policies.Customer_ID = Customers.Customer_ID WHERE Amount_Piad BETWEEN 1 AND 10 GROUP BY Claim_ID ORDER BY Claim_ID ASC","What are the policy type codes for claims with settlement amounts between 1 and 10, sorted by claim ID in ascending order?",6,False
"SELECT AVG(Created_by_Staff_ID), COUNT(Staff_ID), COUNT(DISTINCT Staff_ID) FROM Claims_Documents JOIN Staff ON Claims_Documents.Created_by_Staff_ID = Staff.Staff_ID WHERE Claim_ID < 81","What is the average staff ID that created claims documents, the total number of staff involved, and the number of distinct staff who created claims documents for claims with IDs less than 81?",6,False
"SELECT COUNT(DISTINCT Date_of_Claim), Start_Date FROM Claim_Headers JOIN Policies ON Claim_Headers.Policy_ID = Policies.Policy_ID GROUP BY Start_Date HAVING MAX(Policies.Policy_ID) <= 43 LIMIT 9","What are the start dates of the policies with policy ID less than or equal to 43, along with the number of distinct claim dates for each start date, considering only the 10th to 18th records?",6,False
"SELECT MIN(Customer_ID), Customer_ID FROM Customers WHERE Customer_ID > 67 OR Customer_ID >= 35",What is the smallest customer ID and what are the customer IDs where the customer ID is greater than 67 or greater than or equal to 35?,4,True
SELECT MIN(Claim_Headers.Policy_ID) FROM Claim_Headers JOIN Policies AS p ON Claim_Headers.Policy_ID = p.Policy_ID LIMIT 1,What is the second smallest policy ID that has a claim?,2,True
"SELECT Customer_ID, Customer_Details FROM Customers WHERE Customer_ID <= 18 GROUP BY Customer_Details HAVING MIN(Customer_ID) <= 18 ORDER BY Customer_Details DESC","What is the customer details of the customers with the lowest customer ID less than or equal to 18, ordered in descending order of customer details?",6,False
SELECT COUNT(Staff_ID) FROM Staff WHERE  Staff_ID >= 10 LIMIT 4,What is the number of staff members with a staff id of 14 or higher?,6,False
SELECT Policy_ID FROM Policies WHERE Policy_ID BETWEEN 1 AND 10 AND Customer_ID > 63 ORDER BY Policy_ID ASC LIMIT 10,"What are the policy ids of policies with customer id greater than 63, ordered from lowest to highest, starting from the 11th policy?",4,True
