query,question,iter,flag
"SELECT MAX(Sales), COUNT(DISTINCT Theme) FROM journal",What are the maximum sales and the number of distinct themes in the journal?,2,True
"SELECT editor.Age, editor.Name FROM editor JOIN journal_committee ON editor.Editor_ID = journal_committee.Editor_ID GROUP BY editor.Name, editor.Age LIMIT 2",What are the names and ages of the third and fourth oldest editors serving on a journal committee?,6,False
"SELECT AVG(n.Age), n.Name FROM editor AS n WHERE Age IN (SELECT Age FROM editor WHERE Age <= 87 LIMIT 6) GROUP BY n.Name LIMIT 2;",What are the names and average ages of the two oldest editors among the six youngest editors?,6,False
SELECT Name FROM editor WHERE Age BETWEEN 1 AND 10 OR Editor_ID IN (SELECT Editor_ID FROM editor AS a WHERE a.Editor_ID BETWEEN 1 AND 10 AND  a.Age != 25),"What are the names of editors who are between 1 and 10 years old, or have an editor id between 1 and 10 and are not 25 years old?",3,True
SELECT Sales FROM journal WHERE  Sales != 32,What sales figures are there excluding the sales figure of 32?,2,True
"SELECT AVG(Age), COUNT(DISTINCT Editor_ID), Age FROM editor WHERE (Editor_ID BETWEEN 1 AND 10 OR Editor_ID = 35) GROUP BY Age",What is the average age and the number of distinct editor IDs for each age for editors with IDs between 1 and 10 or editor ID 35?,6,True
"SELECT b.Journal_ID, b.Editor_ID FROM journal_committee AS b WHERE b.Journal_ID > 96 AND b.Journal_ID NOT IN (SELECT z.Journal_ID FROM journal AS z WHERE z.Journal_ID <= 47 LIMIT 7) GROUP BY b.Journal_ID, b.Editor_ID HAVING MAX(b.Editor_ID) = 73 ORDER BY b.Editor_ID ASC","What are the journal and editor ids for journals with id greater than 96, not among the first 7 journals with id less than or equal to 47, where the maximum editor id is 73, ordered by editor id?",4,True
"SELECT MIN(Sales), COUNT(DISTINCT Sales) FROM journal WHERE Journal_ID IN (SELECT Journal_ID FROM journal_committee WHERE Editor_ID BETWEEN 1 AND 10)",What is the minimum sales and how many unique sales are there for journals edited by editors with IDs between 1 and 10?,2,True
SELECT Name FROM editor WHERE Editor_ID BETWEEN 1 AND 10 ORDER BY Name ASC LIMIT 7,"What are the names of the editors with editor IDs between 1 and 10, ordered alphabetically, starting from the 8th editor?",3,True
"SELECT Editor_ID, COUNT(Journal_ID) FROM journal_committee WHERE Journal_ID BETWEEN 1 AND 10 GROUP BY Editor_ID HAVING COUNT(Journal_ID) > 0 AND MIN(Editor_ID) < 86",What are the editor ids and the number of journals they worked on for editors who worked on journals with ids between 1 and 10 and have an editor id less than 86?,6,False
"SELECT AVG(Journal_ID), Journal_ID FROM journal_committee WHERE Journal_ID >= 86 OR Editor_ID = 60 ORDER BY Journal_ID ASC","What is the average journal id of the journals with id 86 or higher or edited by editor 60, listed in ascending order of journal id?",6,False
SELECT editor.Name FROM editor WHERE editor.Editor_ID <= 35 GROUP BY editor.Name HAVING MIN(editor.Age) < 2 ORDER BY editor.Name DESC;,"What are the names of the editors with at least one editor younger than 2 years old, with an editor id of 35 or less, listed in descending order?",6,False
"SELECT COUNT(DISTINCT e.Age), e.Editor_ID, e.Name FROM editor e GROUP BY e.Editor_ID, e.Name ORDER BY e.Name ASC;","What is the number of distinct ages for each editor, listed in ascending order by editor name?",6,True
SELECT editor.Age FROM journal_committee JOIN editor ON editor.Editor_ID = journal_committee.Editor_ID WHERE journal_committee.Editor_ID BETWEEN 1 AND 10 AND journal_committee.Work_Type NOT IN (SELECT Work_Type FROM journal_committee WHERE Journal_ID > 4 LIMIT 4) LIMIT 2,"What are the ages of the 2nd and 3rd editors with IDs between 1 and 10, who are not involved in the types of work done in journals 5 to 8?",6,False
SELECT DISTINCT Work_Type FROM journal_committee WHERE Editor_ID >= 53 ORDER BY Work_Type DESC;,"What are the distinct work types of the journal committees led by editors with an id of 53 or higher, listed in descending order?",2,True
"SELECT T2.Work_Type, T1.Name FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID = T2.Editor_ID ORDER BY T2.Work_Type DESC;",What is the work type and corresponding editor name in descending order of work type for each member of the journal committee?,3,True
