query,question,iter,flag,hardness
SELECT Age FROM conductor WHERE  Year_of_Work = 57 ORDER BY Age DESC LIMIT 7,What are the ages of the 8th to 14th oldest conductors who have worked for 57 years?,6,False,hard
SELECT Show_ID FROM show WHERE  Show_ID <= 95,What are the show IDs of shows with an ID less than or equal to 95?,2,True,easy
"SELECT COUNT(o.Performance_ID), o.Weekly_rank FROM performance AS o WHERE Type IN (SELECT Type FROM performance AS c WHERE c.Orchestra_ID BETWEEN 1 AND 10 AND  c.Performance_ID = 3) GROUP BY o.Weekly_rank HAVING MIN(o.Performance_ID) <= 99 LIMIT 5","What are the counts of performances and their weekly ranks for performance types of top 10 orchestras with performance id of 3, where the performance id is less than or equal to 99, ordered and limited to 5 starting from the 6th?",6,False,extra
"SELECT COUNT(DISTINCT q.Year_of_Founded), COUNT(DISTINCT q.Orchestra), q.Record_Company FROM orchestra AS q WHERE q.Conductor_ID BETWEEN 1 AND 10 AND  q.Year_of_Founded < 95","What are the counts of distinct founding years and orchestra names, along with the record company names, for orchestras founded before 1995 and conducted by conductors with IDs between 1 and 10?",6,False,hard
"SELECT performance.Orchestra_ID, Weekly_rank FROM performance JOIN orchestra ON performance.Orchestra_ID = orchestra.Orchestra_ID WHERE  Year_of_Founded <= 70 GROUP BY performance.Orchestra_ID, Weekly_rank;",What are the orchestra IDs and their weekly ranks for orchestras founded in or before 1970?,6,False,hard
"SELECT g.Major_Record_Format, g.Orchestra FROM orchestra AS g WHERE Year_of_Founded > (SELECT MIN(Year_of_Founded) FROM orchestra AS n WHERE  n.Conductor_ID != 3) GROUP BY g.Orchestra_ID, g.Orchestra, g.Major_Record_Format;",What are the major record formats of each orchestra that was founded after the year the youngest orchestra of a conductor other than conductor 3 was founded?,6,False,extra
"SELECT Conductor_ID, COUNT(DISTINCT Year_of_Work) FROM conductor WHERE Conductor_ID < 66 GROUP BY Conductor_ID LIMIT 8;",What are the conductor ids and the number of distinct years they worked for the 8 conductors with ids less than 66?,3,True,hard
"SELECT MIN(Year_of_Work), Nationality FROM conductor WHERE Age = 10 GROUP BY Nationality HAVING COUNT(Year_of_Work) < 84",What is the minimum year of work and nationality of conductors who are 10 years old and have worked less than 84 years?,6,False,medium
"SELECT MIN(o.Orchestra_ID), c.Name FROM conductor AS c JOIN orchestra AS o JOIN performance AS p JOIN show AS s ON o.Conductor_ID = c.Conductor_ID AND p.Orchestra_ID = o.Orchestra_ID AND s.Performance_ID = p.Performance_ID WHERE EXISTS (SELECT * FROM conductor AS r WHERE o.Orchestra_ID = r.Conductor_ID)",What is the name of the conductor of the orchestra with the smallest orchestra id that has been led by more than one conductor?,6,False,extra
"SELECT Result, Share FROM performance JOIN show ON show.Performance_ID = performance.Performance_ID WHERE Share IN (SELECT Share FROM performance) ORDER BY Result DESC","What are the performances with their shares, sorted by the result in descending order?",6,False,extra
"SELECT MAX(Orchestra_ID), COUNT(DISTINCT Orchestra_ID), Orchestra_ID, Conductor_ID FROM orchestra WHERE Conductor_ID > 78 GROUP BY Conductor_ID, Orchestra_ID","For each conductor with a conductor id greater than 78, what is the maximum orchestra id, the number of distinct orchestra ids, the orchestra id, and the conductor id?",6,False,hard
SELECT Orchestra_ID FROM orchestra WHERE Orchestra_ID BETWEEN 1 AND 10 AND  Conductor_ID >= 16,What are the orchestra IDs of orchestras with IDs between 1 and 10 and conductors with IDs 16 or greater?,2,True,medium
SELECT COUNT(DISTINCT Weekly_rank) FROM performance WHERE Performance_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM show WHERE Attendance > 91 AND performance.Performance_ID = show.Performance_ID),"How many unique weekly ranks are there for performances with an ID between 1 and 10, or performances that had a show with attendance greater than 91?",6,False,extra
SELECT d.Show_ID FROM show AS d,What are the show ids?,2,True,easy
"SELECT j.Name, j.Year_of_Work FROM conductor AS j WHERE j.Conductor_ID = 58 GROUP BY j.Year_of_Work HAVING MIN(j.Age) >= 44 ORDER BY j.Year_of_Work DESC LIMIT 10","What are the names of the conductor with ID 58 and the years they worked when they were at least 44 years old, listed in descending order of the year of work, starting from the 11th result?",6,False,extra
SELECT Age FROM conductor WHERE Conductor_ID > 95 ORDER BY Age ASC,What are the ages of the conductors with conductor id greater than 95 in ascending order?,2,True,medium
"SELECT Year_of_Work, conductor.Conductor_ID FROM conductor JOIN orchestra ON orchestra.Conductor_ID = conductor.Conductor_ID WHERE orchestra.Conductor_ID BETWEEN 1 AND 10",What are the year of work and conductor IDs for conductors with IDs between 1 and 10?,6,True,medium
"SELECT Conductor_ID, Age FROM conductor WHERE Year_of_Work = 41 GROUP BY Age;",What are the ages of conductors with 41 years of work experience?,6,False,medium
SELECT s.Nationality FROM conductor AS s WHERE s.Nationality NOT IN (SELECT Nationality FROM conductor AS s1 WHERE s1.Conductor_ID != 39),What nationalities of conductors are only found in Conductor_ID 39?,3,True,hard
