query,question,iter,flag
"SELECT T1.room_size, T3.property_description FROM Rooms AS T1 INNER JOIN Properties AS T3 ON T1.property_id = T3.property_id INNER JOIN Ref_Property_Types AS T2 ON T3.property_type_code = T2.property_type_code WHERE T3.property_id BETWEEN 1 AND 10 OR T3.property_address_id = 52","What are the room sizes and property descriptions for properties with IDs between 1 and 10, or properties with address ID 52?",4,True
"SELECT MAX(property_address_id), MAX(property_id), COUNT(property_address_id), date_on_market FROM Ref_Property_Types JOIN Properties ON Properties.property_type_code = Ref_Property_Types.property_type_code JOIN Users ON Properties.owner_user_id = Users.user_id WHERE price_max BETWEEN 1 AND 10 OR  property_id < 32 GROUP BY date_on_market HAVING MAX(vendor_requested_price) <= 93","What are the maximum property address ID, maximum property ID, count of property addresses, and the date the properties were put on the market for properties with prices between $1 and $10 or property ID less than 32, grouped by date on market, where the maximum vendor requested price is less than or equal to $93?",6,False
"SELECT MAX(feature_id), MIN(feature_id), MIN(feature_id), feature_description FROM Features WHERE  feature_id < 70 GROUP BY feature_description HAVING SUM(feature_id) >= 89 ORDER BY feature_description ASC LIMIT 5","What are the maximum feature id, minimum feature id, minimum feature id, and feature descriptions for features with feature ids less than 70, grouped by feature description and having a sum of feature ids greater than or equal to 89, ordered by feature description in ascending order and limited to 5 rows starting from the 6th row?",2,True
SELECT f.feature_name FROM Features AS f WHERE  f.feature_id < 39 GROUP BY f.feature_name HAVING COUNT(f.feature_id) <= 38,What are the distinct feature names that appear 38 times or less in the features table with a feature id less than 39?,2,True
"SELECT COUNT(DISTINCT T1.property_id), T1.price_max, T1.owner_user_id, T1.room_count FROM Properties AS T1 WHERE T1.vendor_requested_price < 29 GROUP BY T1.price_max, T1.owner_user_id, T1.room_count","What is the count of distinct properties, maximum price, owner user id, and room count for each group of properties with a vendor requested price less than 29?",6,False
SELECT property_id FROM Rooms WHERE property_id BETWEEN 1 AND 10 AND  property_id > 6,What are the property IDs of rooms where the property ID is greater than 6 and between 1 and 10?,4,True
SELECT line_3_area_locality FROM Addresses JOIN Properties ON Addresses.address_id = Properties.property_address_id JOIN Ref_Property_Types ON Properties.property_type_code = Ref_Property_Types.property_type_code WHERE vendor_requested_price != 32 ORDER BY line_3_area_locality DESC,"What are the localities of the properties, ordered by locality in descending order, excluding those with a vendor requested price of 32?",4,True
"SELECT user_address_id, user_address_id FROM Users WHERE user_address_id BETWEEN 1 AND 10 OR  user_address_id > 19",What are the user_address_id of users with a user_address_id between 1 and 10 or greater than 19?,6,False
"SELECT MAX(price_min), MAX(property_address_id), property_description FROM Ref_Property_Types JOIN Properties ON Properties.property_type_code = Ref_Property_Types.property_type_code WHERE  property_id = 12","What is the maximum price, maximum property address ID, and the description of the property with ID 12?",6,False
"SELECT b.other_room_details, b.room_number FROM Rooms AS b WHERE  b.property_id >= 43 ORDER BY b.other_room_details ASC","What are the room details and room numbers of properties with an id of 43 or higher, listed in ascending order of room details?",3,True
"SELECT T2.line_2_number_street, T3.property_type_description FROM Properties AS T1 INNER JOIN Addresses AS T2 ON T2.address_id = T1.property_address_id INNER JOIN Ref_Property_Types AS T3 ON T3.property_type_code = T1.property_type_code WHERE T1.price_min != 57 GROUP BY T3.property_type_description HAVING MIN(T1.price_min) >= 93 LIMIT 9","What are the street addresses and property type descriptions of the 10th to 18th properties with a minimum price over 93, excluding those with a minimum price of 57, grouped by property type?",6,False
SELECT first_name FROM Users WHERE EXISTS (SELECT * FROM User_Searches WHERE user_id = 20 AND Users.user_id = User_Searches.user_id) ORDER BY first_name ASC LIMIT 10,"What are the first names of users, excluding the first 10 matches, who have a matching record in the User_Searches table for user_id 20, listed in ascending order?",6,False
"SELECT AVG(feature_id), COUNT(DISTINCT feature_name), feature_id FROM Features WHERE  feature_id >= 40 AND feature_description IN (SELECT feature_description FROM Features AS o WHERE o.feature_id BETWEEN 1 AND 10 OR  o.feature_id != 4)","What is the average feature id and the count of distinct feature names for features with a feature id greater than or equal to 40, where the feature description matches any feature description of features with a feature id between 1 and 10 or not equal to 4?",6,False
