query,question,iter,flag
"SELECT COUNT(DISTINCT last_update), COUNT(DISTINCT manager_staff_id), address_id FROM store WHERE manager_staff_id BETWEEN 1 AND 10 AND  address_id = 76 LIMIT 7","What are the counts of distinct last updates and manager staff IDs, and what is the address ID for stores with an address ID of 76 and a manager staff ID between 1 and 10, starting from the 7th row?",2,True
"SELECT original_language_id, rental_duration FROM category JOIN film JOIN film_category ON film.film_id = film_category.film_id AND film_category.category_id = category.category_id",What are the original language id and rental duration for each film in every category?,5,True
"SELECT MIN(actor_id), film_id FROM film_actor WHERE  actor_id >= 99 GROUP BY film_id","What is the minimum actor ID for each film, considering only actors with IDs 99 or higher?",6,False
"SELECT d.actor_id, d.last_name, d.first_name FROM actor AS d WHERE  d.actor_id > 78 GROUP BY d.actor_id HAVING SUM(d.actor_id) < 16",What are the details of actors with an actor id greater than 78 and the sum of their actor ids less than 16?,6,False
"SELECT d.staff_id, d.amount FROM payment AS d WHERE  d.payment_id = 92",What is the staff id and amount of the payment with the id 92?,2,True
SELECT AVG(amount) FROM payment WHERE payment_date IN (SELECT payment_date FROM payment AS h WHERE  h.rental_id >= 53),What is the average payment amount for rentals with an id of 53 or higher?,2,True
"SELECT rental_duration, language.language_id, special_features FROM film JOIN film_category ON film.film_id = film_category.film_id JOIN inventory ON film.film_id = inventory.film_id JOIN language ON film.original_language_id = language.language_id AND film.language_id = language.language_id WHERE language.language_id >= 20 GROUP BY special_features HAVING COUNT(film_category.film_id) <= 26","What are the combinations of rental durations, languages, and special features for films that belong to no more than 26 categories and are in languages with IDs 20 and above?",6,False
SELECT COUNT(t.language_id) FROM film AS t JOIN language ON t.language_id = language.language_id WHERE t.language_id > 57 LIMIT 10,"What is the number of films that have a language id greater than 57, ignoring the first 10 results?",6,False
"SELECT y.film_id, y.title FROM film_text AS y WHERE y.film_id BETWEEN 1 AND 10 OR film_id > (SELECT SUM(film_id) FROM film_actor LIMIT 4) GROUP BY y.title HAVING AVG(y.film_id) = 29 ORDER BY y.film_id DESC","What are the film titles corresponding to film ids that are either between 1 and 10 or greater than the sum of the first 4 film ids in the film_actor table, with an average film id of 29, listed in descending order by film id?",6,False
"SELECT MIN(T1.film_id), T3.phone, T2.store_id FROM inventory AS T1 JOIN store AS T2 JOIN address AS T3 ON T1.store_id = T2.store_id AND T2.address_id = T3.address_id JOIN city AS T4 ON T3.city_id = T4.city_id WHERE T4.country_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM customer AS T5 WHERE T5.store_id = T2.store_id AND T5.store_id BETWEEN 1 AND 10) GROUP BY T2.store_id HAVING MAX(T2.manager_staff_id) > 71","What is the minimum film ID, phone number, and store ID for stores in cities from countries with IDs between 1 and 10, where the store has at least one customer from a store with an ID between 1 and 10, and the store's manager staff ID is greater than 71?",6,False
"SELECT COUNT(DISTINCT r.customer_id), r.staff_id FROM payment AS r WHERE  r.customer_id >= 23 GROUP BY r.staff_id ORDER BY r.staff_id ASC","What is the number of unique customers served by each staff member, where the customer ID is 23 or higher, listed in ascending order by staff ID?",6,False
"SELECT COUNT(fc.category_id), f.language_id FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN language l ON f.original_language_id = l.language_id WHERE fc.category_id != (SELECT MIN(category_id) FROM film_category AS u WHERE  u.film_id = 44) ORDER BY f.language_id DESC","How many categories, excluding the one with the smallest category id that a specific film belongs to, are in each language, listed in descending order of language?",6,False
"SELECT SUM(language_id), name FROM language WHERE language_id > 41",What is the total language ID and name of languages with a language ID greater than 41?,6,False
"SELECT AVG(r.rental_id), COUNT(DISTINCT r.staff_id), r.customer_id FROM payment AS r WHERE r.staff_id BETWEEN 1 AND 10 OR  r.rental_id <= 72 GROUP BY r.customer_id ORDER BY r.customer_id ASC","What is the average rental ID and the count of distinct staff IDs for each customer ID, where the staff ID is between 1 and 10 or the rental ID is less than or equal to 72?",6,False
SELECT MAX(e.actor_id) FROM actor AS e,What is the highest actor id in the actor table?,2,True
"SELECT category_id, category_id FROM category WHERE  category_id >= 16","What are the category ids of categories with an id of 16 or higher, listing each id twice?",4,True
"SELECT replacement_cost, name FROM film JOIN language ON film.original_language_id = language.language_id AND language.language_id = film.language_id WHERE  replacement_cost >= 45 OR release_year != (SELECT AVG(release_year) FROM film WHERE  rental_rate >= 44)","What are the names and replacement costs of films that have a replacement cost of 45 or more, or were not released in the average release year of films with a rental rate of 4.40 or more?",6,False
