query,question,iter,flag
"SELECT COUNT(s.Founded), s.Year_Entered_Competition, AVG(p.Age) FROM school s JOIN player p ON s.School_ID = p.School_ID WHERE s.School_ID != 18 GROUP BY s.Year_Entered_Competition;","What is the count of founding years and average age of players for each year a school entered the competition, excluding school ID 18?",2,True
SELECT x.Age FROM player AS x WHERE  x.Player_ID != 72,What are the ages of the players with a player ID other than 72?,2,True
"SELECT Colors, League FROM school_details",What are the colors and leagues of the schools?,2,True
"SELECT AVG(x.School_ID), x.Location FROM school AS x WHERE  x.Year_Entered_Competition != 46 ORDER BY x.Location DESC","What is the average school ID and location of schools that entered the competition in a year other than 46, listed in descending order of location?",6,True
"SELECT COUNT(DISTINCT T2.School_Year), COUNT(DISTINCT T2.Class_AA), T1.School_Id, T1.Class_AA FROM school_performance AS T1 JOIN school_performance AS T2 ON T2.School_Id = T1.School_Id WHERE  T1.School_Id = 81 GROUP BY T1.Class_AA, T1.School_Id HAVING MIN(T1.School_Id) < 61","For school with id 81, what are the distinct school years and class aa, and how many distinct school years and distinct class aa are there for each class aa, given that the school id is less than 61?",6,False
"SELECT COUNT(DISTINCT s.Enrollment), COUNT(DISTINCT s.Enrollment) FROM player AS p JOIN school AS s ON p.School_ID = s.School_ID WHERE s.Year_Entered_Competition BETWEEN 1 AND 10 AND p.Age < 68;",How many unique enrollments are there for schools that entered competition between 1 and 10 years and have players under the age of 68?,6,False
"SELECT MIN(f.School_ID), f.Colors FROM school_details AS f WHERE f.School_ID >= (SELECT MAX(z.School_ID) FROM player AS z WHERE z.School_ID BETWEEN 1 AND 10 OR z.Age <= 15) GROUP BY f.Colors","What is the smallest school id and the corresponding colors for each color in the school details table, considering only schools with a larger id than the maximum id of schools that either have an id between 1 and 10 or have players aged 15 or less?",6,False
"SELECT j.League, j.Colors FROM school_details AS j WHERE j.School_ID BETWEEN 1 AND 10 OR  j.School_ID <= 67 LIMIT 2",What are the league and school colors of the second and third schools with IDs between 1 and 10 or less than or equal to 67?,6,False
"SELECT o.School_Year, o.Class_A FROM school_performance AS o WHERE o.School_Id > 71 GROUP BY o.School_Year, o.Class_A HAVING MIN(o.School_Id) <= 17","Which school years and classes A have the lowest school id of 17 or less, considering only schools with id greater than 71?",6,False
SELECT Boys_or_Girls FROM school JOIN school_performance ON school_performance.School_Id = school.School_ID WHERE  Enrollment != 27 OR Class_AA IN (SELECT Class_AA FROM school_performance WHERE  School_Id > 36),What are the types of schools that are either not enrolled with 27 students or have a class AA that is also in the school performance of schools with id greater than 36?,6,False
"SELECT T1.Year_Entered_Competition, T1.Denomination FROM school AS T1 JOIN school_performance AS T2 ON T2.School_Id = T1.School_ID WHERE EXISTS (SELECT 1 FROM school AS T3 WHERE T3.Enrollment < 9 AND T3.School_ID = T2.School_Id) LIMIT 1","What is the year entered competition and denomination of a school with an enrollment less than 9, excluding the first result?",6,False
SELECT s.Boys_or_Girls FROM school AS s WHERE  s.Founded <= 2015 LIMIT 4,"What are the boys or girls types of the schools founded in 2015 or earlier, starting from the fifth school?",3,True
"SELECT AVG(player.School_ID), Player_ID FROM player JOIN school ON player.School_ID = school.School_ID WHERE Founded <= 65 GROUP BY Player_ID;","What is the average school founding year for each player, considering only schools that were founded in 1965 or earlier?",6,False
"SELECT COUNT(d.School_Id), SUM(1) FROM school_performance AS d WHERE  d.School_Id < 51 LIMIT 5","What is the count of school ids and total records where school id is less than 51, starting from the fifth record?",6,False
"SELECT SUM(Player_ID), Location FROM school JOIN player ON school.School_ID = player.School_ID WHERE  Year_Entered_Competition < 6 ORDER BY Location DESC","What is the sum of player IDs and what are their locations, for players from schools that entered competition in less than 6 years, ordered by location in descending order?",6,False
"SELECT COUNT(DISTINCT school.Location), player.Player_ID, player.School_ID AS player_school_id FROM player JOIN school ON player.School_ID = school.School_ID WHERE player.Player_ID BETWEEN 1 AND 10 ORDER BY player.School_ID ASC LIMIT 6","What are the counts of distinct school locations, player IDs and school IDs for players with IDs between 1 and 10, ordered by school ID in ascending order, starting from the 7th row?",6,False
SELECT School_Id FROM school_performance WHERE School_Id BETWEEN 1 AND 26 OR School_Id >= 27;,What are all school IDs in the school performance table?,4,True
"SELECT MAX(p.Age), sp.School_ID FROM school_performance sp JOIN school s JOIN player p ON s.School_ID = p.School_ID AND sp.School_ID = s.School_ID WHERE s.School_ID != 31",What is the maximum age of players and what are their corresponding school IDs for schools other than school ID 31?,6,False
"SELECT T1.Year_Entered_Competition, T4.Age FROM school AS T1 JOIN school_performance AS T2 ON T1.School_ID = T2.School_Id JOIN player AS T4 ON T1.School_ID = T4.School_ID WHERE T4.Age < 51 GROUP BY T4.Age HAVING MIN(T4.Player_ID) < 100","What is the year each school entered the competition and the age of the players in each school, considering only schools with players younger than 51 and those with the youngest player having an ID less than 100?",6,False
SELECT COUNT(Year_Entered_Competition) FROM school WHERE Year_Entered_Competition BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM school_performance AS z WHERE  z.School_Id = 6 AND school.School_ID = z.School_Id) LIMIT 1,"What is the number of schools with a year entered competition between 1 and 10 that also have a school performance record for school id 6, excluding the first result?",6,False
