query,question,iter,flag
SELECT T1.Name FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Scientist JOIN Projects AS T3 ON T2.Project = T3.Code WHERE T1.SSN >= 1 AND T1.SSN <= 10 AND T3.Hours >= 37 ORDER BY T1.Name ASC;,"What are the names of the scientists with SSN between 1 and 10 who work on projects with 37 or more hours, listed in ascending order?",5,True
"SELECT COUNT(g.Scientist), g.Project FROM AssignedTo AS g WHERE g.Scientist BETWEEN 1 AND 10 AND  g.Scientist != 8 GROUP BY g.Project HAVING SUM(g.Scientist) <= 91 ORDER BY g.Project DESC","What are the names of projects with a total scientist ID of 91 or less, excluding scientist 8, and having at least one scientist with an ID between 1 and 10, sorted by project in descending order?",6,False
SELECT Name FROM Scientists WHERE SSN < 9 ORDER BY Name ASC LIMIT 1,What is the name of the second scientist with the lowest SSN value?,3,True
"SELECT Hours, Code FROM Projects",What are the codes and the hours of the projects?,2,True
"SELECT SSN, SSN FROM Scientists WHERE  SSN <= 24",What are the SSNs of scientists with an SSN of 24 or less?,6,False
"SELECT j.Scientist, j.Project FROM AssignedTo AS j WHERE  j.Scientist < 5 AND j.Scientist NOT IN (SELECT a.Scientist FROM AssignedTo AS a WHERE a.Scientist BETWEEN 1 AND 10 LIMIT 2) GROUP BY j.Project HAVING MAX(j.Scientist) <= 18 ORDER BY j.Scientist ASC","Which scientists with ID less than 5, not among the first 2 scientists with ID between 1 and 10, and with maximum team ID less than or equal to 18, are assigned to each project, listed in ascending order by scientist ID?",6,False
"SELECT s1.Name, s2.Name FROM Scientists AS s1 JOIN Scientists AS s2 ON s1.SSN = s2.SSN WHERE s1.Name IN (SELECT Name FROM Scientists AS g);",What are the names of scientists that work with themselves?,6,False
"SELECT r.Code, r.Name FROM Projects AS r WHERE r.Hours BETWEEN 1 AND 10 OR  r.Hours <= 84 GROUP BY r.Name HAVING MIN(r.Hours) <= 84;",What are the names and codes of the projects that have at least one instance with hours between 1 and 10 or less than or equal to 84?,6,False
"SELECT MAX(j.Scientist), j.Scientist FROM AssignedTo AS j WHERE  j.Scientist = 58",What is the maximum and actual scientist with ID 58 in the AssignedTo table?,5,True
SELECT COUNT(DISTINCT j.Code) FROM Projects AS j WHERE  j.Hours < 74;,How many distinct projects require less than 74 hours?,2,True
"SELECT b.Name, Scientists.Name FROM Scientists AS b JOIN AssignedTo ON Scientists.SSN = b.SSN WHERE  Scientists.SSN > 29 GROUP BY Scientists.Name ORDER BY b.Name ASC LIMIT 5","What are the names of the scientists and the projects they are assigned to, for scientists with an SSN greater than 29, listed alphabetically by project name starting from the 6th result?",6,False
