query,question,iter,flag
"SELECT i.original_artist, i.name, i.language FROM songs AS i WHERE i.id BETWEEN 1 AND 10 AND  i.id <= 28 GROUP BY i.language HAVING COUNT(i.language) > 0 LIMIT 7;",What are the original artists and song names for up to 7 different languages of songs with ids between 1 and 28?,6,False
"SELECT COUNT(DISTINCT T3.language), T1.name, T3.original_artist FROM participants T1 INNER JOIN performance_score T2 ON T1.id = T2.participant_id INNER JOIN songs T3 ON T2.songs_id = T3.id WHERE T2.stage_presence BETWEEN 1 AND 10 AND T2.participant_id < 18 GROUP BY T3.original_artist ORDER BY T3.original_artist DESC;","For each original artist, what is the number of distinct languages of the songs performed by participants with stage presence between 1 and 10 and participant id less than 18?",6,False
"SELECT COUNT(DISTINCT T2.popularity), T1.english_translation FROM songs AS T1 JOIN performance_score AS T3 ON T3.songs_id = T1.id JOIN participants AS T2 ON T2.id = T3.participant_id WHERE T3.stage_presence BETWEEN 1 AND 10 GROUP BY T1.english_translation ORDER BY T1.english_translation DESC LIMIT 6;","What are the top 6 most common english translations of songs, and the number of unique participant popularity scores, for songs that had stage presence scores between 1 and 10, ordered by english translation in descending order?",2,True
SELECT rhythm_tempo FROM performance_score JOIN participants ON participants.id = performance_score.participant_id WHERE participant_id < 29 LIMIT 5,What are the rhythm and tempo of the performances of the 5 participants with ids between 29 and 33?,4,True
"SELECT AVG(voice_sound_quality), voice_sound_quality, songs_id FROM performance_score GROUP BY songs_id, voice_sound_quality HAVING SUM(participant_id) = 60 ORDER BY AVG(voice_sound_quality) LIMIT 8;","What are the top 8 songs with a perfect participant count of 60, ordered by their average voice sound quality, along with their respective voice sound qualities?",6,False
"SELECT COUNT(songs_id), voice_sound_quality FROM performance_score JOIN participants ON participants.id = performance_score.participant_id WHERE EXISTS (SELECT * FROM performance_score AS e WHERE e.voice_sound_quality BETWEEN 1 AND 10 OR  e.participant_id < 35 AND participants.id = e.participant_id LIMIT 1) GROUP BY voice_sound_quality","For each voice sound quality, how many song performances are there by participants who either have a voice sound quality between 1 and 10 or are among the first 35 participants?",2,True
"SELECT language FROM performance_score JOIN songs ON performance_score.songs_id = songs.id WHERE rhythm_tempo = 37 ORDER BY participant_id, songs_id, language ASC LIMIT 1","What is the language of the second song with a rhythm tempo of 37 when the performances are ordered by participant, song, and language?",6,False
"SELECT u.popularity, u.name FROM participants AS u WHERE u.popularity BETWEEN 1 AND 10 ORDER BY u.name ASC","What are the names and popularity of participants with popularity between 1 and 10, listed in ascending order by name?",2,True
"SELECT id, name, popularity FROM participants GROUP BY popularity HAVING MIN(id) >= 77",What are the names and popularity of all groups of participants with the lowest id greater than or equal to 77?,6,False
"SELECT COUNT(stage_presence), COUNT(DISTINCT stage_presence), id FROM performance_score JOIN participants ON participants.id = performance_score.participant_id WHERE participants.popularity = 90 LIMIT 5","What are the count and distinct count of stage presence for participants with a popularity of 90, for the next 5 records after the first 5, grouped by participant id?",6,False
SELECT name FROM participants WHERE id BETWEEN 1 AND 10 AND popularity NOT IN (SELECT popularity FROM participants AS w WHERE w.popularity BETWEEN 1 AND 10 OR  w.popularity = 41 LIMIT 8),What are the names of the participants with ids between 1 and 10 and popularity not in the 8 most popular or not 41 among participants with ids between 1 and 10?,6,False
SELECT b.id FROM songs AS b LIMIT 7,What are the IDs of the 8th to 14th songs?,5,True
SELECT COUNT(DISTINCT z.id) FROM participants AS z WHERE z.popularity BETWEEN 1 AND 10 AND name NOT IN (SELECT name FROM songs AS l),"How many participants, with a popularity between 1 and 10, are not singers?",2,True
"SELECT songs_id, rhythm_tempo FROM performance_score LIMIT 9",What are the song IDs and rhythm tempos for the next 9 performance scores after the first 9?,6,False
"SELECT COUNT(participant_id), MAX(participant_id), COUNT(DISTINCT participant_id) FROM performance_score WHERE stage_presence = 60;","What is the total number of participant scores, the highest participant id, and the number of unique participants for those who scored 60 in stage presence?",2,True
"SELECT COUNT(DISTINCT p.name), ps.stage_presence, s.original_artist FROM participants p JOIN performance_score ps JOIN songs s ON p.id = ps.participant_id AND ps.songs_id = s.id","What are the counts of distinct participant names, their stage presence, and the original artist of the songs they performed?",3,True
"SELECT COUNT(DISTINCT voice_sound_quality), participant_id, songs_id, rhythm_tempo FROM performance_score WHERE songs_id BETWEEN 1 AND 10 OR songs_id > 20 GROUP BY participant_id, songs_id, rhythm_tempo","For each participant and song, what is the number of unique voice sound qualities when the song's id is between 1 and 10 or greater than 20, grouped by participant id, song id, and rhythm tempo?",3,True
"SELECT COUNT(id), COUNT(DISTINCT language), english_translation, language FROM songs WHERE id BETWEEN 1 AND 10 OR id IN (SELECT id FROM participants AS j WHERE  j.id <= 46) GROUP BY language HAVING MAX(id) = 49","For the languages of songs with an id between 1 and 10 or an id of a participant with an id less than or equal to 46, what is the count of songs, count of distinct languages, and the english translation, for the language with the highest id being 49?",6,False
SELECT name FROM participants WHERE popularity < 75 OR popularity = (SELECT MAX(popularity) FROM participants ORDER BY popularity DESC LIMIT 1),What are the names of the participants with lower than 75 popularity or the highest popularity?,2,True
"SELECT MIN(voice_sound_quality), COUNT(rhythm_tempo) FROM performance_score JOIN songs ON performance_score.songs_id = songs.id WHERE  participant_id > 19 LIMIT 7","What is the minimum voice sound quality and the count of rhythm tempo of performances for participants with id over 19, for the 8th to 14th results?",6,False
