query,question,iter,flag
SELECT pID FROM Tryout WHERE  pID != 96 ORDER BY pID DESC,"Which player IDs from the tryout, excluding 96, are listed in descending order?",4,True
SELECT enr FROM College WHERE  enr < 68 GROUP BY enr HAVING MIN(enr) >= 15,What are the enrollment numbers of colleges with enrollment greater than or equal to 15 and less than 68?,2,True
SELECT T2.cName FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID WHERE T1.HS > 33 OR EXISTS (SELECT * FROM Player AS z WHERE z.pID <= 64 AND T2.pID = z.pID) ORDER BY T2.cName ASC LIMIT 5;,"What are the names of the colleges where players with more than 33 training hours tried out or where players with IDs less than or equal to 64 tried out, listed in ascending order and limited to 5 colleges?",6,False
"SELECT yCard, pName FROM Player WHERE pID BETWEEN 1 AND 10 OR pID IN (SELECT pID FROM Tryout) GROUP BY yCard, pName HAVING COUNT(*) > 0",What are the names and yes card values of players with IDs between 1 and 10 or who attended tryouts?,6,False
"SELECT pID, yCard, HS FROM Player WHERE HS BETWEEN 1 AND 10 OR HS >= 85;","What are the player IDs, Yes/No cards, and training hours of the players who have between 1 and 10 or more than 84 training hours?",2,True
"SELECT COUNT(DISTINCT pName), COUNT(DISTINCT pID), HS FROM Player WHERE  HS != 10 ORDER BY HS ASC LIMIT 10","What are the counts of unique player names and IDs, along with the hours spent in training, for players who spent other than 10 hours training, listed in ascending order by hours spent in training, starting from the 11th player?",3,True
SELECT cName FROM College WHERE  enr < 58,What are the names of colleges with enrollment less than 58?,2,True
"SELECT T2.pPos, T2.decision FROM Player AS T1 JOIN Tryout AS T2 ON T1.pID = T2.pID WHERE  T2.pID = 36 AND T2.decision IN (SELECT decision FROM Tryout WHERE  pID >= 16) ORDER BY T2.pPos DESC LIMIT 7","What are the positions and decisions made in tryouts for player 36, given the decisions made for players with IDs 16 and above, listed in descending order of position, starting from the 8th result?",5,True
"SELECT state, cName FROM College WHERE enr > 70 ORDER BY cName DESC;","What are the states and names of colleges with enrollment rates greater than 70, listed in descending order by college name?",3,True
"SELECT AVG(enr), cName, state FROM College GROUP BY state",What is the average enrollment and the names of the colleges in each state?,2,True
"SELECT MIN(x.pID), AVG(x.pID) FROM Player AS x WHERE  x.pID != 79 OR HS NOT IN (SELECT HS FROM Player AS l WHERE l.pID BETWEEN 1 AND 10)",What are the minimum and average player IDs of players with player IDs other than 79 or those with training hours that are not among the training hours of the first 10 players?,6,False
SELECT College.cName FROM Tryout JOIN College ON Tryout.cName = College.cName WHERE pID BETWEEN 1 AND 10 AND  pID <= 53 ORDER BY College.cName DESC,"What are the names of colleges with corresponding player IDs between 1 and 10 and less than or equal to 53, listed in descending order?",5,True
