query,question,iter,flag
SELECT asessment_outcome_code FROM Candidate_Assessments WHERE  candidate_id < 44 LIMIT 4,What are the assessment outcome codes for the next 4 candidates with candidate ids between 44 and 47?,3,True
"SELECT COUNT(DISTINCT u.course_id), u.course_id FROM Student_Course_Attendance AS u GROUP BY u.course_id ORDER BY u.course_id DESC","What are the distinct course IDs in the student course attendance records, ordered in descending order along with their respective counts?",6,False
SELECT student_details FROM Students WHERE student_id BETWEEN 1 AND 10 AND  student_id != 8 GROUP BY student_details HAVING COUNT(student_id) >= 61 ORDER BY student_details DESC,"What are the student details of students with IDs between 1 and 10 (excluding 8) that appear at least 61 times, listed in descending order of student details?",6,False
"SELECT candidate_id, candidate_id, assessment_date FROM Candidate_Assessments WHERE  candidate_id <= 68 GROUP BY assessment_date HAVING AVG(candidate_id) = 79 LIMIT 6","What are the sets of candidate ids, each including the candidate id, candidate id, and assessment date, for the six assessments with an average candidate id of 79, starting from the seventh assessment?",6,False
"SELECT COUNT(DISTINCT candidate_details), Candidates.candidate_id FROM Candidate_Assessments JOIN Candidates ON Candidates.candidate_id = Candidate_Assessments.candidate_id WHERE Candidates.candidate_id != 63 AND Candidates.candidate_id <= 4","How many unique candidate details are there for candidates with id less than or equal to 4, excluding candidate with id 63?",6,False
"SELECT COUNT(student_id), COUNT(student_id) FROM Students WHERE  student_id != 51 OR student_id IN (SELECT student_id FROM Students AS r WHERE r.student_id BETWEEN 1 AND 10)",How many students have an id other than 51 or have an id between 1 and 10?,2,True
SELECT MAX(j.address_id) FROM Addresses AS j WHERE  j.address_id < 72 LIMIT 8,What is the 9th highest address id among those less than 72?,2,True
SELECT MAX(T3.course_id) FROM Student_Course_Attendance AS T1 INNER JOIN Student_Course_Registrations AS T2 ON T1.student_id = T2.student_id INNER JOIN Courses AS T3 ON T2.course_id = T3.course_id WHERE EXISTS (SELECT * FROM Student_Course_Registrations WHERE course_id BETWEEN '1' AND '10' AND T1.student_id = student_id) LIMIT 1,What is the highest course id of students who are registered for courses with id between 1 and 10?,6,False
SELECT candidate_id FROM Candidate_Assessments WHERE EXISTS (SELECT * FROM Candidates c WHERE c.candidate_id = Candidate_Assessments.candidate_id AND c.candidate_id > 93),Which candidate IDs from Candidate Assessments are associated with candidates who have a candidate ID greater than 93?,5,True
"SELECT MIN(o.student_id), o.student_details FROM Students AS o WHERE  o.student_id <= 75 LIMIT 1",What is the student details of the student with the second smallest student id less than or equal to 75?,6,False
"SELECT MIN(T2.student_id), T2.course_id FROM Student_Course_Attendance AS T1 JOIN Student_Course_Registrations AS T2 ON T1.student_id = T2.student_id JOIN Students AS T3 ON T1.student_id = T3.student_id JOIN Courses AS T4 ON T2.course_id = T4.course_id WHERE T3.student_id BETWEEN 1 AND 10 AND T2.course_id <= '93' ORDER BY T2.course_id LIMIT 1","What is the course ID with the lowest value, along with the student ID of the student with the lowest student ID, for students with IDs between 1 and 10, who are registered for a course with an ID less than or equal to 93, excluding the first result in the ordered list?",3,True
"SELECT Candidates.candidate_id, qualification FROM Candidate_Assessments JOIN Candidates ON Candidates.candidate_id = Candidate_Assessments.candidate_id WHERE  Candidate_Assessments.candidate_id <= 95 AND candidate_id NOT IN (SELECT candidate_id FROM Candidates WHERE candidate_id BETWEEN 1 AND 10) ORDER BY qualification ASC","What are the candidate IDs and qualifications for candidates with IDs between 11 and 95, ordered by qualification in ascending order?",6,True
"SELECT middle_name, middle_name, middle_name FROM People WHERE middle_name IN (SELECT middle_name FROM People WHERE  person_id != 62) LIMIT 7","What are the middle names, excluding the one with person_id 62, that appear in the people table, listed 7 rows at a time from the 8th row onwards?",6,False
SELECT address_id FROM People_Addresses WHERE person_address_id <= (SELECT MAX(person_address_id) FROM People_Addresses AS l WHERE  l.person_id > 40 LIMIT 9) ORDER BY address_id ASC,"What are the address ids in ascending order, that have a person address id less than or equal to the maximum person address id of the last 9 people with a person id greater than 40?",6,False
"SELECT candidate_id, COUNT(DISTINCT qualification) FROM Candidate_Assessments WHERE candidate_id > 43 GROUP BY candidate_id LIMIT 8;",What are the candidate IDs and the number of different qualifications for the 8 candidates with IDs greater than 43?,3,True
"SELECT COUNT(student_id), COUNT(DISTINCT student_id), COUNT(DISTINCT course_id) FROM Student_Course_Registrations WHERE course_id IN ('1', '2', '3', '4', '5', '6', '7', '8', '9', '10') OR student_id >= 46 LIMIT 3","What are the total number of student course registrations, number of unique students, and number of unique courses registered by students in courses 1 to 10 or students with IDs 46 and above, starting from the 4th registration?",6,False
"SELECT candidate_id, candidate_id FROM Candidate_Assessments WHERE  candidate_id = 83",What are the candidate id and candidate id of candidate id 83 in the candidate assessments?,4,True
"SELECT Students.student_id, student_details FROM Students JOIN Student_Course_Registrations ON Students.student_id = Student_Course_Registrations.student_id JOIN Student_Course_Attendance ON Student_Course_Registrations.student_id = Student_Course_Attendance.student_id AND Student_Course_Registrations.course_id = Student_Course_Attendance.course_id WHERE Student_Course_Attendance.student_id BETWEEN 1 AND 10 OR Student_Course_Attendance.student_id = 12 ORDER BY student_details ASC LIMIT 5","What are the student details of students with IDs between 1 and 10 or 12, sorted by student details in ascending order, from the 6th entry onwards?",6,False
"SELECT p.person_id, p.cell_mobile_number FROM People p JOIN Candidates c ON p.person_id = c.candidate_id JOIN Candidate_Assessments ca ON c.candidate_id = ca.candidate_id WHERE EXISTS (SELECT * FROM Candidates s WHERE ca.candidate_id = s.candidate_id) GROUP BY p.person_id, p.cell_mobile_number HAVING AVG(p.person_id) = 84 ORDER BY p.person_id DESC","What are the person IDs and cell mobile numbers of people with an average person ID of 84, where the person ID exists in the Candidates table, ordered by person ID in descending order?",6,False
"SELECT COUNT(person_id), person_address_id, date_to FROM People_Addresses WHERE person_id BETWEEN 1 AND 10 AND person_address_id > (SELECT MIN(person_address_id) FROM People_Addresses) GROUP BY person_address_id, date_to","For people with id between 1 and 10, and excluding those with the lowest person address id, how many people are there for each address and end date?",6,False
"SELECT T1.student_id, T3.student_id FROM Student_Course_Attendance AS T1 JOIN Student_Course_Registrations AS T2 ON T1.student_id = T2.student_id JOIN Students AS T3 ON T2.student_id = T3.student_id JOIN Courses AS T4 ON T2.course_id = T4.course_id WHERE T4.course_id <= '31' LIMIT 3",What are the student IDs of the next three students registered in courses 31 or lower?,6,False
