Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['alias_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT publication.Publication_Date AS Publication_Date_j, COUNT(DISTINCT publication.Publication_ID) FROM publication AS j JOIN publication ON publication.Publication_ID = j.Publication_ID WHERE Book_ID NOT IN (SELECT Book_ID FROM book AS n WHERE n.Issues BETWEEN 1 AND 10 LIMIT 9) LIMIT 4"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN_SELF JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(book.Book_ID), COUNT(DISTINCT h.Title), book.Issues FROM book JOIN book AS k JOIN book AS h ON book.Book_ID = k.Book_ID AND k.Book_ID = h.Book_ID WHERE (book.Book_ID BETWEEN 1 AND 10) OR ( k.Book_ID = k.Issues) ORDER BY book.Issues ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN_SELF JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT i.Title), COUNT(DISTINCT i.Writer), i.Title FROM book JOIN book AS g JOIN book AS i ON book.Book_ID = i.Book_ID AND i.Book_ID = g.Book_ID WHERE  g.Issues > i.Issues ORDER BY i.Title DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_SELF JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","Error in EXISTS/NOT EXISTS subquery: can only concatenate str (not ""list"") to str"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': '*', 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT *  FROM book AS g WHERE (g.Issues BETWEEN 1 AND 10) OR ( g.Issues < g.Book_ID) GROUP BY g.Title
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['arithmatic_exp', 'arithmatic_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Issues, Publication_ID FROM book JOIN publication ON publication.Book_ID = book.Book_ID WHERE  publication.Book_ID > Issues ORDER BY 1 ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MAX'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['alias_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT u.Publisher AS Publisher_y, u.Price FROM publication AS u WHERE  u.Book_ID > u.Publication_ID GROUP BY u.Price HAVING MAX(u.Price) > 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MIN'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['arithmatic_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT h.Book_ID, book.Title FROM book JOIN book AS h ON book.Book_ID = h.Book_ID WHERE  h.Issues <= h.Issues GROUP BY book.Title HAVING MIN(h.Issues) >= 47"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MAX'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Title, Writer FROM book GROUP BY Writer HAVING MAX(Issues) = 27"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'in_with_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Book_ID), Issues, Writer FROM book WHERE Writer IN (SELECT Writer FROM book AS k WHERE  k.Issues > k.Issues) GROUP BY Writer LIMIT 2"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': '*', 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT *  FROM publication AS a WHERE  a.Book_ID > a.Book_ID
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","Error in EXISTS/NOT EXISTS subquery: can only concatenate str (not ""list"") to str"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['alias_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Book_ID AS Book_ID_z, Book_ID, Issues FROM book WHERE Issues IN (SELECT *  FROM book AS l WHERE  l.Issues > l.Issues) ORDER BY Book_ID ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['arithmatic_exp', 'arithmatic_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Publication_ID, Publication_ID, Publication_Date FROM publication"
